編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPRNMLPJOHPFFAV67CC,13,253.55,見其他登記事項,見其他登記事項,96年9月10日,三層,
RPSNMLRJPHPFFAV08CC,58,309.30,見其他登記事項,見其他登記事項,51年10月18日,三層,
RPSPMLTJPHPFFAV58DC,16,203.18,住家用,鋼筋混凝土造,93年3月5日,三層,
RPSNMLNLPHPFFAV87CC,39,200.66,住家用,鋼筋混凝土造,70年7月7日,三層,
RPTPMLTJPHPFFAV68DC,36,192.10,住家用,見其他登記事項,73年7月15日,,
RPWNMLRLPHPFFAV68CC,46,26.53,住家用,見其他登記事項,63年2月30日,二層,
RPQNMLLKNHPFFAV17CC,6,287.80,住家用,鋼筋混凝土造,103年6月16日,四層,
RPTNMLKLNHPFFAV47CC,46,45.36,住家用,見其他登記事項,63年6月24日,二層,
RPWNMLKLNHPFFAV77CC,6,50.40,見其他登記事項,見其他登記事項,103年4月17日,三層,
RPOOMLLLNHPFFAV17CC,3,141.08,見其他登記事項,見其他登記事項,106年2月6日,三層,
RPVNMLLLNHPFFAV77CC,4,71.55,住家用,見其他登記事項,104年9月16日,三層,
