鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
金寧鄉,房地(土地+建物),金門縣金寧鄉下埔下331~360號,404.56,其他,,,1090429,土地1建物1車位0,一層，二層，三層,三層,農舍,農舍,鋼筋混凝土造,1031117,403.38,8,1,10,有,無,27000000,,,0.0,0,,RPPNMLOKNHPFFAW27CA,363.78,0.0,39.6,
金寧鄉,房地(土地+建物)+車位,金門縣金寧鄉下堡121~150號,107.03,住,,,1090423,土地1建物1車位1,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1070627,296.51,5,1,5,有,無,3200000,10792,坡道平面,32.05,0,親友、員工或其他特殊關係間之交易。;,RPSNMLOKNHPFFAW57CA,201.96,2.03,5.2,
金沙鎮,土地,沙港劃段451~480地號,1000.01,農,,,1090422,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4100000,4100,,0.0,0,,RPRNMLMKNHPFFAW27CA,0.0,0.0,0.0,
金寧鄉,土地,寧劃段1141~1170地號,490.02,農,,,1090424,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3150000,6428,,0.0,0,,RPSNMLMKNHPFFAW37CA,0.0,0.0,0.0,
金寧鄉,土地,后沙劃測段811~840地號,155.64,其他,,,1090506,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1276248,8200,,0.0,0,包含公共設施保留地之交易。;,RPVNMLLKNHPFFAW67DA,0.0,0.0,0.0,
金湖鎮,房地(土地+建物),金門縣金湖鎮夏興61~90號,19.16,住,,,1090507,土地1建物1車位0,二層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1041125,35.28,0,0,0,無,無,1600000,45351,,0.0,0,急買急賣。;,RPRNMLNKNHPFFAW37CA,28.07,0.0,3.07,
金寧鄉,土地,寧安二劃段211~240地號,640.0,農,,,1090511,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2760000,4313,,0.0,0,,RPSNMLSKNHPFFAW97CA,0.0,0.0,0.0,
金城鎮,房地(土地+建物),金門縣金城鎮珠浦西路28巷4弄1~30號,29.96,住,,,1090510,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1020519,86.88,3,1,1,有,無,8000000,92081,,0.0,0,,RPTNMLSKNHPFFAW08CA,65.46,0.0,8.35,
金寧鄉,土地,青山段721~750地號,970.86,農,,,1090421,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,450000,464,,0.0,0,急買急賣。;,RPPNMLTKNHPFFAW77CA,0.0,0.0,0.0,
