編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPNMLSKNHPFFAX77CA,36,81.81,見其他登記事項,鋼筋混凝土造,73年6月29日,五層,四層
RPPNMLSKNHPFFAX77CA,36,.30,見其他登記事項,鋼筋混凝土造,73年6月29日,五層,一層
RPPNMLPKNHPFFAX47CA,20,187.03,住家用,鋼筋混凝土造,89年8月22日,三層,一層 二層 三層
RPRNMLOKNHPFFAX57CA,,234.81,住家用,鋼筋混凝土造,109年2月7日,三層,一層 二層 三層 見其他登記事項
RPRNMLSKNHPFFAX08DA,48,22.12,商業用,見其他登記事項,61年8月31日,二層,一層 二層
RPQNMLOKNHPFFAX47CA,1,299.14,住家用,鋼筋混凝土造,107年12月17日,四層,一層 二層 三層 四層 見其他登記事項
RPQNMLKLNHPFFAX17CA,,243.54,住家用,鋼筋混凝土造,109年3月2日,三層,一層 二層 三層
RPWNMLKLNHPFFAX77CA,27,177.13,住家用,鋼筋混凝土造,82年6月19日,四層,一層 二層 三層 四層 電梯樓梯間
RPPNMLLLNHPFFAX17CA,29,82.40,住家用,鋼筋混凝土加強磚造,79年12月1日,二層,一層 二層
RPTNMLSKNHPFFAX18CA,51,51.12,住家用,鋼筋混凝土加強空心磚造,57年10月1日,二層,一層 二層
RPXNMLSKNHPFFAX58CA,25,153.77,住家用,鋼筋混凝土造,84年5月22日,三層,一層 二層 三層
RPUNMLPLNHPFFAX08CA,40,92.20,住家用,鋼筋混凝土加強磚造,69年10月1日,三層,一層 二層 三層
RPWNMLTKNHPFFAX58CA,14,244.56,住家用,鋼筋混凝土造,95年9月26日,三層,一層 二層 三層 見其他登記事項
RPUNMLRLNHPFFAX28CA,23,29.30,住商用,鋼筋混凝土造,86年7月10日,七層,一層
RPUNMLRLNHPFFAX28CA,23,11.08,見其他登記事項,鋼筋混凝土造,86年7月10日,七層,
RPQNMLTLNHPFFAX08CA,28,98.72,住家用,鋼筋混凝土加強磚造,81年6月13日,四層,一層 二層 三層 四層 電梯樓梯間
RPTNMLRLNHPFFAX28DA,43,37.83,住家用,鋼筋混凝土加強磚造,66年1月14日,二層,一層 二層
RPQNMLRLNHPFFAX87CA,44,77.52,住家用,鋼筋混凝土加強磚造,65年4月30日,二層,一層 二層
RPRNMLQLNHPFFAX87CA,53,96.71,住家用,見其他登記事項,56年7月10日,三層,一層 二層 三層
RPPNMLNJOHPFFAX27CA,31,126.54,住家用,鋼筋混凝土加強磚造,77年11月23日,二層,一層 二層 電梯樓梯間
RPTNMLMJOHPFFAX57CA,23,99.88,住家用,鋼筋混凝土造,86年6月28日,八層,六層
RPTNMLMJOHPFFAX57CA,23,39.53,住家用,鋼筋混凝土造,86年6月28日,八層,
RPRNMLSLPHPFFAX28CA,21,161.77,見其他登記事項,鋼筋混凝土造,88年7月12日,三層,一層 二層 三層
RPQNMLPKOHPFFAX77DA,40,87.96,住家用,鋼筋混凝土加強磚造,69年3月20日,二層,一層 二層 電梯樓梯間
RPSNMLOJOHPFFAX67CA,28,137.56,住家用,鋼筋混凝土造,80年12月20日,五層,一層
RPSNMLOJOHPFFAX67CA,28,14.12,住家用,鋼筋混凝土造,80年12月20日,五層,
RPRNMLPJOHPFFAX67CA,42,83.30,住家用,鋼筋混凝土加強磚造,67年8月2日,二層,一層 二層 電梯樓梯間
RPSNMLTJOHPFFAX18CA,25,183.71,住家用,鋼筋混凝土造,84年10月9日,四層,一層 二層 三層 四層
RPQNMLRLOHPFFAX97CA,,285.33,住家用,鋼筋混凝土造,108年10月30日,四層,一層 二層 三層 四層 見其他登記事項
RPUNMLTJOHPFFAX38CA,12,226.78,住家用,鋼筋混凝土造,97年4月14日,二層,一層 二層 見其他登記事項
RPPNMLRLOHPFFAX87CA,,293.81,住家用,鋼筋混凝土造,108年10月30日,四層,一層 二層 三層 四層 見其他登記事項
RPPNMLQKOHPFFAX67CA,36,.33,見其他登記事項,鋼筋混凝土造,73年6月29日,五層,一層
RPPNMLQKOHPFFAX67CA,36,88.76,見其他登記事項,鋼筋混凝土造,73年6月29日,五層,四層
RPQNMLTKOHPFFAX08CA,,124.70,住家用,見其他登記事項,,一層,一層
RPPNMLRKOHPFFAX77CA,45,125.00,住商用,鋼筋混凝土加強磚造,64年10月23日,二層,一層 二層
RPTNMLQKOHPFFAX08CA,,86.40,住家用,見其他登記事項,,一層,一層
RPVNMLQKOHPFFAX38DA,40,71.20,住家用,鋼筋混凝土加強磚造,69年8月6日,二層,一層 二層 電梯樓梯間
RPXNMLMLOHPFFAX18CA,20,178.89,住家用,鋼筋混凝土造,89年5月6日,三層,一層 二層 三層
RPRNMLRLOHPFFAX08CA,,235.06,住家用,鋼筋混凝土造,109年3月26日,三層,一層 二層 三層
RPSNMLKMOHPFFAX57CA,,86.40,住家用,見其他登記事項,,一層,一層
RPTNMLMJPHPFFAX77DA,14,107.60,見其他登記事項,鋼筋混凝土造,95年7月10日,十四層,十二層
RPTNMLMJPHPFFAX77DA,14,69.52,共用部份,鋼筋混凝土造,95年7月10日,十四層,
RPRNMLKMOHPFFAX47CA,22,51.87,住家用,鋼筋混凝土造,87年7月23日,十層,九層
RPRNMLKMOHPFFAX47CA,22,27.34,見其他登記事項,鋼筋混凝土造,87年7月23日,十層,
