鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
北竿鄉,土地,塘岐段211~240地號,114.88,住,,,1090424,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,925703,8058,,0.0,0,,RPQNMLLJOHPFFAZ47DA,0.0,0.0,0.0,
北竿鄉,土地,橋仔段181~210地號,64.86,住,,,1090427,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,239982,3700,,0.0,0,,RPRNMLLJOHPFFAZ57DA,0.0,0.0,0.0,
南竿鄉,土地,復興段1381~1410地號,7.98,住,,,1090514,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,40698,5100,,0.0,0,,RPPNMLSKNHPFFAZ08DA,0.0,0.0,0.0,
北竿鄉,土地,芹壁段601~630地號,83.58,住,,,1090401,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,610100,7300,,0.0,0,,RPRNMLMKOHPFFAZ77DA,0.0,0.0,0.0,
南竿鄉,土地,復興段481~510地號,54.8,住,,,1090524,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,360214,6573,,0.0,0,,RPRNMLKKOHPFFAZ57DA,0.0,0.0,0.0,
北竿鄉,土地,橋仔段61~90地號,184.13,住,,,1090527,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,690000,3747,,0.0,0,,RPSNMLLJOHPFFAZ67DA,0.0,0.0,0.0,
北竿鄉,土地,芹壁段601~630地號,83.58,住,,,1090528,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,301000,3601,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPQNMLMKOHPFFAZ67DA,0.0,0.0,0.0,
北竿鄉,土地,里段751~780地號,275.75,其他,,,1090608,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,330900,1200,,0.0,0,,RPPNMLLKOHPFFAZ47DA,0.0,0.0,0.0,
南竿鄉,土地,福沃段391~420地號,25.48,住,,,1090605,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,142674,5599,,0.0,0,,RPQNMLKKOHPFFAZ47DA,0.0,0.0,0.0,
北竿鄉,土地,橋仔段301~330地號,58.83,住,,,1090511,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,217671,3700,,0.0,0,,RPQNMLTKOHPFFAZ38DA,0.0,0.0,0.0,
南竿鄉,土地,珠螺段1~30地號,68.35,農,,,1090525,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,300740,4400,,0.0,0,,RPPNMLKLOHPFFAZ47DA,0.0,0.0,0.0,
東引鄉,土地,東引西段31~60地號,7.57,住,,,1090616,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,16662,2201,,0.0,0,,RPPNMLTKOHPFFAZ28DA,0.0,0.0,0.0,
東引鄉,土地,東引西段541~570地號,5.34,商,,,1090629,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,50000,9363,,0.0,0,,RPPNMLKMOHPFFAZ57DA,0.0,0.0,0.0,
北竿鄉,土地,橋仔段301~330地號,56.56,住,,,1090511,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,209272,3700,,0.0,0,,RPPNMLMJPHPFFAZ57DA,0.0,0.0,0.0,
