編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPQNMLMKOHPFFAZ67DA,芹壁段,83.58,都市：住,全筆移轉
RPQNMLTKOHPFFAZ38DA,橋仔段,13.70,都市：住,全筆移轉
RPQNMLTKOHPFFAZ38DA,橋仔段,45.13,都市：住,全筆移轉
RPQNMLKKOHPFFAZ47DA,福沃段,25.48,都市：住,持分移轉
RPRNMLMKOHPFFAZ77DA,芹壁段,83.58,都市：住,全筆移轉
RPPNMLLKOHPFFAZ47DA,里段,213.56,都市：其他,全筆移轉
RPPNMLLKOHPFFAZ47DA,里段,62.19,都市：其他,全筆移轉
RPPNMLTKOHPFFAZ28DA,東引西段,7.57,都市：住,持分移轉
RPPNMLKLOHPFFAZ47DA,珠螺段,68.35,都市：農,全筆移轉
RPPNMLKMOHPFFAZ57DA,東引西段,5.34,都市：商,全筆移轉
RPPNMLMJPHPFFAZ57DA,橋仔段,56.56,都市：住,全筆移轉
RPRNMLLJOHPFFAZ57DA,橋仔段,64.86,都市：住,全筆移轉
RPQNMLLJOHPFFAZ47DA,塘岐段,48.71,都市：住,全筆移轉
RPQNMLLJOHPFFAZ47DA,塘岐段,66.17,都市：住,全筆移轉
RPPNMLSKNHPFFAZ08DA,復興段,7.98,都市：住,全筆移轉
RPSNMLLJOHPFFAZ67DA,橋仔段,184.13,都市：住,全筆移轉
RPRNMLKKOHPFFAZ57DA,介壽段,33.65,都市：住,全筆移轉
RPRNMLKKOHPFFAZ57DA,復興段,11.90,都市：住,持分移轉
RPRNMLKKOHPFFAZ57DA,復興段,9.25,都市：住,全筆移轉
