編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPVNMLNJQHPFFAA48DA,木柵段一小段,18.02,都市：其他:第三種住宅區。,100000,5462,持分移轉
RPTOMLOLPHPFFAA58DA,木柵段二小段,7.90,都市：其他:第三種住宅區。,2,1,持分移轉
RPTOMLOLPHPFFAA58DA,木柵段二小段,7.90,都市：其他:第三種住宅區。,2,1,持分移轉
RPTOMLOLPHPFFAA58DA,木柵段二小段,561.25,都市：其他:第三種住宅區。,2,1,持分移轉
RPTOMLOLPHPFFAA58DA,木柵段二小段,561.25,都市：其他:第三種住宅區。,2,1,持分移轉
RPTOMLOLPHPFFAA58DA,木柵段二小段,61.50,都市：其他:第三種住宅區。,2,1,持分移轉
RPTOMLOLPHPFFAA58DA,木柵段二小段,61.50,都市：其他:第三種住宅區。,2,1,持分移轉
RPPNMLTLQHPFFAA68DA,河堤段四小段,35.40,都市：其他:第三之一種住宅區。,180,36,持分移轉
RPWOMLNJRHPFFAA78DA,興泰段三小段,.27,都市：其他:第三種住宅區。,100000,10,持分移轉
RPPNMLTLQHPFFAA68DA,河堤段四小段,.60,都市：其他:道路用地(公共設施用地)。59/9/9,180,36,持分移轉
RPWOMLNJRHPFFAA78DA,興泰段三小段,.04,都市：其他:第二種住宅區。,100000,10,持分移轉
RPTNMLRJRHPFFAA78DA,景美段四小段,.20,都市：其他:第三種商業區。,100000,437,持分移轉
RPTNMLRJRHPFFAA78DA,景美段四小段,.04,都市：其他:第三種商業區。,100000,437,持分移轉
RPTNMLRJRHPFFAA78DA,景美段五小段,6.25,都市：其他:第三種商業區。,100000,437,持分移轉
RPRNMLSLQHPFFAA78DA,永昌段四小段,26.31,都市：其他:第三種住宅區。,29780,49,持分移轉
RPRNMLSLQHPFFAA78DA,永昌段四小段,.01,都市：其他:道路用地(公共設施用地)。63/1/3,29780,49,持分移轉
RPVOMLKLQHPFFAA48DA,木柵段一小段,12.47,都市：其他:第三種商業區。,100000,1002,持分移轉
RPXNMLLMQHPFFAA78DA,河堤段二小段,15.19,都市：其他:第三種住宅區。,100000,7757,持分移轉
RPXNMLLMQHPFFAA78DA,河堤段二小段,4.21,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,100000,7757,持分移轉
RPOOMLSJRHPFFAA48DA,興泰段三小段,32.23,都市：其他:第三種住宅區。,10000,286,持分移轉
RPOOMLSJRHPFFAA48DA,興泰段三小段,.03,都市：其他:第二種住宅區。,10000,286,持分移轉
RPSNMLRJRHPFFAA68DA,木柵段一小段,14.84,都市：其他:第三種商業區。,100000,1192,持分移轉
RPPNMLTJRHPFFAA58DA,永昌段四小段,10.66,都市：其他:第三種住宅區。,316,2,持分移轉
RPQOMLRLQHPFFBA78DA,龍山段一小段,24.25,都市：其他:第三種商業區。,4,1,持分移轉
RPQOMLRLQHPFFBA78DA,龍山段一小段,24.25,都市：其他:第三種商業區。,4,1,持分移轉
RPOPMLLJRHPFFBA97DA,直興段三小段,4.46,都市：其他:第四種商業區。,100000,322,持分移轉
RPTOMLLKQHPFFBA38DA,臨沂段三小段,45.00,都市：其他:第三種住宅區。,4,1,持分移轉
RPQPMLLJRHPFFBA18DA,直興段三小段,6.66,都市：其他:第四種商業區。,100000,481,持分移轉
