編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPQRMLLKRHPFFCA68CC,榮星段七小段,.00,都市：住,,,
RPOOMLLKRHPFFCA18CC,中山段一小段,.00,都市：商,,,
RPVNMLLKRHPFFCA78CC,東湖段七小段,.00,都市：住,,,
RPTNMLLKRHPFFCA58CC,東湖段二小段,.00,都市：住,,,
RPWNMLLKRHPFFCA88CC,德惠段二小段,.00,都市：商,,,
RPWNMLLKRHPFFCA88CC,德惠段二小段,.00,都市：商,,,
RPRRMLLKRHPFFCA78CC,石潭段四小段,.00,都市：住,,,
RPUNMLLKRHPFFCA68CC,中山段一小段,.00,都市：商,,,
RPWQMLLKRHPFFCA56CC,榮星段六小段,.00,都市：商,,,
RPPQMLLKRHPFFCA48CC,中山段四小段,.00,都市：商,,,
RPQPMLLKRHPFFBA38CC,青年段二小段,.00,都市：住,,,
RPTPMLLKRHPFFBA68CC,臨沂段一小段,.00,都市：商,,,
RPTPMLLKRHPFFBA68CC,臨沂段一小段,.00,都市：住,,,
RPOOMLLKRHPFFDA28CC,民生段,27.08,都市：商,,,
RPWOMLLKRHPFFDA09CC,民生段,.00,都市：住,,,
RPOOMLLKRHPFFDA28CC,民生段,6.96,都市：商,,,
RPWOMLLKRHPFFDA09CC,民生段,.00,都市：住,,,
RPWOMLLKRHPFFDA09CC,民生段,.00,都市：住,,,
RPSOMLLKRHPFFDA68CC,永春段三小段,.00,都市：住,,,
RPXPMLLKRHPFFBA09CC,市府段一小段,.00,都市：其他:轉運站用地(公共設施用地),,,
RPXPMLLKRHPFFBA09CC,市府段一小段,.00,都市：其他:轉運站用地(公共設施用地),,,
RPVPMLLKRHPFFBA88CC,市府段三小段,.00,都市：商,,,
RPWPMLLKRHPFFBA98CC,莒光段二小段,.00,都市：商,,,
RPPPMLLKRHPFFDA48CC,寶清段六小段,.00,都市：商,,,
RPVOMLLKRHPFFDA98CC,民生段,.00,都市：住,,,
RPRPMLLKRHPFFDA68CC,寶清段六小段,.00,都市：商,,,
RPUPMLLKRHPFFDA98CC,雅祥段四小段,.00,都市：住,,,
RPUPMLLKRHPFFDA98CC,雅祥段四小段,.00,都市：商,,,
RPWPMLLKRHPFFEA66CC,立農段三小段,.00,都市：住,,,
RPUPMLLKRHPFFEA09CC,溫泉段二小段,.00,都市：住,,,
RPOOMLLKRHPFFEA38CC,永平段四小段,.00,都市：其他:道路用地(公共設施用地)。,,,
RPOOMLLKRHPFFEA38CC,永平段四小段,.00,都市：住,,,
RPWPMLLKRHPFFDA56CC,雅祥段三小段,.00,都市：住,,,
RPWOMLLKRHPFFEA56CC,文林段五小段,58.00,都市：商,,,
RPOOMLLKRHPFFFA48CC,仁愛段一小段,.00,都市：住,,,
RPVPMLLKRHPFFAA78CC,萬芳段二小段,.00,都市：其他:交通用地(公共設施用地),,,
RPQOMLLKRHPFFFA68CC,通化段四小段,.00,都市：商,,,
RPUQMLLKRHPFFCA09DC,文德段五小段,.00,都市：工,,,
RPPNMLNKRHPFFCA38CC,吉林段一小段,.00,都市：其他:聯合開發區(捷),,,
RPUNMLOKRHPFFCA98CC,中山段二小段,.00,都市：商,,,
RPROMLLKRHPFFFA78CC,仁愛段五小段,.00,都市：商,,,
RPTOMLLKRHPFFFA98CC,大安段三小段,.00,都市：住,,,
RPTNMLOKRHPFFCA88CC,正義段二小段,.00,都市：商,,,
RPUOMLLKRHPFFAA58CC,萬慶段二小段,.00,都市：商,,,
RPWNMLOKRHPFFCA56CC,中山段二小段,.00,都市：商,,,
RPOOMLOKRHPFFCA48CC,中山段一小段,.00,都市：商,,,
RPWOMLOKRHPFFCA66CC,德惠段四小段,.00,都市：商,,,
RPVOMLOKRHPFFCA56CC,正義段三小段,.00,都市：商,,,
RPSPMLOKRHPFFCA98CC,潭美段三小段,.00,都市：工,,,
RPXOMLOKRHPFFCA76CC,中山段一小段,.00,都市：商,,,
RPUNMLOKRHPFFDA09CC,雅祥段三小段,.00,都市：住,,,
RPTNMLOKRHPFFDA98CC,中南段二小段,.00,都市：住,,,
RPTNMLOKRHPFFDA98CC,中南段二小段,.00,都市：住,,,
RPTNMLOKRHPFFDA98CC,中南段二小段,.00,都市：住,,,
RPTNMLOKRHPFFDA98CC,中南段二小段,.00,都市：住,,,
RPTNMLOKRHPFFDA98CC,中南段二小段,.00,都市：住,,,
RPTNMLOKRHPFFDA98CC,中南段二小段,.00,都市：住,,,
RPTNMLOKRHPFFDA98CC,中南段二小段,.00,都市：住,,,
RPTNMLOKRHPFFDA98CC,中南段二小段,.00,都市：其他:道路用地(公共設施用地),,,
RPTNMLOKRHPFFDA98CC,中南段二小段,.00,都市：住,,,
RPTNMLOKRHPFFDA98CC,中南段二小段,.00,都市：住,,,
RPTNMLOKRHPFFDA98CC,中南段二小段,.00,都市：住,,,
RPTNMLOKRHPFFDA98CC,中南段二小段,.00,都市：其他:道路用地(公共設施用地),,,
RPXNMLOKRHPFFDA76CC,信義段五小段,.00,都市：其他:特定業務區(信義計畫特定專用區)。,,,
RPWNMLOKRHPFFDA66CC,西松段三小段,.00,都市：住,,,
RPOQMLOKRHPFFCA68CC,康寧段三小段,.00,都市：商,,,
RPRNMLOKRHPFFBA58CC,萬華段一小段,.00,都市：商,,,
RPXPMLOKRHPFFDA96CC,祥和段二小段,.00,都市：商,,,
RPOQMLOKRHPFFDA78CC,三興段三小段,.00,都市：商,,,
RPOQMLOKRHPFFDA78CC,三興段三小段,.00,都市：住,,,
RPWNMLOKRHPFFBA09CC,市府段一小段,.00,都市：其他:轉運站,,,
RPPOMLOKRHPFFBA48CC,青年段一小段,.00,都市：商,,,
RPPNMLOKRHPFFBA38CC,雙連段二小段,.00,都市：商,,,
RPPNMLOKRHPFFBA38CC,雙連段二小段,.00,都市：住,,,
RPROMLOKRHPFFBA68CC,市府段一小段,.00,都市：商,,,
RPTOMLOKRHPFFBA98DC,青年段一小段,.00,都市：住,,,
RPVOMLOKRHPFFBA09CC,臨沂段二小段,.00,都市：住,,,
RPVOMLOKRHPFFBA09CC,臨沂段二小段,.00,都市：住,,,
RPVOMLOKRHPFFBA09CC,臨沂段二小段,.00,都市：其他:道路用地(公共設施用地),,,
RPUOMLOKRHPFFBA98CC,市府段一小段,.00,都市：其他:轉運站用地,,,
RPQNMLOKRHPFFFA88CC,通化段一小段,.00,都市：商,,,
RPQNMLOKRHPFFFA88CC,通化段一小段,.00,都市：商,,,
RPQNMLOKRHPFFFA88CC,通化段一小段,.00,都市：商,,,
RPQNMLOKRHPFFFA88CC,通化段一小段,.00,都市：商,,,
RPQNMLOKRHPFFFA88CC,通化段一小段,.00,都市：商,,,
RPQNMLOKRHPFFFA88CC,通化段一小段,.00,都市：商,,,
RPXNMLOKRHPFFAA09CC,萬隆段二小段,.00,都市：住,,,
RPXNMLOKRHPFFFA96CC,復興段一小段,.00,都市：商,,,
RPXNMLOKRHPFFFA96CC,復興段一小段,.00,都市：商,,,
RPVOMLOKRHPFFFA86CC,瑞安段二小段,.00,都市：商,,,
RPVOMLOKRHPFFFA86CC,瑞安段二小段,.00,都市：商,,,
RPVOMLOKRHPFFFA86CC,瑞安段二小段,.00,都市：商,,,
RPVOMLOKRHPFFFA86CC,瑞安段二小段,.00,都市：商,,,
RPVOMLOKRHPFFFA86CC,瑞安段二小段,.00,都市：商,,,
RPTNMLOKRHPFFFA56CC,仁愛段三小段,.00,都市：住,,,
RPPOMLOKRHPFFAA38CC,景美段四小段,.00,都市：住,,,
RPRPMLOKRHPFFEA09CC,溫泉段一小段,.00,都市：商,,,
RPUNMLOKRHPFFEA56CC,天母段三小段,.00,都市：住,,,
RPUNMLOKRHPFFEA56CC,天母段三小段,.00,都市：其他:道路用地,,,
