交易標的,土地區段位置/建物區段門牌,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,屋齡,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位總價(元),移轉編號
transaction sign,land sector position building sector house number plate,transaction year month and day,transaction pen number,shifting level,total floor number,building state,room age,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth total price NTD,
房地(土地+建物)+車位,合作街331~360號,1090718,土地1建物1車位1,六層,八層,華廈(10層含以下有電梯),25,120.38,3,2,2,有,有,5300000,44027,0,00001
房地(土地+建物)+車位,合作街331~360號,1090818,土地1建物1車位1,六層,八層,華廈(10層含以下有電梯),25,120.38,3,2,2,有,有,6500000,53996,0,00001
房地(土地+建物),明德街1~30號,1090721,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),42,56.97,1,1,1,有,有,1510000,26505,0,00002
房地(土地+建物),明德街1~30號,1090821,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),42,56.97,2,1,1,有,有,2000000,35106,0,00002
房地(土地+建物),臺中市西區華美街154巷1~30號,1080328,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),41,75.97,3,2,2,有,無,5050000,66474,0,00003
房地(土地+建物),華美街154巷1~30號,1090728,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),41,75.97,3,2,2,有,無,8650000,113861,0,00003
房地(土地+建物),青島西街61~90號,1090808,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),36,81.25999999999999,2,2,2,有,有,3900000,47994,0,00004
房地(土地+建物),青島西街61~90號,1100108,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),36,81.25999999999999,2,2,2,有,有,5300000,65223,0,00004
房地(土地+建物)+車位,臺中市北區太原路二段181~210號,1070110,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),16,127.23,3,2,2,有,有,7500000,58948,0,00005
房地(土地+建物)+車位,太原路二段181~210號,1090810,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),16,127.23,2,1,2,有,有,7500000,58948,0,00005
房地(土地+建物),臺中市北屯區昌平路二段4巷31~60號,1090209,土地1建物1車位0,一層,九層,華廈(10層含以下有電梯),26,94.35,3,2,2,有,有,5000000,52994,0,00006
房地(土地+建物),昌平路二段4巷31~60號,1090809,土地1建物1車位0,一層,九層,華廈(10層含以下有電梯),26,94.35,5,2,2,有,有,6460000,68468,0,00006
房地(土地+建物),臺中市北屯區文心路四段271~300號,1060725,土地1建物1車位0,五層,二十二層,住宅大樓(11層含以上有電梯),7,63.68000000000001,1,1,1,有,有,4920000,77261,0,00007
