鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
中正區,房地(土地+建物),祥豐街241~270號,31.1,都市：其他:住宅區(住一),,,1090727,土地1建物1車位0,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870115,138.94,3,2,1,有,有,5800000,41745,,0.0,0,陽台外推;,RPUNMLPLQHPFFBC09DA,92.74,0.0,8.73,有,
信義區,房地(土地+建物)+車位,義六路1~30號,44.09,住,,,1090701,土地1建物1車位2,十六層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030314,307.1,3,2,2,有,有,34880000,113579,坡道平面,50.22,0,,RPQOMLPLQHPFFBC78DA,151.78,18.66,10.11,有,0001
信義區,房地(土地+建物),培德路14巷1~30號,42.23,都市：其他:道路用地,,,1090601,土地4建物1車位0,一層，見其他登記事項,三層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0780605,167.78,4,2,4,有,無,6250000,37251,,0.0,0,,RPOPMLRLQHPFFBC88DA,157.47,0.0,8.13,無,0002
信義區,房地(土地+建物),東光路31~60號,24.51,住,,,1090719,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0801203,168.45,4,2,3,有,無,7000000,41555,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;頂樓加蓋;,RPVOMLRJRHPFFBC76DA,105.56,0.0,10.65,有,
信義區,房地(土地+建物),深澳坑路172巷61~90號,28.68,都市：其他:住宅區(住四),,,1090810,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0870610,119.27,3,2,2,有,無,4500000,37730,,0.0,0,,RPVNMLTJRHPFFBC86DA,85.11,10.75,0.0,無,
中正區,房地(土地+建物)+車位,觀海街31~60號,17.75,住,,,1090804,土地1建物1車位1,一層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,130.94,3,1,2,有,有,4300000,32839,坡道平面,0.0,0,,RPWOMLSJRHPFFBC96DA,63.99,0.0,8.94,有,
安樂區,房地(土地+建物)+車位,中和路85巷1~30號,22.48,都市：其他:道路用地,,,1090516,土地7建物1車位1,七層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860508,113.97999999999999,4,2,2,有,有,5200000,45622,坡道平面,31.15,0,陽台外推;夾層;,RPUOMLRJQHPFFCC66DA,61.63,0.75,7.95,有,
中山區,房地(土地+建物),中山一路241巷91~120號,63.0,都市：其他:道路用地,,,1090809,土地3建物1車位0,全,二層,透天厝,住家用,加強磚造,0610412,58.32,3,2,2,有,無,3000000,51440,,0.0,0,頂樓加蓋;,RPXOMLTKQHPFFCC27DA,58.32,0.0,0.0,無,
安樂區,房地(土地+建物),基金二路1~30號,17.04,都市：其他:河川區,,,1090729,土地3建物1車位0,二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820702,148.98000000000002,3,2,2,有,有,4500000,30205,,0.0,0,,RPSOMLOLQHPFFCC98DA,95.68,3.37,22.35,有,
