交易標的,土地區段位置/建物區段門牌,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,屋齡,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位總價(元),移轉編號
transaction sign,land sector position building sector house number plate,transaction year month and day,transaction pen number,shifting level,total floor number,building state,room age,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth total price NTD,
房地(土地+建物)+車位,基隆市信義區義六路1~30號,1030401,土地1建物1車位2,十六層,二十四層,住宅大樓(11層含以上有電梯),-1,307.1,4,2,3,有,有,21880000,74324,2700000,0001
房地(土地+建物)+車位,義六路1~30號,1090701,土地1建物1車位2,十六層,二十四層,住宅大樓(11層含以上有電梯),-1,307.1,3,2,2,有,有,34880000,113579,0,0001
房地(土地+建物),基隆市信義區培德路14巷1~30號,1070601,土地4建物1車位0,一層，見其他登記事項,三層,公寓(5樓含以下無電梯),31,167.78,4,4,1,有,無,5200000,30993,0,0002
房地(土地+建物),培德路14巷1~30號,1090601,土地4建物1車位0,一層，見其他登記事項,三層,公寓(5樓含以下無電梯),31,167.78,4,2,4,有,無,6250000,37251,0,0002
房地(土地+建物),基隆市中山區中山三路103巷121~150號,1020318,土地5建物1車位0,四層,四層,公寓(5樓含以下無電梯),29,103.27,3,2,2,有,無,1100000,10652,0,0003
房地(土地+建物),基隆市中山區中山三路103巷121~150號,1060118,土地5建物1車位0,四層,四層,公寓(5樓含以下無電梯),29,103.27,3,2,1,有,無,1700000,16462,0,0003
房地(土地+建物),中山三路103巷121~150號,1090818,土地5建物1車位0,四層,四層,公寓(5樓含以下無電梯),29,103.27,3,2,1,有,無,1850000,17914,0,0003
房地(土地+建物)+車位,基隆市安樂區基金二路1巷181~210號,1040611,土地2建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),28,173.68,4,2,2,有,有,4700000,27061,0,0004
房地(土地+建物)+車位,基金二路1巷181~210號,1090811,土地2建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),28,173.68,4,2,2,有,有,5100000,29364,0,0004
房地(土地+建物)+車位,基隆市中正區新豐街303巷11弄31~60號,1090411,土地1建物1車位1,四層,七層,華廈(10層含以下有電梯),26,118.99,3,2,2,有,有,4200000,35297,0,0005
房地(土地+建物)+車位,新豐街303巷11弄31~60號,1090811,土地1建物1車位1,四層,七層,華廈(10層含以下有電梯),26,118.99,3,2,2,有,有,4450000,37398,0,0005
房地(土地+建物),基隆市仁愛區延平街1~30號,1041031,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),50,54.74,3,1,1,有,無,2100000,38363,0,0006
房地(土地+建物),延平街1~30號,1090831,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),50,54.74,3,1,1,有,無,2200000,40190,0,0006
房地(土地+建物),基隆市信義區深澳坑路151~180號,1020931,土地1建物1車位0,三層,十層,套房(1房1廳1衛),26,30.049999999999997,1,1,1,有,有,770000,25624,0,0007
房地(土地+建物),深澳坑路151~180號,1090831,土地1建物1車位0,三層,十層,華廈(10層含以下有電梯),26,30.049999999999997,1,0,1,有,有,1200000,39933,0,0007
建物,基隆市仁愛區獅球路44巷31~60號,1060714,土地0建物1車位0,全,二層,透天厝,-1,71.92,2,1,1,有,無,2000000,27809,0,0008
建物,獅球路44巷31~60號,1090814,土地0建物1車位0,全,二層,透天厝,-1,71.92,3,2,3,有,無,1650000,22942,0,0008
房地(土地+建物)+車位,基隆市信義區深溪路38巷1~30號,1041106,土地1建物1車位1,九層,十層,華廈(10層含以下有電梯),3,119.32,3,2,1,有,有,5450000,49185,770000,0009
房地(土地+建物)+車位,深溪路38巷1~30號,1090806,土地1建物1車位1,九層,十層,華廈(10層含以下有電梯),3,119.32,2,1,1,有,有,8200000,68723,0,0009
房地(土地+建物),基隆市中正區觀海街61~90號,1050426,土地2建物1車位0,八層,十五層,住宅大樓(11層含以上有電梯),22,72.14,2,1,2,有,有,2400000,33269,0,0010
房地(土地+建物),觀海街61~90號,1090726,土地2建物1車位0,八層,十五層,住宅大樓(11層含以上有電梯),22,72.14,2,1,1,有,有,2550000,35348,0,0010
房地(土地+建物)+車位,基隆市安樂區麥金路301~330號,1050523,土地3建物1車位1,十五層,十八層,住宅大樓(11層含以上有電梯),4,139.33,3,2,2,有,有,9950000,70873,1200000,0011
房地(土地+建物)+車位,麥金路301~330號,1090723,土地3建物1車位1,十五層,十八層,住宅大樓(11層含以上有電梯),4,139.33,3,2,2,有,有,11000000,78949,0,0011
房地(土地+建物)+車位,基隆市安樂區中和路85巷1~30號,1020826,土地6建物1車位1,三層,十一層,住宅大樓(11層含以上有電梯),23,72.39,2,1,1,有,有,2530000,34950,0,0012
房地(土地+建物)+車位,中和路85巷1~30號,1090826,土地7建物1車位1,三層,十一層,住宅大樓(11層含以上有電梯),23,72.39,3,2,1,有,有,3000000,41442,0,0012
房地(土地+建物),基隆市安樂區新西街31~60號,1081014,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),37,100.36,2,1,2,有,無,1500000,14946,0,0013
房地(土地+建物),新西街31~60號,1090614,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),37,100.36,3,2,2,有,無,2700000,26903,0,0013
房地(土地+建物)+車位,基隆市安樂區基金一路91~120號,1061122,土地1建物1車位1,二層,十二層,住宅大樓(11層含以上有電梯),28,98.55000000000001,2,2,2,有,有,4020000,33369,0,0014
房地(土地+建物),基金一路91~120號,1090722,土地1建物1車位0,二層,十二層,住宅大樓(11層含以上有電梯),28,98.55000000000001,3,1,2,有,有,3820000,38762,0,0014
房地(土地+建物),基隆市中山區復興路259巷61~90號,1020629,土地6建物1車位0,二層,五層,套房(1房1廳1衛),25,44.980000000000004,1,1,1,有,無,1000000,22232,0,0015
房地(土地+建物),復興路259巷61~90號,1090829,土地6建物1車位0,二層,五層,公寓(5樓含以下無電梯),25,44.980000000000004,1,1,1,有,無,1650000,36683,0,0015
房地(土地+建物),基隆市中山區德安路91~120號,1081109,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),41,46.75,3,2,2,有,無,2000000,42781,0,0016
房地(土地+建物),德安路91~120號,1090709,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),41,46.75,7,0,3,有,無,1800000,38503,0,0016
房地(土地+建物),基隆市暖暖區八堵路185巷61~90號,1081231,土地2建物1車位0,二層,五層,公寓(5樓含以下無電梯),37,91.08,2,1,1,有,無,3000000,32938,0,0017
房地(土地+建物),八堵路185巷61~90號,1090731,土地2建物1車位0,二層,五層,公寓(5樓含以下無電梯),37,91.08,3,2,2,有,無,3300000,36232,0,0017
房地(土地+建物),基隆市暖暖區暖暖街197巷1~30號,1021123,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),39,80.5,2,2,1,有,無,2200000,27329,0,0018
房地(土地+建物),暖暖街197巷1~30號,1090823,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),39,80.5,2,2,1,有,無,3200000,39752,0,0018
