編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPUNMLPLQHPFFBC09DA,港濱段,31.10,都市：其他:住宅區(住一),100000,1143,持分移轉
RPVOMLRJRHPFFBC76DA,光明段,24.51,都市：住,10000,285,持分移轉
RPXOMLTKQHPFFCC27DA,太平段,51.00,都市：其他:住宅區,1,1,全筆移轉
RPXOMLTKQHPFFCC27DA,太平段,1.00,都市：其他:住宅區,1,1,全筆移轉
RPXOMLTKQHPFFCC27DA,太平段,11.00,都市：其他:道路用地,1,1,全筆移轉
RPRNMLRJRHPFFCC98DA,工建段,29.61,都市：其他:住宅區(住三),10000,1540,持分移轉
RPPNMLSJRHPFFCC98EA,協和段,.29,都市：其他:道路用地,10000,178,持分移轉
RPPNMLSJRHPFFCC98EA,協和段,1.14,都市：其他:道路用地,10000,178,持分移轉
RPPNMLSJRHPFFCC98EA,協和段,71.14,都市：其他:住宅區(住二),10000,178,持分移轉
RPPNMLSJRHPFFCC98EA,協和段,2.56,都市：其他:住宅區(住二),10000,178,持分移轉
RPPNMLSJRHPFFCC98EA,協和段,.10,都市：其他:廣場兼停車場用地,10000,178,持分移轉
RPUOMLRJQHPFFCC66DA,代天府段,21.99,都市：其他:住宅區(住三),100000,54,持分移轉
RPUOMLRJQHPFFCC66DA,代天府段,.13,都市：其他:道路用地,100000,54,持分移轉
RPUOMLRJQHPFFCC66DA,代天府段,.17,都市：其他:住宅區(住三),100000,54,持分移轉
RPUOMLRJQHPFFCC66DA,代天府段,.04,都市：其他:保護區,100000,54,持分移轉
RPUOMLRJQHPFFCC66DA,代天府段,.00,都市：其他:住宅區(住三),100000,54,持分移轉
RPUOMLRJQHPFFCC66DA,代天府段,.09,都市：其他:住宅區(住三),100000,54,持分移轉
RPUOMLRJQHPFFCC66DA,代天府段,.05,都市：其他:道路用地,100000,54,持分移轉
RPQOMLPLQHPFFBC78DA,中正段三小段,44.09,都市：住,10000,100,持分移轉
RPSOMLLLQHPFFCC78EA,太平段,34.50,都市：其他:住宅區,2,1,持分移轉
RPSOMLLLQHPFFCC78EA,太平段,8.00,都市：其他:道路用地,2,1,持分移轉
RPSOMLLLQHPFFCC78EA,太平段,.50,都市：其他:道路用地,2,1,持分移轉
RPSOMLOLQHPFFCC98DA,情人湖段,16.92,都市：其他:住宅區,10000,159,持分移轉
RPSOMLOLQHPFFCC98DA,情人湖段,.10,都市：其他:保護區,10000,159,持分移轉
RPSOMLOLQHPFFCC98DA,情人湖段,.02,都市：其他:河川區,10000,159,持分移轉
RPVNMLTJRHPFFBC86DA,基瑞段,28.68,都市：其他:住宅區(住四),10000,157,持分移轉
RPUNMLTJRHPFFBC86EA,調和段,127.95,都市：住,10000,1745,持分移轉
RPSOMLPJQHPFFCC88DA,源遠段,23.56,都市：其他:住宅區(住二),100000,123,持分移轉
RPTOMLRJRHPFFCC66DA,武嶺段,.04,都市：其他:道路用地,100000,130,持分移轉
RPTOMLRJRHPFFCC66DA,武嶺段,.07,都市：其他:道路用地,100000,130,持分移轉
RPTOMLRJRHPFFCC66DA,武嶺段,5.12,都市：其他:住宅區(住一),100000,130,持分移轉
RPTOMLRJRHPFFCC66DA,武嶺段,.05,都市：其他:道路用地,100000,130,持分移轉
RPTOMLRJRHPFFCC66DA,武嶺段,.12,都市：其他:住宅區(住一),100000,130,持分移轉
RPTOMLRJRHPFFCC66DA,武嶺段,2.36,都市：其他:住宅區(住一),100000,130,持分移轉
RPTOMLRJRHPFFCC66DA,武嶺段,.01,都市：其他:道路用地,100000,130,持分移轉
RPTOMLRJRHPFFCC66DA,武嶺段,5.42,都市：其他:住宅區(住一),100000,130,持分移轉
RPTOMLRJRHPFFCC66DA,武嶺段,.12,都市：其他:道路用地,100000,130,持分移轉
RPTOMLRJRHPFFCC66DA,武嶺段,.05,都市：其他:道路用地,100000,130,持分移轉
RPTOMLRJRHPFFCC66DA,武嶺段,.21,都市：其他:道路用地,100000,130,持分移轉
RPTOMLRJRHPFFCC66DA,武嶺段,.02,都市：其他:住宅區(住一),100000,130,持分移轉
RPTOMLRJRHPFFCC66DA,武嶺段,.12,都市：其他:道路用地,100000,130,持分移轉
RPTOMLRJRHPFFCC66DA,武嶺段,.02,都市：其他:道路用地,100000,130,持分移轉
RPTOMLRJRHPFFCC66DA,武嶺段,.03,都市：其他:住宅區(住一),100000,130,持分移轉
RPTOMLRJRHPFFCC66DA,武嶺段,.00,都市：其他:住宅區(住一),100000,130,持分移轉
RPTOMLRJRHPFFCC66DA,武嶺段,1.17,都市：其他:住宅區(住一),100000,130,持分移轉
RPTOMLRJRHPFFCC66DA,武嶺段,.08,都市：其他:住宅區(住一),100000,130,持分移轉
RPTOMLRJRHPFFCC66DA,武嶺段,7.70,都市：其他:住宅區(住一),100000,130,持分移轉
RPTOMLRJRHPFFCC66DA,武嶺段,.00,都市：其他:道路用地,100000,130,持分移轉
RPTOMLRJRHPFFCC66DA,武嶺段,1.74,都市：其他:住宅區(住一),100000,130,持分移轉
RPTOMLRJRHPFFCC66DA,武嶺段,.02,都市：其他:住宅區(住一),100000,130,持分移轉
RPTOMLRJRHPFFCC66DA,武嶺段,.06,都市：其他:住宅區(住一),100000,130,持分移轉
RPTOMLRJRHPFFCC66DA,武嶺段,.03,都市：其他:住宅區(住一),100000,130,持分移轉
RPTOMLRJRHPFFCC66DA,武嶺段,2.65,都市：其他:住宅區(住一),100000,130,持分移轉
RPTOMLRJRHPFFCC66DA,武嶺段,.05,都市：其他:住宅區(住一),100000,130,持分移轉
RPTOMLRJRHPFFCC66DA,武嶺段,.03,都市：其他:住宅區(住一),100000,130,持分移轉
RPTOMLRJRHPFFCC66DA,武嶺段,.02,都市：其他:住宅區(住一),100000,130,持分移轉
RPTOMLRJRHPFFCC66DA,武嶺段,.03,都市：其他:住宅區(住一),100000,130,持分移轉
RPTOMLRJRHPFFCC66DA,武嶺段,.02,都市：其他:住宅區(住一),100000,130,持分移轉
RPTOMLRJRHPFFCC66DA,武嶺段,.09,都市：其他:道路用地,100000,130,持分移轉
RPTOMLRJRHPFFCC66DA,武嶺段,.05,都市：其他:住宅區(住一),100000,130,持分移轉
RPTOMLRJRHPFFCC66DA,武嶺段,.00,都市：其他:道路用地,100000,130,持分移轉
RPQNMLQJRHPFFCC78DA,大德段,19.00,都市：其他:住宅區,10,1,持分移轉
RPOOMLNJRHPFFBC28DA,調和段,25.83,都市：商,30650,255,持分移轉
RPVPMLRJRHPFFBC86DA,延平段,17.70,都市：住,10,1,持分移轉
RPSOMLKKRHPFFCC58DA,武嶺段,24.01,都市：其他:住宅區(住三),100000,690,持分移轉
RPSOMLKKRHPFFCC58DA,武嶺段,.71,都市：其他:住宅區(住三),100000,690,持分移轉
RPPOMLKKRHPFFBC18DA,深澳段,28.38,都市：其他:住宅區(住四),10000,82,持分移轉
RPWOMLSJRHPFFBC96DA,長潭段,17.75,都市：住,100000,65,持分移轉
RPXOMLSJRHPFFBC07DA,基瑞段,32.33,都市：其他:住宅區(住四),10000,177,持分移轉
RPOPMLRLQHPFFBC88DA,光明段,40.14,都市：其他:部分住宅部分道路,100000,3304,持分移轉
RPOPMLRLQHPFFBC88DA,光明段,1.12,都市：其他:部分住宅部分道路,100000,3304,持分移轉
RPOPMLRLQHPFFBC88DA,光明段,.76,都市：其他:部分住宅部分道路,100000,3304,持分移轉
RPOPMLRLQHPFFBC88DA,光明段,.20,都市：其他:道路用地,100000,3304,持分移轉
