編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPOQMLOLRHPFFBC88CC,祥豐段,.00,都市：住,,,
RPOQMLOLRHPFFBC88CC,祥豐段,.00,都市：住,,,
RPOQMLOLRHPFFBC88CC,祥豐段,.00,都市：住,,,
RPTPMLOLRHPFFBC66CC,福祿段,.00,都市：住,,,
RPPOMLLKRHPFFCC48CC,新中山段,.00,都市：商,,,
RPSOMLOLRHPFFBC09CC,港濱段,.00,都市：住,,,
RPUNMLOKRHPFFBC09CC,日新段二小段,6.66,都市：商,,,
RPUNMLOKRHPFFBC09CC,日新段二小段,2.91,都市：商,,,
RPUNMLOKRHPFFBC09CC,日新段二小段,1.00,都市：商,,,
RPUNMLOKRHPFFBC09CC,日新段二小段,6.00,都市：商,,,
RPXOMLOLRHPFFBC96CC,福祿段,.00,都市：住,,,
RPVOMLOLRHPFFBC76CC,深美段,.00,都市：住,,,
RPQPMLNLRHPFFBC88CC,長潭段,79.63,都市：住,,,
RPTOMLOLRHPFFBC56CC,調和段,.00,都市：住,,,
RPVPMLOKRHPFFCC86CC,武嶺段,.00,都市：其他:道路用地,,,
RPVPMLOKRHPFFCC86CC,武嶺段,.00,都市：其他:道路用地,,,
RPVPMLOKRHPFFCC86CC,武嶺段,.00,都市：住,,,
RPVPMLOKRHPFFCC86CC,武嶺段,.00,都市：其他:道路用地,,,
RPVPMLOKRHPFFCC86CC,武嶺段,.00,都市：住,,,
RPVPMLOKRHPFFCC86CC,武嶺段,.00,都市：住,,,
RPVPMLOKRHPFFCC86CC,武嶺段,.00,都市：其他:道路用地,,,
RPVPMLOKRHPFFCC86CC,武嶺段,.00,都市：住,,,
RPVPMLOKRHPFFCC86CC,武嶺段,.00,都市：其他:道路用地,,,
RPVPMLOKRHPFFCC86CC,武嶺段,.00,都市：其他:道路用地,,,
RPVPMLOKRHPFFCC86CC,武嶺段,.00,都市：其他:道路用地,,,
RPVPMLOKRHPFFCC86CC,武嶺段,.00,都市：其他:部份道路用地部份住宅區(住一),,,
RPVPMLOKRHPFFCC86CC,武嶺段,.00,都市：其他:道路用地,,,
RPVPMLOKRHPFFCC86CC,武嶺段,.00,都市：住,,,
RPVPMLOKRHPFFCC86CC,武嶺段,.00,都市：其他:部份道路用地部份住宅區(住一),,,
RPVPMLOKRHPFFCC86CC,武嶺段,.00,都市：住,,,
RPVPMLOKRHPFFCC86CC,武嶺段,.00,都市：住,,,
RPVPMLOKRHPFFCC86CC,武嶺段,.00,都市：其他:部份道路用地部份住宅區(住一),,,
RPVPMLOKRHPFFCC86CC,武嶺段,.00,都市：住,,,
RPVPMLOKRHPFFCC86CC,武嶺段,.00,都市：其他:道路用地,,,
RPVPMLOKRHPFFCC86CC,武嶺段,.00,都市：住,,,
RPVPMLOKRHPFFCC86CC,武嶺段,.00,都市：住,,,
RPVPMLOKRHPFFCC86CC,武嶺段,.00,都市：住,,,
RPVPMLOKRHPFFCC86CC,武嶺段,.00,都市：住,,,
RPVPMLOKRHPFFCC86CC,武嶺段,.00,都市：住,,,
RPVPMLOKRHPFFCC86CC,武嶺段,.00,都市：住,,,
RPVPMLOKRHPFFCC86CC,武嶺段,.00,都市：住,,,
RPVPMLOKRHPFFCC86CC,武嶺段,.00,都市：住,,,
RPVPMLOKRHPFFCC86CC,武嶺段,.00,都市：住,,,
RPVPMLOKRHPFFCC86CC,武嶺段,.00,都市：住,,,
RPVPMLOKRHPFFCC86CC,武嶺段,.00,都市：其他:道路用地,,,
RPVPMLOKRHPFFCC86CC,武嶺段,.00,都市：住,,,
RPVPMLOKRHPFFCC86CC,武嶺段,.00,都市：其他:道路用地,,,
RPUQMLOLRHPFFBC86CC,成功段,.00,都市：商,,,
RPXQMLOLRHPFFBC17CC,長潭段,.00,都市：住,,,
RPORMLOLRHPFFBC98CC,南新段,.00,都市：商,,,
RPORMLOLRHPFFBC98CC,南新段,.00,都市：商,,,
RPQPMLOLRHPFFCC09CC,明德段,.00,都市：住,,,
RPWOMLOLRHPFFCC96CC,源遠段,.00,都市：住,,,
RPPRMLOLRHPFFBC09CC,培德段,.00,都市：住,,,
RPSOMLOLRHPFFCC56CC,工建段,.00,都市：住,,,
RPXOMLOLRHPFFCC07CC,安國段,.00,都市：住,,,
RPTOMLOLRHPFFCC66CC,代天府段,.00,都市：住,,,
RPTOMLOLRHPFFCC66CC,代天府段,.00,都市：住,,,
RPPPMLOLRHPFFCC98CC,大德段,.00,都市：住,,,
RPRPMLOLRHPFFCC56CC,工建段,.00,都市：住,,,
RPTPMLOLRHPFFCC76CC,新會段,.00,都市：住,,,
RPPOMLPLRHPFFCC98CC,長安段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,
RPWOMLPLRHPFFCC07CC,八德段,.00,都市：住,,,
RPVOMLPLRHPFFCC96CC,大華段,.00,都市：住,,,
RPPPMLPLRHPFFCC09CC,德安段,.00,都市：住,,,
RPXOMLPLRHPFFCC17CC,五堵段五堵北小段,.00,都市：住,,,
RPWNMLPLRHPFFBC86CC,東信段三小段,58.40,都市：商,,,
RPVNMLPLRHPFFBC76CC,長潭段,.00,都市：住,,,
RPOOMLPLRHPFFBC78CC,調和段,.00,都市：住,,,
RPPOMLPLRHPFFBC88CC,忠義段五小段,.00,都市：住,,,
RPQOMLPLRHPFFBC98CC,深美段,.00,都市：住,,,
RPXNMLQLRHPFFBC07CC,延平段,.00,都市：商,,,
RPTRMLTLRHPFFBC37CC,祥豐段,.00,都市：住,,,
RPOOMLPJIIPFFBC77CC,德厚段,.00,都市：商,,,
RPSOMLTLRHPFFBC07DC,港濱段,38.80,都市：商,,,
RPSOMLTLRHPFFBC07DC,港濱段,4.40,都市：住,,,
RPOOMLQLRHPFFBC88CC,長潭段,.00,都市：住,,,
RPUNMLTLRHPFFCC17CC,安國段,7.88,都市：其他:部分學校用地、部分道路用地、部分住宅區,,,
RPPOMLTLRHPFFCC76CC,代天府段,.00,都市：住,,,
RPPOMLTLRHPFFCC76CC,代天府段,.00,都市：住,,,
RPUNMLRJIIPFFBC48CC,調和段,.00,都市：住,,,
RPPOMLSJIIPFFCC28CC,安國段,.00,都市：住,,,
RPSOMLMKIIPFFCC08CC,工建段,3004.00,都市：工,,,
RPXNMLSJIIPFFCC98CC,情人湖段,.00,都市：住,,,
RPUOMLNKIIPFFCC38CC,新會段,.00,都市：住,,,
RPTOMLNKIIPFFCC28CC,榮華段,.00,都市：商,,,
RPWNMLMKIIPFFCC38CC,麥金段,10.37,都市：住,,,
RPWNMLMKIIPFFCC38CC,麥金段,.01,都市：住,,,
RPWNMLMKIIPFFCC38CC,麥金段,.00,都市：住,,,
RPOOMLNKIIPFFBC67CC,延年段,.00,都市：商,,,
RPWOMLNKIIPFFCC58CC,安國段,.00,都市：住,,,
RPXNMLNKIIPFFBC48CC,調和段,.00,都市：住,,,
RPQOMLNKIIPFFBC87CC,長潭段,.00,都市：住,,,
RPQOMLNKIIPFFBC87CC,長潭段,.00,都市：住,,,
