編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPWNMLLKRHPFFAD98CC,正覺段,56.50,都市：住,,,
RPVNMLLKRHPFFCD09CC,精忠段,.00,都市：住,,,
RPPOMLLKRHPFFKD76CC,六甲頂段,.00,都市：住,,,
RPPOMLLKRHPFFKD76CC,六甲頂段,.00,都市：住,,,
RPTNMLLKRHPFFCD88CC,虎尾寮段,.00,都市：住,,,
RPUOMLLKRHPFFCD09CC,仁和段,.00,都市：住,,,
RPSNMLLKRHPFFID76CC,林仔段,.00,都市：工,,,
RPPOMLLKRHPFFGD98CC,文化段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,
RPROMLOKRHPFFBD98CC,和館段,133.04,都市：住,,,
RPROMLOKRHPFFBD98CC,和館段,7.22,都市：住,,,
RPROMLOKRHPFFBD98CC,和館段,42.30,都市：住,,,
RPRNMLOKRHPFFID96CC,嘉南段,9.00,都市：住,,,
RPQNMLOKRHPFFID86CC,嘉南段,9.00,都市：住,,,
RPOOMLOKRHPFFID76CC,嘉南段,9.00,都市：住,,,
RPPOMLPKRHPFFCD98CC,龍泉段,4.87,都市：商,,,
RPUNMLOKRHPFFCD66CC,路東段,42.46,都市：住,,,
RPQQMLOKRHPFFAD98CC,金華段,.00,都市：住,,,
RPTOMLPKRHPFFCD76CC,府東段,.00,都市：住,,,
RPRPMLPKRHPFFAD09CC,華興段,.00,都市：住,,,
RPVOMLOKRHPFFID47CC,二行段,.00,都市：住,,,
RPQOMLPKRHPFFCD09CC,新東段,.00,都市：住,,,
RPWOMLPKRHPFFHD57CC,善新段,.00,都市：住,,,
RPRNMLPKRHPFFHD96CC,善駕段,69.61,都市：住,,,
RPOPMLPKRHPFFHD86CC,善新段,.00,都市：住,,,
RPQPMLPKRHPFFHD07CC,善新段,.00,都市：其他:生活服務區,,,
RPRPMLPKRHPFFHD17CC,海安段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,
RPSPMLPKRHPFFBD66CC,國安段,.00,都市：其他:住宅區,,,
RPUOMLPKRHPFFKD67CC,頂安段,.00,都市：住,,,
RPVOMLPKRHPFFKD77CC,兵北段,.00,都市：住,,,
RPXOMLPKRHPFFKD97CC,成功段,.00,都市：商,,,
RPOPMLPKRHPFFKD17CC,南工段,.00,都市：商,,,
RPTOMLQKRHPFFKD67CC,鹽東段,.00,都市：住,,,
RPSOMLQKRHPFFKD57CC,仁愛段,.00,都市：住,,,
RPSOMLQKRHPFFKD57CC,仁愛段,.00,都市：住,,,
RPSOMLQKRHPFFKD57CC,仁愛段,.00,都市：住,,,
RPSOMLQKRHPFFKD57CC,仁愛段,.00,都市：住,,,
