編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPTPMLTJJIPFFCE09CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉
RPVOMLTJJIPFFCE56CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉
RPSPMLTJJIPFFCE98CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉
RPXOMLTJJIPFFCE76CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉
RPRPMLTJJIPFFCE88CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉
RPUPMLTJJIPFFCE56CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉
RPVPMLTJJIPFFCE66CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉
RPWOMLTJJIPFFCE66CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉
RPPPMLTJJIPFFCE68CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉
RPQPMLTJJIPFFCE78CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉
RPVQMLTJJIPFFCE76CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉
RPXQMLTJJIPFFCE96CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉
RPPRMLTJJIPFFCE88CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉
RPXPMLTJJIPFFCE86CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉
RPPQMLTJJIPFFCE78CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉
RPOQMLTJJIPFFCE68CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉
RPQQMLTJJIPFFCE88CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉
RPTQMLTJJIPFFCE56CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉
RPRQMLTJJIPFFCE98CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉
RPWPMLTJJIPFFCE76CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉
RPQRMLTJJIPFFCE98CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉
RPTRMLTJJIPFFCE66CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉
RPRRMLTJJIPFFCE09CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉
RPSRMLTJJIPFFCE56CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉
RPVRMLTJJIPFFCE86CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉
RPWRMLTJJIPFFCE96CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉
RPXRMLTJJIPFFCE07CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉
RPPSMLTJJIPFFCE98CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉
RPOSMLTJJIPFFCE88CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉
RPURMLTJJIPFFCE76CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉
RPQSMLTJJIPFFCE09CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉
RPRSMLTJJIPFFCE56CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉
RPVSMLTJJIPFFCE96CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉
RPSSMLTJJIPFFCE66CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉
RPXSMLTJJIPFFCE17CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉
RPTSMLTJJIPFFCE76CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉
RPQTMLTJJIPFFCE56CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉
RPUSMLTJJIPFFCE86CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉
RPWSMLTJJIPFFCE07CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉
RPOTMLTJJIPFFCE98CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉
RPPTMLTJJIPFFCE09CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉
RPRTMLTJJIPFFCE66CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉
RPSTMLTJJIPFFCE76CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉
RPVTMLTJJIPFFCE07CB,獅甲段三小段,10.48,都市：商,100000,225,持分移轉
RPTTMLTJJIPFFCE86CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉
RPWTMLTJJIPFFCE17CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉
