編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPXNMLLKRHPFFAE56CC,14,65.52,住家用,鋼筋混凝土造,95年3月3日,十五層,
RPXNMLLKRHPFFAE56CC,14,34.22,共有部分,鋼筋混凝土造,95年3月3日,十五層,
RPTNMLLKRHPFFBE88CC,13,140.73,住家用,鋼筋混凝土造,96年8月13日,十五層,
RPTNMLLKRHPFFBE88CC,13,66.60,,鋼筋混凝土造,96年8月13日,十五層,
RPOOMLLKRHPFFAE38CC,27,474.71,商業用,鋼筋混凝土造,82年4月16日,二十二層,
RPOOMLLKRHPFFAE38CC,27,60.45,見使用執照,鋼筋混凝土造,82年4月16日,二十二層,
RPPNMLLKRHPFFBE48CC,12,30.46,住家用,鋼筋混凝土造,97年9月19日,十三層,
RPPNMLLKRHPFFBE48CC,12,8.33,共有部分,鋼筋混凝土造,97年9月19日,十三層,
RPPNMLLKRHPFFBE48CC,12,8.42,共有部分,鋼筋混凝土造,97年9月19日,十三層,
RPUNMLLKRHPFFAE88CC,2,146.66,見其它登記事項,見其它登記事項,107年12月13日,二十九層,
RPUNMLLKRHPFFAE88CC,2,101.07,見其它登記事項,見其它登記事項,107年12月13日,二十九層,
RPQOMLLKRHPFFBE68CC,56,80.82,,加強磚造,53年4月1日,三層,
RPVNMLLKRHPFFCE56CC,11,68.96,住家用,鋼筋混凝土造,98年12月24日,十九層,
RPVNMLLKRHPFFCE56CC,11,36.35,見其它登記事項,鋼筋混凝土造,98年12月24日,十九層,
RPUNMLLKRHPFFBE98CC,28,93.40,住家用,鋼筋混凝土造,81年8月18日,七層,
RPWNMLLKRHPFFBE56CC,43,57.95,,鋼筋混凝土造,66年5月6日,四層,
RPPOMLLKRHPFFCE68CC,14,54.24,住家用,鋼筋混凝土造,95年6月14日,十五層,
RPPOMLLKRHPFFCE68CC,14,21.23,共有部分,鋼筋混凝土造,95年6月14日,十五層,
RPVNMLLKRHPFFDE66CC,23,165.85,住商用,鋼筋混凝土造,86年5月26日,十二層,
RPVNMLLKRHPFFDE66CC,23,39.63,見使用執照,鋼筋混凝土造,86年5月26日,十二層,
RPQOMLLKRHPFFDE88CC,23,121.08,住家用,鋼筋混凝土造,86年7月29日,二十二層,
RPQOMLLKRHPFFDE88CC,23,36.58,見使用執照,鋼筋混凝土造,86年7月29日,二十二層,
RPUNMLLKRHPFFEE66CC,7,139.94,住家用,鋼筋混凝土造,102年11月11日,十五層,
RPUNMLLKRHPFFEE66CC,7,90.74,見其它登記事項,鋼筋混凝土造,102年11月11日,十五層,
RPRNMLLKRHPFFEE98CC,2,53.09,見其它登記事項,見其它登記事項,107年10月15日,十五層,
RPRNMLLKRHPFFEE98CC,2,26.09,見其它登記事項,見其它登記事項,107年10月15日,十五層,
RPPPMLLKRHPFFEE98CC,2,53.21,見其它登記事項,見其它登記事項,107年10月15日,十五層,
RPPPMLLKRHPFFEE98CC,2,49.76,見其它登記事項,見其它登記事項,107年10月15日,十五層,
RPPQMLLKRHPFFEE09CC,27,29.38,住家用,鋼筋混凝土造,83年2月20日,十一層,
RPPQMLLKRHPFFEE09CC,27,13.52,見使用執照,鋼筋混凝土造,83年2月20日,十一層,
RPWNMLLKRHPFFEE86CC,2,72.11,見其它登記事項,見其它登記事項,107年12月20日,十九層,
RPWNMLLKRHPFFEE86CC,2,44.09,見其它登記事項,見其它登記事項,107年12月20日,十九層,
RPWNMLLKRHPFFFE96CC,2,19.92,見其它登記事項,鋼筋混凝土造,107年8月20日,七層,
RPWNMLLKRHPFFFE96CC,2,9.70,見其它登記事項,鋼筋混凝土造,107年8月20日,七層,
RPRQMLLKRHPFFEE66CC,16,101.51,住家用,鋼筋混凝土造,93年11月29日,十四層,
RPRQMLLKRHPFFEE66CC,16,54.07,見使用執照,鋼筋混凝土造,93年11月29日,十四層,
RPQNMLLKRHPFFGE09CC,15,372.47,見其他登記事項,見其他登記事項,94年12月3日,五層,
RPQOMLLKRHPFFGE56CC,47,77.40,住家用,加強磚造,62年8月11日,三層,
RPPNMLLKRHPFFLE86CC,22,292.24,見其它登記事項,見其它登記事項,87年9月27日,二層,
RPPNMLMKRHPFFEE88CC,9,76.25,住家用,鋼筋混凝土造,100年10月28日,十五層,
RPRNMLMKRHPFFBE78CC,23,149.99,住商用,鋼筋混凝土造,86年4月21日,三十五層,
RPRNMLMKRHPFFBE78CC,23,51.94,見使用執照,鋼筋混凝土造,86年4月21日,三十五層,
RPQNMLMKRHPFFBE68CC,30,133.68,,鋼筋混凝土造,79年5月30日,十九層,
RPQNMLMKRHPFFBE68CC,30,49.38,,鋼筋混凝土造,79年5月30日,十九層,
RPQOMLOKRHPFFBE98CC,46,72.54,,鋼筋混凝土造,64年1月14日,四層,
RPUPMLOKRHPFFBE86CC,31,43.24,,鋼筋混凝土造,78年11月9日,十二層,
RPROMLOKRHPFFDE66CC,5,150.21,住家用,鋼筋混凝土造,104年9月3日,十八層,
RPROMLOKRHPFFDE66CC,5,104.43,見其它登記事項,鋼筋混凝土造,104年9月3日,十八層,
RPVPMLOKRHPFFBE96CC,37,75.07,,鋼筋混凝土造,73年1月21日,五層,
RPSPMLOKRHPFFBE66CC,10,245.78,住家用,鋼筋混凝土造,99年5月4日,十五層,
RPQOMLOKRHPFFDE56CC,40,58.76,,鋼筋混凝土造,70年2月28日,五層,
RPPOMLOKRHPFFAE78CC,18,43.84,住家用,鋼筋混凝土造,91年6月18日,二十二層,
RPPOMLOKRHPFFAE78CC,18,20.19,共有部分,鋼筋混凝土造,91年6月18日,二十二層,
RPQOMLOKRHPFFCE09CC,14,106.43,住家用,見其它登記事項,96年1月26日,十五層,
RPQOMLOKRHPFFCE09CC,14,64.73,共有部分,見其它登記事項,96年1月26日,十五層,
RPROMLOKRHPFFEE76CC,28,147.18,住商用,鋼筋混凝土造,81年3月21日,二十一層,
RPROMLOKRHPFFEE76CC,28,116.20,住商用,鋼筋混凝土造,81年3月21日,二十一層,
RPTNMLOKRHPFFFE96CC,2,19.92,見其它登記事項,鋼筋混凝土造,107年8月20日,七層,
RPTNMLOKRHPFFFE96CC,2,9.70,見其它登記事項,鋼筋混凝土造,107年8月20日,七層,
RPUNMLOKRHPFFFE07CC,2,20.35,見其它登記事項,鋼筋混凝土造,107年8月20日,七層,
RPUNMLOKRHPFFFE07CC,2,9.91,見其它登記事項,鋼筋混凝土造,107年8月20日,七層,
RPSNMLOKRHPFFFE86CC,2,19.92,見其它登記事項,鋼筋混凝土造,107年8月20日,七層,
RPSNMLOKRHPFFFE86CC,2,9.70,見其它登記事項,鋼筋混凝土造,107年8月20日,七層,
RPVOMLOKRHPFFGE37CC,44,52.80,住商用,加強磚造,65年12月20日,四層,
RPQOMLPKRHPFFFE86CC,39,12.90,住商用,加強磚造,70年12月10日,二層,
RPTOMLPKRHPFFFE17CC,2,19.92,見其它登記事項,鋼筋混凝土造,107年8月20日,七層,
RPTOMLPKRHPFFFE17CC,2,9.70,見其它登記事項,鋼筋混凝土造,107年8月20日,七層,
RPUOMLPKRHPFFFE27CC,2,19.92,見其它登記事項,鋼筋混凝土造,107年8月20日,七層,
RPUOMLPKRHPFFFE27CC,2,9.70,見其它登記事項,鋼筋混凝土造,107年8月20日,七層,
RPVOMLPKRHPFFFE37CC,2,19.92,見其它登記事項,鋼筋混凝土造,107年8月20日,七層,
RPVOMLPKRHPFFFE37CC,2,9.70,見其它登記事項,鋼筋混凝土造,107年8月20日,七層,
RPWPMLPKRHPFFFE57CC,2,19.92,見其它登記事項,鋼筋混凝土造,107年8月20日,七層,
RPWPMLPKRHPFFFE57CC,2,9.70,見其它登記事項,鋼筋混凝土造,107年8月20日,七層,
RPOPMLPKRHPFFFE76CC,2,19.92,見其它登記事項,鋼筋混凝土造,107年8月20日,七層,
RPOPMLPKRHPFFFE76CC,2,9.70,見其它登記事項,鋼筋混凝土造,107年8月20日,七層,
RPOQMLPKRHPFFFE86CC,2,19.92,見其它登記事項,鋼筋混凝土造,107年8月20日,七層,
RPOQMLPKRHPFFFE86CC,2,9.70,見其它登記事項,鋼筋混凝土造,107年8月20日,七層,
RPVNMLPKRHPFFIE67DC,3,48.82,見其它登記事項,見其它登記事項,106年10月30日,四層,
RPVOMLPKRHPFFCE07CC,2,112.00,見其它登記事項,見其它登記事項,107年7月20日,二十一層,
RPOPMLPKRHPFFDE56CC,33,247.67,,鋼筋混凝土造,77年1月28日,七層,
