編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPXNMLLKRHPFFAE56CC,前金段,11.34,都市：商,,,
RPTNMLLKRHPFFBE88CC,成功段,14.34,都市：商,,,
RPOOMLLKRHPFFAE38CC,博孝段,44.41,都市：商,,,
RPPNMLLKRHPFFBE48CC,苓洲段,4.25,都市：商,,,
RPUNMLLKRHPFFAE88CC,青海段,19.19,都市：住,,,
RPQOMLLKRHPFFBE68CC,新興段三小段,92.00,都市：商,,,
RPVNMLLKRHPFFCE56CC,愛群段,7.43,都市：商,,,
RPUNMLLKRHPFFBE98CC,林聖段,.00,都市：住,,,
RPUNMLLKRHPFFBE98CC,林聖段,.00,都市：住,,,
RPUNMLLKRHPFFBE98CC,林聖段,.00,都市：住,,,
RPWNMLLKRHPFFBE56CC,武聖段,.00,都市：住,,,
RPPOMLLKRHPFFCE68CC,憲德段二小段,.00,都市：商,,,
RPVNMLLKRHPFFDE66CC,獅頭段一小段,.00,都市：商,,,
RPRNMLLKRHPFFFE09CC,鳳龍段,661.15,非都市：一般農業區 ; 非都市編定：農牧用地,,,
RPQOMLLKRHPFFDE88CC,獅頭段,14.82,都市：商,,,
RPUNMLLKRHPFFEE66CC,福山段,17.27,都市：商,,,
RPRNMLLKRHPFFEE98CC,新華段,13.74,都市：住,,,
RPPPMLLKRHPFFEE98CC,新華段,13.77,都市：住,,,
RPPQMLLKRHPFFEE09CC,新庄段十三小段,.00,都市：商,,,
RPWNMLLKRHPFFEE86CC,援中段一小段,.00,都市：商,,,
RPWNMLLKRHPFFFE96CC,興龍段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,
RPRQMLLKRHPFFEE66CC,福山段,15.88,都市：商,,,
RPPNMLLKRHPFFIE56CC,文武段,248.09,都市：住,,,
RPQNMLLKRHPFFGE09CC,大貝湖段,108.39,都市：住,,,
RPSNMLLKRHPFFIE86CC,崎子fbec段一小段,231.40,都市：農,,,
RPRNMLLKRHPFFIE76CC,大fbec腿段,958.67,都市：工,,,
RPQNMLLKRHPFFLE96CC,會結南段,528.00,都市：農,,,
RPQOMLLKRHPFFGE56CC,牛潮埔段,.00,都市：住,,,
RPPNMLLKRHPFFLE86CC,翁公園段,2610.00,都市：農,,,
RPPNMLMKRHPFFEE88CC,新庄段十三小段,5.64,都市：商,,,
RPRNMLMKRHPFFBE78CC,意誠段,.00,都市：商,,,
RPQNMLMKRHPFFBE68CC,意誠段,.00,都市：商,,,
RPQOMLOKRHPFFBE98CC,五權段,.00,都市：住,,,
RPUPMLOKRHPFFBE86CC,過田子段,.00,都市：商,,,
RPROMLOKRHPFFDE66CC,鼎泰段,38.26,都市：住,,,
RPVPMLOKRHPFFBE96CC,武聖段,.00,都市：住,,,
RPSPMLOKRHPFFBE66CC,林德官段一小段,23.93,都市：住,,,
RPQOMLOKRHPFFDE56CC,三塊厝段五小段,.00,都市：住,,,
RPPOMLOKRHPFFAE78CC,博孝段,.00,都市：商,,,
RPOOMLOKRHPFFFE56CC,鳳雄段,285.58,非都市：一般農業區 ; 非都市編定：農牧用地,,,
RPOOMLOKRHPFFFE56CC,鳳雄段,378.93,非都市：一般農業區 ; 非都市編定：農牧用地,,,
RPOOMLOKRHPFFFE56CC,鳳雄段,261.49,非都市：一般農業區 ; 非都市編定：農牧用地,,,
RPQOMLOKRHPFFCE09CC,憲德段二小段,15.64,都市：商,,,
RPROMLOKRHPFFEE76CC,新庄段十三小段,.00,非都市： ; 非都市編定：,,,
RPTNMLOKRHPFFFE96CC,興龍段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,
