編號,車位類別,車位價格,車位面積(平方公尺),車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPTNMLLKRHPFFBE88CC,坡道平面,0,15.85,地下二樓
RPUNMLLKRHPFFAE88CC,坡道平面,0,20.81,地下四樓
RPUNMLLKRHPFFAE88CC,坡道平面,0,20.81,地下四樓
RPUNMLLKRHPFFBE98CC,坡道平面,0,,地下一樓
RPUNMLLKRHPFFEE66CC,坡道平面,0,20.67,地下一樓
RPPPMLLKRHPFFEE98CC,坡道平面,0,23.54,地下一樓
RPRQMLLKRHPFFEE66CC,坡道平面,0,,地下一樓
RPROMLOKRHPFFDE66CC,坡道平面,0,22.06,地下一樓
RPSPMLOKRHPFFBE66CC,坡道平面,0,26.24,地下二樓
RPSPMLOKRHPFFBE66CC,坡道平面,0,26.24,地下二樓
RPQOMLOKRHPFFCE09CC,坡道平面,0,17.47,地下三樓
RPUNMLQKRHPFFGE37CC,坡道平面,0,42.68,
RPRNMLRKRHPFFAE56CC,坡道平面,0,,地下一樓
RPWNMLRKRHPFFCE27CC,坡道平面,0,34.75,地下三樓
RPOOMLSKRHPFFCE66CC,坡道機械,0,10.73,地下三樓
RPWNMLSKRHPFFBE27CC,坡道平面,0,15.74,地下一樓
RPVNMLSKRHPFFEE47CC,坡道平面,0,33.83,地下三樓
RPWOMLSKRHPFFEE67CC,坡道機械,0,6.98,地下四樓
RPXNMLLLRHPFFAE66CC,坡道平面,0,,
RPWNMLLLRHPFFFE07CC,坡道平面,0,65.69,
RPOOMLNLRHPFFAE68CC,坡道平面,0,19.90,
RPQNMLNLRHPFFDE09CC,坡道平面,0,63.41,地下三樓
RPROMLOLRHPFFCE66CC,坡道平面,0,,
RPPUMLOLRHPFFEE27CC,升降平面,0,13.16,
RPUQMLPLRHPFFEE47CC,坡道平面,0,39.83,
RPVQMLPLRHPFFEE57CC,坡道機械,0,13.28,
RPQNMLPLRHPFFFE86CC,坡道平面,0,20.87,
RPSTMLPLRHPFFGE77CC,坡道平面,0,18.38,
RPUOMLPLRHPFFAE86CC,坡道平面,0,15.63,
RPTOMLPLRHPFFAE76CC,坡道平面,0,32.21,
RPVOMLPLRHPFFAE96CC,坡道平面,0,29.63,
RPWOMLPLRHPFFAE07CC,坡道平面,0,18.77,
RPPPMLPLRHPFFAE09CC,坡道平面,0,6.71,
RPXOMLPLRHPFFAE17CC,坡道平面,0,16.22,
RPVPMLPLRHPFFAE07CC,坡道平面,0,18.77,
RPVNMLPLRHPFFBE96CC,坡道平面,0,22.11,
RPVNMLPLRHPFFBE96CC,坡道平面,0,22.11,
RPTPMLPLRHPFFBE96CC,坡道平面,0,29.78,
RPPOMLPLRHPFFCE56CC,坡道機械,0,8.68,
RPUPMLPLRHPFFCE17CC,坡道平面,0,18.35,
RPUNMLQLRHPFFEE27CC,坡道平面,0,25.01,
RPTOMLKMRHPFFEE76CC,坡道平面,0,,
RPWPMLKMRHPFFEE17CC,坡道平面,0,35.03,
RPXPMLKMRHPFFEE27CC,坡道平面,0,29.04,
RPPOMLKMRHPFFBE68CC,升降機械,0,16.41,
RPQOMLKMRHPFFBE78CC,坡道平面,0,16.84,
RPRPMLKMRHPFFDE56CC,坡道平面,0,,地下二樓
RPUOMLKMRHPFFBE56CC,坡道平面,0,13.81,
RPVPMLKMRHPFFDE96CC,坡道平面,0,25.28,地下二樓
RPWPMLKMRHPFFDE07CC,坡道平面,0,22.06,地下一樓
RPRPMLKMRHPFFCE09CC,坡道平面,0,23.93,
RPXQMLPJIIPFFCE56CC,坡道機械,0,15.63,
RPVNMLPJIIPFFCE68CC,坡道平面,0,24.85,
RPSPMLQJIIPFFEE88CC,坡道平面,0,36.49,
RPSQMLRJIIPFFEE09CC,坡道機械,0,,
RPWRMLRJIIPFFEE96CC,坡道平面,2819,24.73,
