交易標的,土地區段位置/建物區段門牌,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,屋齡,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位總價(元),移轉編號
transaction sign,land sector position building sector house number plate,transaction year month and day,transaction pen number,shifting level,total floor number,building state,room age,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth total price NTD,
土地,城林段1~30地號,1060922,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,34510,0,0,00001
土地,城林段1~30地號,1090622,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,530000,103718,0,00001
土地,城林段1~30地號,1090722,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,8126600,132506,0,00001
房地(土地+建物),明德路二段31~60號,1090808,土地3建物1車位0,十三層,二十一層,住宅大樓(11層含以上有電梯),-1,125.02000000000001,2,2,1,有,有,15600000,124780,0,00002
房地(土地+建物),明德路二段31~60號,1091008,土地3建物1車位0,十三層,二十一層,住宅大樓(11層含以上有電梯),-1,125.02000000000001,2,2,1,有,有,15600000,124780,0,00002
房地(土地+建物),新北市板橋區中正路151~180號,1080809,土地1建物1車位0,十五層,二十八層,住宅大樓(11層含以上有電梯),1,234.54,3,2,1,有,有,34000000,168760,0,00003
房地(土地+建物)+車位,中正路151~180號,1090809,土地1建物1車位1,十五層,二十八層,住宅大樓(11層含以上有電梯),1,234.54,3,2,2,有,有,38750000,180911,2300000,00003
房地(土地+建物),新北市板橋區四川路二段130巷61~90號,1031221,土地1建物1車位0,一層，騎樓,七層,華廈(10層含以下有電梯),24,72.59,1,2,1,有,有,9550000,131561,0,00004
房地(土地+建物),四川路二段130巷61~90號,1090721,土地1建物1車位0,一層，騎樓,七層,華廈(10層含以下有電梯),24,72.59,2,2,2,有,有,9200000,126739,0,00004
房地(土地+建物)+車位,新北市板橋區松柏街50巷1~30號,1081210,土地1建物1車位2,四層,九層,華廈(10層含以下有電梯),21,157.5,4,2,2,有,有,22000000,139683,0,00005
房地(土地+建物)+車位,松柏街50巷1~30號,1090810,土地1建物1車位2,四層,九層,華廈(10層含以下有電梯),21,157.5,4,2,2,有,有,23000000,146032,0,00005
土地,江子翠段第一崁小段1~30地號,1060826,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,2618010,59500,0,00006
土地,江子翠段第一崁小段1~30地號,1090826,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1100000,50000,0,00006
土地,江子翠段第一崁小段1~30地號,1100126,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,3923040,89160,0,00006
房地(土地+建物),新北市土城區永安街115巷1~30號,1030214,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),39,87.04,4,1,1,有,無,6060000,69623,0,00007
房地(土地+建物),永安街115巷1~30號,1090814,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),39,87.04,3,2,1,有,無,6500000,74678,0,00007
房地(土地+建物),新北市板橋區華興街61~90號,1061008,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),-1,94.61,3,2,2,有,無,9000000,95127,0,00008
房地(土地+建物),華興街61~90號,1090808,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),-1,94.61,3,2,1,有,無,10900000,115210,0,00008
土地,沛陂段481~510地號,1090901,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,3500000,126399,0,00009
土地,沛陂段481~510地號,1091201,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,2662006,96136,0,00009
