編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPUNMLLKRHPFFBF09CC,中原段,.00,都市：住,,,
RPOQMLLKRHPFFBF78CC,芳洲段,.00,都市：商,,,
RPVQMLLKRHPFFBF86CC,和平段,9.43,都市：住,,,
RPRTMLLKRHPFFBF76CC,建林段,26.07,都市：住,,,
RPORMLLKRHPFFBF88CC,f9da安段,18.25,都市：住,,,
RPXQMLLKRHPFFBF07CC,榮富段,17.55,都市：住,,,
RPSQMLLKRHPFFAF09CC,福華段,.00,都市：商,,,
RPXPMLLKRHPFFAF86CC,學林段,.00,都市：住,,,
RPXPMLLKRHPFFAF86CC,學林段,.00,都市：住,,,
RPXPMLLKRHPFFAF86CC,學林段,.00,都市：住,,,
RPRPMLLKRHPFFEF66CC,新巿段,6587.16,都市：住,,,
RPUQMLLKRHPFFAF66CC,文化段,.00,都市：住,,,
RPUOMLLKRHPFFEF86CC,公司田段,.00,都市：住,,,
RPRQMLLKRHPFFAF98CC,沛陂段,.00,都市：住,,,
RPSPMLLKRHPFFEF76CC,海鷗段,.00,都市：住,,,
RPVPMLLKRHPFFEF07CC,公司田段,24.47,都市：住,,,
RPUPMLLKRHPFFEF96CC,新巿段,8.02,都市：住,,,
RPUPMLLKRHPFFGF17CC,興德段,301.23,都市：工,,,
RPXPMLLKRHPFFHF57CC,公園段,.00,都市：住,,,
RPXQMLLKRHPFFHF67CC,南勢段,104.93,都市：住,,,
RPRNMLLKRHPFFIF86CC,東昇段,.00,都市：住,,,
RPOPMLLKRHPFFIF76CC,三龍段,.00,都市：工,,,
RPUPMLLKRHPFFIF37CC,大學段二小段,21.83,都市：住,,,
RPQNMLMKRHPFFEF09CC,新巿段,11.23,都市：商,,,
RPTNMLMKRHPFFEF76CC,正德段,4.56,都市：住,,,
RPSNMLMKRHPFFEF66CC,淡海段,23.15,都市：住,,,
RPRNMLMKRHPFFEF56CC,正德段,8.75,都市：住,,,
RPXOMLLKRHPFFCF96CC,惠國段,94.40,都市：住,,,
RPUNMLMKRHPFFEF86CC,正德段,17.51,都市：住,,,
RPROMLLKRHPFFAF98EC,亞東段,74.60,都市：住,,,
RPQNMLNKRHPFFEF56CC,新巿段,8.21,都市：住,,,
RPQNMLMKRHPFFBF78CC,新林段,72.75,都市：住,,,
RPRNMLNKRHPFFEF86EC,新巿段,.00,都市：商,,,
RPSNMLNKRHPFFEF96EC,中山段,.00,都市：住,,,
RPUNMLNKRHPFFEF17EC,新巿段,.00,都市：商,,,
RPVNMLNKRHPFFEF27EC,中山段,43.30,都市：住,,,
RPTNMLNKRHPFFEF07EC,海天段,4.67,都市：住,,,
RPQNMLNKRHPFFAF78CC,中華段,27.90,都市：住,,,
RPOOMLOKRHPFFEF56CC,飛歌段,.00,非都市： ; 非都市編定：,,,
RPVVMLOKRHPFFIF38CC,文化段,.00,都市：住,,,
RPRNNLOKRHPFFIF27CC,東園段,.00,非都市：一般農業區 ; 非都市編定：甲種建築用地,,,
RPTOMLOKRHPFFEF07CC,公司田段,24.50,都市：住,,,
RPSQMLOKRHPFFDF17DC,水源段,20.52,都市：住,,,
RPSQMLOKRHPFFDF17DC,新峰段,2.50,都市：住,,,
RPUQMLOKRHPFFDF37DC,水源段,20.52,都市：住,,,
RPUQMLOKRHPFFDF37DC,新峰段,2.50,都市：住,,,
RPSOMLOKRHPFFEF96CC,公司田段,24.47,都市：住,,,
RPUOMLOKRHPFFEF17CC,公司田段,27.50,都市：住,,,
RPRNMLOKRHPFFCF66DC,中央段,22.83,都市：住,,,
RPOQMLOKRHPFFEF76CC,正德段,.00,都市：住,,,
RPROMLOKRHPFFCF66CC,寶強段,.00,都市：住,,,
RPROMLOKRHPFFCF66CC,寶強段,.00,都市：其他:道路用地,,,
RPROMLOKRHPFFCF66CC,寶強段,.00,都市：其他:捷運系統用地,,,
RPROMLOKRHPFFCF66CC,寶強段,.00,都市：住,,,
RPROMLOKRHPFFCF66CC,寶強段,.00,都市：住,,,
RPROMLOKRHPFFCF66CC,寶強段,.00,都市：商,,,
RPROMLOKRHPFFCF66CC,寶強段,.00,都市：商,,,
RPROMLOKRHPFFCF66CC,寶強段,.00,都市：商,,,
RPWPMLOKRHPFFEF47CC,新興段,.00,都市：住,,,
RPRPMLOKRHPFFEF96CC,公司田段,.00,都市：住,,,
RPPQMLOKRHPFFEF86CC,馬偕段,8.39,都市：工,,,
RPSQMLOKRHPFFEF17CC,馬偕段,6.81,都市：工,,,
RPQQMLOKRHPFFEF96CC,馬偕段,5.67,都市：工,,,
RPTQMLOKRHPFFEF27CC,水仙段,13.45,都市：住,,,
RPVQMLOKRHPFFEF47CC,淡海段,28.64,都市：住,,,
RPWQMLOKRHPFFEF57CC,公司田段,13.17,都市：住,,,
RPXQMLOKRHPFFEF67CC,新巿段,8.10,都市：商,,,
RPXSMLOKRHPFFEF87CC,公司田段,11.65,都市：住,,,
RPRSMLOKRHPFFEF27CC,新興段,29.34,都市：住,,,
RPRSMLOKRHPFFEF27CC,新興段,7.37,都市：住,,,
RPUSMLOKRHPFFEF57CC,鄧公段,4.15,都市：住,,,
RPQTMLOKRHPFFEF27CC,新巿段,.00,都市：商,,,
RPPTMLOKRHPFFHF47CC,永福段,.00,都市：住,,,
RPWRMLOKRHPFFHF97CC,東南段,.00,都市：住,,,
RPXQMLOKRHPFFHF97CC,南工段,.00,都市：住,,,
RPOTMLOKRHPFFEF07CC,正德段,15.30,都市：住,,,
RPOTMLOKRHPFFEF07CC,正德段,2.61,都市：住,,,
RPVPMLOKRHPFFGF57CC,光華段,.00,都市：住,,,
RPPQMLOKRHPFFAF09CC,光華段,.00,都市：住,,,
RPUOMLOKRHPFFDF07CC,福德段,3.93,都市：住,,,
RPWQMLOKRHPFFAF17CC,亞東段,.00,都市：住,,,
RPPPMLOKRHPFFDF66CC,智興段,.00,都市：商,,,
RPRQMLOKRHPFFDF96CC,智興段,.00,都市：住,,,
RPTNMLPKRHPFFDF96CC,新峰段,.00,都市：住,,,
RPSPMLOKRHPFFDF96CC,厚德段,.00,都市：住,,,
RPSPMLOKRHPFFDF96CC,厚德段,.00,都市：住,,,
RPVQMLOKRHPFFDF37CC,智興段,.00,都市：住,,,
RPQOMLOKRHPFFDF66CC,江北段,18.36,都市：住,,,
RPVQMLOKRHPFFDF37CC,智興段,.00,都市：其他:道路用地,,,
RPQOMLPKRHPFFDF76CC,昊天段,.00,都市：住,,,
RPROMLPKRHPFFBF66CC,福德段,.00,都市：住,,,
RPPRMLPKRHPFFBF76CC,五工段,.00,非都市：工業區 ; 非都市編定：丁種建築用地,,,
RPQPMLPKRHPFFDF86CC,福興段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,
RPXRMLPKRHPFFGF08CC,永安段,.00,都市：住,,,
RPWUMLPKRHPFFBF77CC,五工段,.00,非都市：工業區 ; 非都市編定：丁種建築用地,,,
RPPQMLPKRHPFFAF56CC,埔墘段,.00,都市：住,,,
RPPSMLPKRHPFFGF37CC,幸福段,.00,都市：住,,,
RPUOMLPKRHPFFHF57CC,福祥段,.00,都市：商,,,
RPUOMLPKRHPFFHF57CC,福祥段,.00,都市：住,,,
RPUPMLPKRHPFFGF57CC,富貴段,.00,都市：住,,,
RPVOMLPKRHPFFHF67CC,南山段,.00,都市：住,,,
RPRPMLPKRHPFFHF37CC,安樂段,.00,都市：住,,,
RPTQMLPKRHPFFHF67CC,安樂段,.00,都市：住,,,
RPUQMLPKRHPFFEF47CC,正德段,17.69,都市：住,,,
RPSPMLPKRHPFFEF17CC,正德段,.00,都市：住,,,
RPOUMLPKRHPFFIF67CC,大學段二小段,93.38,都市：住,,,
RPUUMLPKRHPFFIF28CC,尖山腳段,43.35,都市：住,,,
RPSUMLPKRHPFFIF08CC,和平段,10.06,都市：住,,,
RPOPMLPKRHPFFCF76EC,寶興段,.00,都市：住,,,
RPOOMLPKRHPFFCF09CC,復興段,.00,都市：工,,,
RPRNMLQKRHPFFIF37CC,東山段,168.01,都市：工,,,
RPSOMLPKRHPFFCF86CC,寶元段,.00,都市：工,,,
RPXOMLQKRHPFFIF08CC,二橋段,.00,都市：住,,,
RPSPMLPKRHPFFCF96CC,大豐段,25.38,都市：其他:第四種住宅,,,
RPQPMLQKRHPFFIF47CC,大學段一小段,.00,都市：住,,,
RPRPMLQKRHPFFCF96CC,雙城段,30.10,都市：其他:已開發建築密集地,,,
RPSQMLQKRHPFFEF37CC,新巿段,.00,都市：住,,,
RPUQMLQKRHPFFEF57CC,新巿段,.00,都市：商,,,
RPVQMLQKRHPFFEF67CC,新巿段,.00,都市：住,,,
RPUPMLQKRHPFFHF77CC,台貿段,.00,都市：住,,,
RPSOMLQKRHPFFEF17CC,公司田段,27.32,都市：住,,,
RPXQMLQKRHPFFHF18CC,南勢段,.00,都市：住,,,
RPQRMLQKRHPFFHF57CC,福祥段,.00,都市：住,,,
RPQRMLQKRHPFFHF57CC,福祥段,.00,都市：商,,,
RPQRMLQKRHPFFHF57CC,福祥段,.00,都市：住,,,
