編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPOPMLRKRHPFFBG76CC,24,105.64,住家用,鋼筋混凝土造,86年1月3日,五層,
RPXNMLLKRHPFFAG76CC,23,29.31,見其他登記事項,鋼筋混凝土造,86年12月11日,十層,
RPSOMLSLRHPFFBG27CC,25,212.28,農舍,鋼筋混凝土加強磚造,84年9月13日,二層,
RPPPMLRKRHPFFBG86CC,26,94.08,住家用,鋼筋混凝土造,83年8月2日,七層,
RPSNMLTLRHPFFBG27CC,25,87.16,住家用,鋼筋混凝土造,84年4月26日,七層,
RPVOMLPKRHPFFBG17CC,7,303.03,見其他登記事項,鋼筋混凝土造,102年10月2日,三層,
RPVNMLLKRHPFFAG56CC,12,144.95,見其他登記事項,鋼筋混凝土造,97年6月26日,四層,
RPROMLOLRHPFFBG76CC,27,205.96,住家用,鋼筋混凝土造,82年4月8日,四層,
RPVNMLPKRHPFFBG07CC,27,138.22,住家用,鋼筋混凝土造,82年5月5日,七層,
RPXOMLPKRHPFFBG37CC,3,74.80,見其他登記事項,鋼筋混凝土造,107年1月23日,三層,
RPPOMLRJIIPFFBG48CC,39,88.34,住家用,鋼筋混凝土加強磚造,70年11月13日,三層,
RPQOMLKMRHPFFBG98CC,25,212.28,農舍,鋼筋混凝土加強磚造,84年9月13日,二層,
RPVNMLRJIIPFFBG98CC,27,119.15,住家用,鋼筋混凝土造,82年9月29日,七層,
RPOOMLNKIIPFFAG97CC,1,36.99,見其他登記事項,見其他登記事項,108年9月3日,十二層,
RPUOMLNKIIPFFAG58CC,26,98.78,住家用,鋼筋混凝土造,83年12月27日,六層,
RPVNMLOKIIPFFBG78CC,20,96.51,住家用,鋼筋混凝土造,89年4月27日,十二層,
RPQOMLSJIIPFFBG68CC,39,76.81,住家用,鋼筋混凝土加強磚造,70年11月13日,三層,
RPXNMLNKIIPFFAG98EC,59,101.55,住商用,鋼筋混凝土加強磚造,50年5月15日,三層,
RPPOMLSJIIPFFBG58CC,15,43.38,住商用,鋼筋混凝土造,94年10月7日,四層,
RPUNMLRJIIPFFAG78CC,1,153.91,住家用,見其他登記事項,108年9月19日,三層,
RPWNMLOKIIPFFBG88CC,15,29.22,住商用,鋼筋混凝土造,94年10月7日,四層,
RPSOMLPKIIPFFAG58CC,26,110.93,住家用,鋼筋混凝土造,84年3月31日,十二層,
RPVOMLTKIIPFFBG76CC,,75.58,住家用,鋼筋混凝土加強磚造,,二層,
RPTNMLKLIIPFFBG28CC,15,43.38,住商用,鋼筋混凝土造,94年10月7日,四層,
