交易標的,土地區段位置/建物區段門牌,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,屋齡,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位總價(元),移轉編號
transaction sign,land sector position building sector house number plate,transaction year month and day,transaction pen number,shifting level,total floor number,building state,room age,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth total price NTD,
房地(土地+建物),桃園市桃園區樹仁一街31~60號,1031117,土地1建物1車位0,六層,六層,華廈(10層含以下有電梯),28,102.13000000000001,3,2,2,有,有,4950000,48468,0,00001
房地(土地+建物),樹仁一街31~60號,1090717,土地1建物1車位0,六層,六層,華廈(10層含以下有電梯),28,102.13000000000001,3,2,2,有,有,5470000,53559,0,00001
房地(土地+建物)+車位,桃園縣桃園市桃鶯路296巷1~30號,1030322,土地2建物1車位1,六層,八層,華廈(10層含以下有電梯),27,125.25999999999999,3,2,2,有,有,5300000,42312,0,00002
房地(土地+建物)+車位,桃鶯路296巷1~30號,1090822,土地2建物1車位1,六層,八層,華廈(10層含以下有電梯),27,125.25999999999999,3,2,2,有,有,5700000,45505,1000000,00002
房地(土地+建物),桃園市桃園區大興西路二段31~60號,1040121,土地1建物1車位0,四層,十一層,住宅大樓(11層含以上有電梯),24,84.47,3,2,2,有,有,5520000,65349,0,00003
房地(土地+建物),大興西路二段31~60號,1090821,土地1建物1車位0,四層,十一層,住宅大樓(11層含以上有電梯),24,84.47,3,2,2,有,有,6200000,73399,0,00003
房地(土地+建物)+車位,桃園市桃園區同德七街25巷1~30號,1080503,土地1建物1車位1,全,四層,透天厝,26,250.93,5,3,4,有,有,14500000,57785,0,00004
房地(土地+建物)+車位,同德七街25巷1~30號,1090803,土地1建物1車位1,全,四層,透天厝,26,250.93,4,3,4,有,有,18550000,73925,0,00004
房地(土地+建物),桃園縣桃園市中興街91~120號,1011226,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),41,112.79,3,2,2,有,無,2800000,27322,0,00005
房地(土地+建物),桃園縣桃園市中興街91~120號,1020226,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),41,112.79,3,2,2,有,無,3500000,31031,0,00005
房地(土地+建物),桃園市桃園區中興街91~120號,1081226,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),41,112.79,7,0,7,有,無,4000000,35464,0,00005
房地(土地+建物),中興街91~120號,1090726,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),41,112.79,7,0,7,有,無,7350000,65165,0,00005
房地(土地+建物)+車位,桃園市桃園區國強十三街91~120號,1080907,土地1建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),21,136.15,3,2,2,有,有,6800000,49945,0,00006
房地(土地+建物)+車位,國強十三街91~120號,1090607,土地1建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),21,136.15,3,2,2,有,有,7150000,52516,0,00006
房地(土地+建物)+車位,桃園縣桃園市天祥五街1~30號,1020506,土地1建物1車位1,六層,二十二層,住宅大樓(11層含以上有電梯),21,187.13,3,2,2,有,有,6000000,32065,0,00007
房地(土地+建物)+車位,天祥五街1~30號,1090706,土地1建物1車位1,六層,二十二層,住宅大樓(11層含以上有電梯),21,187.13,3,2,2,有,有,11000000,58786,0,00007
土地,興南段公坡小段241~270地號,1011208,土地6建物0車位0,,,其他,-1,0.0,0,0,0,有,無,52000000,46353,0,00008
土地,興南段公坡小段241~270地號,1081108,土地3建物0車位0,,,其他,-1,0.0,0,0,0,有,無,11264550,49912,0,00008
土地,興南段公坡小段211~240地號,1090708,土地6建物0車位0,,,其他,-1,0.0,0,0,0,有,無,27484000,52879,0,00008
房地(土地+建物),桃園市中壢區榮民南路489巷31~60號,1080903,土地1建物1車位0,全,二層,透天厝,42,68.4,4,2,3,有,無,3550000,51901,0,00009
房地(土地+建物),榮民南路489巷31~60號,1090803,土地1建物1車位0,全,二層,透天厝,42,68.4,4,2,3,有,無,8200000,119883,0,00009
土地,五權段511~540地號,1020221,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,52500,16154,0,00010
土地,五權段481~510地號,1090721,土地3建物0車位0,,,其他,-1,0.0,0,0,0,有,無,17500000,30377,0,00010
房地(土地+建物)+車位,桃園市中壢區新興路230巷1~30號,1040418,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),9,125.3,1,1,2,有,有,8850000,84746,1800000,00011
房地(土地+建物),新興路230巷1~30號,1090818,土地1建物1車位0,七層,十四層,住宅大樓(11層含以上有電梯),9,125.3,2,1,2,有,有,8230000,65682,0,00011
房地(土地+建物)+車位,桃園縣中壢市領航北路一段241~270號,1021111,土地1建物1車位3,七層,十五層,住宅大樓(11層含以上有電梯),7,305.4,4,1,3,有,有,18000000,59472,3600000,00012
房地(土地+建物)+車位,領航北路一段241~270號,1090811,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),7,305.4,3,2,3,有,有,18000000,58939,0,00012
房地(土地+建物)+車位,桃園市中壢區月眉路三段211~240號,1070503,土地1建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),4,118.53999999999999,2,2,2,有,有,5300000,44711,0,00013
房地(土地+建物)+車位,月眉路三段211~240號,1090803,土地1建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),4,118.53999999999999,2,1,1,有,有,5880000,49604,0,00013
土地,復興段1801~1830地號,1090813,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,660000,9565,0,00014
