編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPRPMLNLRHPFFBH76CB,青昇段,13.34,都市：商,100000,367,持分移轉
RPQPMLNLRHPFFBH66CB,青昇段,13.34,都市：商,100000,367,持分移轉
RPWOMLNLRHPFFBH17CB,青昇段,8.69,都市：商,100000,239,持分移轉
RPPPMLNLRHPFFBH56CB,青昇段,13.34,都市：商,100000,367,持分移轉
RPOPMLNLRHPFFBH09CB,青昇段,13.34,都市：商,100000,367,持分移轉
RPXOMLNLRHPFFBH27CB,青昇段,13.34,都市：商,100000,367,持分移轉
RPVPMLNLRHPFFBH17CB,青昇段,13.34,都市：商,100000,367,持分移轉
RPUPMLNLRHPFFBH07CB,青昇段,13.34,都市：商,100000,367,持分移轉
RPWPMLNLRHPFFBH27CB,青昇段,13.34,都市：商,100000,367,持分移轉
RPXPMLNLRHPFFBH37CB,青昇段,13.34,都市：商,100000,367,持分移轉
RPQQMLNLRHPFFBH76CB,青昇段,13.34,都市：商,100000,367,持分移轉
RPPQMLNLRHPFFBH66CB,青昇段,13.34,都市：商,100000,367,持分移轉
RPSQMLNLRHPFFBH96CB,青昇段,13.34,都市：商,100000,367,持分移轉
RPTQMLNLRHPFFBH07CB,青昇段,13.34,都市：商,100000,367,持分移轉
RPRQMLNLRHPFFBH86CB,青昇段,13.34,都市：商,100000,367,持分移轉
RPWQMLNLRHPFFBH37CB,青昇段,8.58,都市：商,100000,236,持分移轉
RPOQMLNLRHPFFBH56CB,青昇段,13.34,都市：商,100000,367,持分移轉
RPXQMLNLRHPFFBH47CB,青昇段,8.61,都市：商,100000,237,持分移轉
RPORMLNLRHPFFBH66CB,青昇段,8.61,都市：商,100000,237,持分移轉
RPPRMLNLRHPFFBH76CB,青昇段,8.61,都市：商,100000,237,持分移轉
RPQRMLNLRHPFFBH86CB,青昇段,8.58,都市：商,100000,236,持分移轉
RPSRMLNLRHPFFBH07CB,青昇段,8.58,都市：商,100000,236,持分移轉
RPRRMLNLRHPFFBH96CB,青昇段,8.61,都市：商,100000,237,持分移轉
RPVRMLNLRHPFFBH37CB,青昇段,8.58,都市：商,100000,236,持分移轉
