編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPTOMLLKRHPFFAH56CC,埔子段北門埔子小段,.00,都市：住,,,
RPXPMLLKRHPFFAH07CC,大樹林段,.00,都市：住,,,
RPQNMLLKRHPFFAH78CC,國聖段,.00,都市：其他:第二種住宅區,,,
RPVPMLLKRHPFFBH96CC,健行段,.00,都市：住,,,
RPVPMLLKRHPFFBH96CC,健行段,.00,都市：住,,,
RPVPMLLKRHPFFBH96CC,健行段,.00,都市：住,,,
RPWNMLLKRHPFFAH76CC,雙龍段,.00,都市：住,,,
RPUOMLLKRHPFFAH66CC,埔子段北門埔子小段,.00,都市：住,,,
RPUPMLLKRHPFFAH76CC,法政段,.00,都市：住,,,
RPTNMLLKRHPFFAH09CC,國聖段,.00,都市：其他:第二種住宅區,,,
RPXSMLLKRHPFFBH47CC,興南段興南小段,.00,都市：商,,,
RPXQMLLKRHPFFAH17CC,富國段,94.71,都市：住,,,
RPPTMLLKRHPFFBH76CC,華興段,.00,都市：住,,,
RPVRNLLKRHPFFBH27CC,自立段,.00,都市：住,,,
RPQUMLLKRHPFFBH96CC,後寮段,.00,都市：住,,,
RPQSOLLKRHPFFBH96CC,中工段,.00,都市：住,,,
RPVQOLLKRHPFFBH27CC,工業區段二小段,.00,非都市：工業區 ; 非都市編定：丁種建築用地,,,
RPTPMLLKRHPFFCH86CC,中原段,.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,,,
RPUROLLKRHPFFBH27CC,興南段中壢老小段,.00,都市：商,,,
RPQTOLLKRHPFFBH07CC,中興段,.00,都市：商,,,
RPTSOLLKRHPFFBH27CC,興南段中壢老小段,.00,都市：商,,,
RPRNMLLKRHPFFDH56CC,草湳坡段埔心小段,.00,都市：商,,,
RPXPMLLKRHPFFEH47CC,河底段,925.62,都市：農,,,
RPVNMLLKRHPFFDH96CC,大金山下段大金山下小段,.00,都市：住,,,
RPQOMLLKRHPFFDH56CC,中興段,.00,都市：住,,,
RPROMLLKRHPFFEH76CC,海山段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,
RPWOMLLKRHPFFEH27CC,青山段,75.94,都市：住,,,
RPTNMLLKRHPFFFH96CC,廣福段,.00,都市：商,,,
RPVNMLLKRHPFFFH17CC,高城段,.00,都市：住,,,
RPQNMLLKRHPFFFH66CC,豐田段,.00,都市：其他:第二種住宅區,,,
RPSNMLLKRHPFFFH86CC,福興段,28.42,都市：住,,,
RPPOMLLKRHPFFFH66CC,福興段,.00,都市：住,,,
RPROMLLKRHPFFFH86CC,豐田段,.00,都市：住,,,
RPRNMLLKRHPFFGH86CC,湧安段,.00,都市：住,,,
RPSOMLLKRHPFFFH96CC,豐田段,.00,都市：住,,,
RPSNMLLKRHPFFGH96CC,復旦段,.00,都市：住,,,
RPVNMLLKRHPFFGH27CC,平東段,.00,都市：住,,,
RPWNMLLKRHPFFGH37CC,東豐段,.00,都市：住,,,
RPQNMLLKRHPFFHH86CC,樂善段,33.60,都市：住,,,
RPTNMLLKRHPFFGH07CC,鎮安段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,
RPPOMLLKRHPFFGH76CC,新富段,.00,都市：住,,,
RPVOMLLKRHPFFFH37DC,福興段,17.20,都市：住,,,
RPVSMLOKRHPFFBH57CC,普義段,9.55,都市：住,,,
RPVNMLLKRHPFFCH96DC,隆德段,22.28,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,
RPPNMLMKRHPFFBH98DC,石頭段,3832.00,都市：住,,,
RPTOMLLKRHPFFGH37EC,平鎮段,35.46,都市：商,,,
RPWNMLOKRHPFFAH07CC,中埔段,.00,都市：住,,,
RPROMLOKRHPFFAH66CC,中路段,.00,都市：其他:乙種工業區,,,
RPPRMLOKRHPFFAH76CC,埔子段埔子小段,.00,都市：住,,,
RPXNMLOKRHPFFHH87CC,善捷段,.00,非都市： ; 非都市編定：,,,
RPQOMLOKRHPFFAH56CC,大林段,.00,都市：住,,,
RPOOMLOKRHPFFHH07CC,善捷段,.00,非都市： ; 非都市編定：,,,
RPPOMLOKRHPFFHH17CC,善捷段,.00,非都市： ; 非都市編定：,,,
RPSRMLOKRHPFFAH07CC,中路段,.00,都市：其他:道路用地，商業區,,,
RPWNMLOKRHPFFFH57CC,白鷺段,.00,都市：住,,,
RPOPMLOKRHPFFEH86CC,六福段,3.30,都市：住,,,
RPVNMLOKRHPFFDH27CC,新明段,.00,都市：商,,,
RPPOMLPKRHPFFBH66CC,中原段,3682.00,都市：農,,,
RPXNMLOKRHPFFDH47CC,草湳坡段埔心小段,.00,都市：住,,,
RPVNMLPKRHPFFBH17CC,廣青段,63.01,都市：住,,,
RPWRMLPKRHPFFBH67CC,自立段,.00,都市：住,,,
RPQOMLPKRHPFFAH66CC,小檜溪段,.00,都市：住,,,
RPOQMLPKRHPFFAH66CC,桃鶯段,28.69,都市：住,,,
RPXUMLPKRHPFFDH28CC,幼獅段,.00,都市：住,,,
RPVPMLPKRHPFFEH67CC,客運二段,37.57,都市：住,,,
RPXRMLQKRHPFFAH77CC,同安段,6.87,都市：住,,,
RPVNMLPKRHPFFHH77CC,精忠段,.00,都市：住,,,
RPUNMLPKRHPFFFH57DC,興仁段,22.53,都市：商,,,
RPQQMLQKRHPFFAH96CC,中路三段,.00,都市：住,,,
RPTUMLQKRHPFFAH67CC,新埔段,.00,都市：住,,,
RPQOMLQKRHPFFCH96CC,田心子段下田心子小段,.00,都市：住,,,
RPUPMLQKRHPFFEH67CC,竹圍段拔子林小段,.00,都市：住,,,
