編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPTNMLKKRHPFFAI98DA,27,76.62,住家用,鋼筋混凝土造,82年11月17日,七層,二層
RPTNMLKKRHPFFAI98DA,27,11.30,共有部份,鋼筋混凝土造,82年11月17日,七層,
RPTNMLKKRHPFFAI98DA,27,12.65,共有部份,鋼筋混凝土造,82年11月17日,七層,
RPUNMLOJQHPFFAI66DA,25,102.37,住家用,鋼筋混凝土造,84年10月4日,十一層,一層
RPUNMLOJQHPFFAI66DA,25,20.65,共有部份,鋼筋混凝土造,84年10月4日,十一層,
RPUNMLOJQHPFFAI66DA,25,12.23,共有部份,鋼筋混凝土造,84年10月4日,十一層,
RPUOMLLKQHPFFAI56DA,,38.35,共有部份,鋼筋混凝土造,83年11月29日,十六層,
RPUOMLLKQHPFFAI56DA,,119.93,住家用,鋼筋混凝土造,83年11月29日,十六層,三層
RPPNMLLJRHPFFAI58DA,9,239.37,住家用,見其他登記事項,100年3月21日,四層,一層 二層 三層 四層
RPOOMLKKRHPFFAI58DA,2,202.07,見其他登記事項,見其他登記事項,107年5月1日,三層,一層 二層 三層 見其他登記事項
RPXNMLSKQHPFFAI47DA,22,52.33,住家用,鋼筋混凝土造,87年3月19日,二十二層,十層
RPXNMLSKQHPFFAI47DA,22,52.33,住家用,鋼筋混凝土造,87年3月19日,二十二層,十層
RPXNMLSKQHPFFAI47DA,22,9.81,共有部份,鋼筋混凝土造,87年3月19日,二十二層,
RPXNMLSKQHPFFAI47DA,22,9.81,共有部份,鋼筋混凝土造,87年3月19日,二十二層,
RPXNMLSKQHPFFAI47DA,22,11.63,共有部份,鋼筋混凝土造,87年3月19日,二十二層,
RPXNMLSKQHPFFAI47DA,22,11.63,共有部份,鋼筋混凝土造,87年3月19日,二十二層,
RPSOMLLMQHPFFAI56DA,43,47.60,住家用,鋼筋混凝土加強磚造,66年4月8日,二層,一層 二層
RPQNMLPJRHPFFAI09DA,29,172.05,住家用,鋼筋混凝土造,80年2月5日,四層,一層 二層 三層 四層
RPPNMLOKRHPFFAI98DA,2,339.33,見其他登記事項,見其他登記事項,107年8月30日,五層,一層 二層 三層 四層 五層
RPVNMLLKRHPFFAI66DA,27,92.47,住家用,鋼筋混凝土造,82年3月25日,十二層,八層
RPVNMLLKRHPFFAI66DA,27,12.96,共有部份,鋼筋混凝土造,82年3月25日,十二層,
RPVNMLLKRHPFFAI66DA,27,9.07,共有部份,鋼筋混凝土造,82年3月25日,十二層,
RPSNMLLKRHPFFAI98DA,25,31.15,住家用,鋼筋混凝土造,84年7月24日,十四層,七層
RPSNMLLKRHPFFAI98DA,25,8.20,共有部份,鋼筋混凝土造,84年7月24日,十四層,
RPSNMLLKRHPFFAI98DA,25,19.99,共有部份,鋼筋混凝土造,84年7月24日,十四層,
RPUNMLKKRHPFFAI09DA,12,8.36,見其他登記事項,鋼筋混凝土造,97年3月3日,四層,二層
RPUNMLKKRHPFFAI09DA,12,5.66,共有部份,鋼筋混凝土造,97年3月3日,四層,
RPWNMLLKRHPFFAI76DA,47,81.73,住家用,鋼筋混凝土加強磚造,62年2月12日,二層,一層 二層
RPWNMLKKRHPFFAI66DA,12,8.36,見其他登記事項,鋼筋混凝土造,97年3月3日,四層,二層
RPWNMLKKRHPFFAI66DA,12,5.66,共有部份,鋼筋混凝土造,97年3月3日,四層,
RPXNMLLMQHPFFAI96DA,38,110.44,住商用,鋼筋混凝土加強磚造,71年4月30日,二層,一層 二層
RPSNMLKKRHPFFAI88DA,30,34.52,住家用,鋼筋混凝土造,79年5月22日,六層,四層
RPSNMLKKRHPFFAI88DA,30,13.58,共有部份,鋼筋混凝土造,79年5月22日,六層,
RPOPMLKKRHPFFAI68DA,24,63.96,住家用,鋼筋混凝土造,85年6月18日,九層,七層
RPOPMLKKRHPFFAI68DA,24,29.34,共有部份,鋼筋混凝土造,85年6月18日,九層,
RPRNMLQLQHPFFAI76DA,22,119.76,住家用,鋼筋混凝土造,88年1月14日,五層,一層 二層 三層 四層 五層 騎樓
RPRNMLQLQHPFFAI76DA,22,119.76,住家用,鋼筋混凝土造,88年1月14日,五層,一層 二層 三層 四層 五層 騎樓
