編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPXNMLSJRHPFFAI47DA,盧東段,29.10,非都市： ; 非都市編定：,678523,17520,持分移轉
RPXNMLSJRHPFFAI47DA,盧東段,175.10,非都市： ; 非都市編定：,1,1,全筆移轉
RPVNMLOKQHPFFAI86DA,育人段,525.35,都市：其他:農業區,1,1,全筆移轉
RPTNMLKKRHPFFAI98DA,竹圍子段,18.96,都市：其他:住宅區,70000,544,持分移轉
RPTNMLKKRHPFFAI98DA,竹圍子段,12.00,非都市： ; 非都市編定：,1,1,全筆移轉
RPUNMLOJQHPFFAI66DA,遠東段,19.60,都市：其他:住宅區,10000,21,持分移轉
RPUOMLLKQHPFFAI56DA,北社尾段,15.41,都市：其他:住宅區,10000,86,持分移轉
RPPNMLLJRHPFFAI58DA,港子坪段,109.00,都市：其他:住宅區,1,1,全筆移轉
RPPNMLLJRHPFFAI58DA,港子坪段,53.00,都市：其他:住宅區,1,1,全筆移轉
RPOOMLKKRHPFFAI58DA,湖子內段興安小段,93.61,都市：其他:住宅區,1,1,全筆移轉
RPXNMLSKQHPFFAI47DA,新太平段,9.32,都市：其他:住宅區,20000,23,持分移轉
RPXNMLSKQHPFFAI47DA,新太平段,9.32,都市：其他:住宅區,20000,23,持分移轉
RPSOMLLMQHPFFAI56DA,中山段六小段,44.00,都市：其他:住宅區,1,1,全筆移轉
RPQNMLPJRHPFFAI09DA,下路頭段,80.00,都市：其他:住宅區,1,1,全筆移轉
RPRNMLLKRHPFFAI88DA,北湖段,1407.00,都市：其他:農業區,1,1,全筆移轉
RPPNMLKKRHPFFAI58DA,下路頭段,112.00,都市：其他:住宅區,1,1,全筆移轉
RPPNMLOKRHPFFAI98DA,盧厝段,.67,都市：其他:住宅區,9,1,持分移轉
RPPNMLOKRHPFFAI98DA,盧厝段,45.00,都市：其他:住宅區,1,1,全筆移轉
RPPNMLOKRHPFFAI98DA,後庄段,78.00,都市：其他:住宅區,1,1,全筆移轉
RPVNMLLKRHPFFAI66DA,竹圍子段三小段,11.05,都市：其他:住宅區,10000,93,持分移轉
RPSNMLLKRHPFFAI98DA,北社尾段保安小段,10.83,都市：其他:住宅區,10000,84,持分移轉
RPUNMLKKRHPFFAI09DA,短竹段,.31,都市：其他:公園道用地,100000,505,持分移轉
