編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPPNMLQKRHPFFAI66CC,新富段二小段,21.85,都市：住,,,
RPWNMLOLRHPFFAI27CC,東川段,78.00,都市：住,,,
RPUOMLNLRHPFFAI07CC,新太平段,14.59,都市：住,,,
RPPPMLPKRHPFFAI76CC,下路頭段,.00,都市：住,,,
RPROMLPKRHPFFAI96DC,榮段三小段,76.03,都市：商,,,
RPOOMLRKRHPFFAI76CC,新太平段,10.54,都市：住,,,
RPVOMLNLRHPFFAI17CC,遠東段,19.60,都市：住,,,
RPSOMLLKRHPFFAI66DC,白川段,35.57,都市：住,,,
RPTOMLLKRHPFFAI66CC,新太平段,15.40,都市：住,,,
RPWOMLNLRHPFFAI27CC,檜段三小段,.00,非都市： ; 非都市編定：,,,
RPXNMLPLRHPFFAI47CC,車店段車店小段,.00,都市：住,,,
RPVOMLPLRHPFFAI37CC,後庄段,105.00,都市：住,,,
RPUOMLTLRHPFFAI67CC,新太平段,9.73,都市：住,,,
RPXOMLTLRHPFFAI97CC,車店段車店小段,106.00,都市：住,,,
RPVOMLTLRHPFFAI77CC,車店段車店小段,106.00,都市：住,,,
RPWOMLTLRHPFFAI87CC,檜段三小段,.00,非都市： ; 非都市編定：,,,
RPROMLKMRHPFFAI56CC,竹圍子段,199.00,都市：住,,,
RPPNMLMJIIPFFAI97CC,竹圍子段,115.00,都市：住,,,
RPTOMLKMRHPFFAI76CC,民族段五小段,100.00,都市：住,,,
RPSOMLTLRHPFFAI47CC,新太平段,14.59,都市：住,,,
RPRNMLQJIIPFFAI58CC,竹圍子段,15.17,都市：住,,,
RPPOMLPKIIPFFAI48CC,檜段三小段,.00,非都市： ; 非都市編定：,,,
RPOOMLPKIIPFFAI38CC,新太平段,18.64,都市：住,,,
RPQOMLMKIIPFFAI28CC,同興段,66.00,都市：住,,,
RPVOMLRJIIPFFAI56CC,新太平段,13.78,都市：住,,,
RPSNMLQKIIPFFAI98EC,車店段,24.64,都市：住,,,
RPSNMLQKIIPFFAI98EC,白川段,4.42,都市：住,,,
RPROMLMKIIPFFAI38CC,車店段,.00,都市：住,,,
RPQOMLMLIIPFFAI38CC,興村段,.00,都市：住,,,
RPSNMLTKIIPFFAI09CC,頂庄段,.00,都市：住,,,
RPRNMLTKIIPFFAI98CC,竹圍子段,.00,都市：住,,,
RPWNMLNJJIPFFAI98DC,竹圍子段,59.00,都市：其他:空白,,,
RPXOMLMLIIPFFAI09CC,新太平段,15.40,都市：住,,,
RPUNMLRLIIPFFAI56CC,中庄段,.00,都市：住,,,
