編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPQPMLOJRHPFFBJ76DA,國義段,226.08,都市：其他:第一種住宅區,1,1,全筆移轉
RPOTMLRJRHPFFBJ27DA,汶水坑段,97.11,非都市：山坡地保育區 ; 非都市編定：農牧用地,18,1,持分移轉
RPOTMLRJRHPFFBJ27DA,汶水坑段,30.94,非都市：山坡地保育區 ; 非都市編定：農牧用地,18,1,持分移轉
RPOTMLRJRHPFFBJ27DA,汶水坑段,175.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉
RPOTMLRJRHPFFBJ27DA,汶水坑段,269.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉
RPOTMLRJRHPFFBJ27DA,汶水坑段,4.28,非都市：山坡地保育區 ; 非都市編定：林業用地,18,1,持分移轉
RPSNMLLJRHPFFBJ09DA,家興段,1.55,都市：其他:住宅區,100000000,40000,持分移轉
RPVPMLSLQHPFFBJ77DA,永興段,5.60,都市：其他:第二種商業區,100000,99,持分移轉
RPROMLOLQHPFFBJ86DA,十寮段糞箕窩小段,3354.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPROMLOLQHPFFBJ86DA,文山段,83.26,非都市：山坡地保育區 ; 非都市編定：農牧用地,100000,4413,持分移轉
RPROMLOLQHPFFBJ86DA,文山段,15.30,非都市：山坡地保育區 ; 非都市編定：農牧用地,23,1,持分移轉
RPROMLOLQHPFFBJ86DA,文山段,22.69,非都市：山坡地保育區 ; 非都市編定：農牧用地,100000,4413,持分移轉
RPROMLOLQHPFFBJ86DA,文山段,.66,非都市：山坡地保育區 ; 非都市編定：農牧用地,100000,4413,持分移轉
RPROMLOLQHPFFBJ86DA,文山段,214.87,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPROMLOLQHPFFBJ86DA,文山段,1.68,非都市：山坡地保育區 ; 非都市編定：農牧用地,100000,4413,持分移轉
RPROMLOLQHPFFBJ86DA,文山段,1.75,非都市：山坡地保育區 ; 非都市編定：農牧用地,100000,4413,持分移轉
RPROMLOLQHPFFBJ86DA,文山段,4.40,非都市：山坡地保育區 ; 非都市編定：農牧用地,100000,4413,持分移轉
