交易標的,土地區段位置/建物區段門牌,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,屋齡,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位總價(元),移轉編號
transaction sign,land sector position building sector house number plate,transaction year month and day,transaction pen number,shifting level,total floor number,building state,room age,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth total price NTD,
房地(土地+建物)+車位,苗栗縣頭屋鄉頭屋村4鄰中正街33巷31~60號,1060224,土地1建物1車位1,四層,五層,華廈(10層含以下有電梯),-1,114.58000000000001,3,2,2,有,有,4880000,42590,0,0001
房地(土地+建物)+車位,頭屋村4鄰中正街33巷31~60號,1090824,土地1建物1車位1,四層,五層,華廈(10層含以下有電梯),-1,114.58000000000001,3,2,2,有,有,4800000,41892,0,0001
房地(土地+建物),苗栗縣頭屋鄉頭屋村23鄰雙龍街61~90號,1090322,土地2建物1車位0,全,二層,透天厝,-1,97.68,3,2,2,有,無,980000,10033,0,0002
房地(土地+建物),頭屋村23鄰雙龍街61~90號,1090722,土地2建物1車位0,全,二層,透天厝,-1,97.68,4,2,2,有,無,1300000,13309,0,0002
房地(土地+建物),苗栗縣竹南鎮大埔里3鄰科專五路238巷1~30號,1070726,土地2建物1車位0,全,四層,透天厝,3,319.54,7,2,7,有,有,16800000,52576,0,0003
房地(土地+建物),大埔里3鄰科專五路238巷1~30號,1090726,土地2建物1車位0,全,四層,透天厝,3,319.54,17,0,17,有,有,17800000,55705,0,0003
房地(土地+建物),苗栗縣竹南鎮大埔里1鄰科專一路229巷1~30號,1080825,土地3建物1車位0,全,三層,透天厝,1,178.8,4,2,3,有,無,9780000,54698,0,0004
房地(土地+建物),大埔里1鄰科專一路229巷1~30號,1090725,土地3建物1車位0,全,三層,透天厝,1,178.8,4,3,3,有,無,10600000,59284,0,0004
房地(土地+建物)+車位,苗栗縣竹南鎮大埔里1鄰大埔一街91~120號,1070506,土地1建物1車位1,二層,九層,華廈(10層含以下有電梯),-1,155.03,3,2,2,有,有,7550000,48877,1000000,0005
房地(土地+建物)+車位,大埔里1鄰大埔一街91~120號,1090806,土地1建物1車位1,二層,九層,華廈(10層含以下有電梯),-1,155.03,3,2,2,有,有,7550000,48700,0,0005
房地(土地+建物),苗栗縣竹南鎮營盤里22鄰萬福街33巷1~30號,1040327,土地2建物1車位0,二層,五層,華廈(10層含以下有電梯),5,151.03,4,2,2,有,有,5400000,35754,0,0006
