編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPPNMLSJRHPFFAK86DA,獅潭段和興小段,1495.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉
RPPNMLSJRHPFFAK86DA,獅潭段和興小段,220.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPSNMLSJRHPFFBK27DA,文聖段,22.98,都市：其他:住宅區,100000,718,持分移轉
RPWNMLLLQHPFFBK07DA,文發段,85.75,非都市： ; 非都市編定：,1,1,全筆移轉
RPVNMLNJRHPFFBK07DA,南勢坑段上南勢坑小段,101.39,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,778700,10139,持分移轉
RPSNMLKKRHPFFBK56DA,苗栗段,13.80,都市：其他:住宅區,20,1,持分移轉
RPSNMLKKRHPFFBK56DA,苗栗段,13.80,都市：其他:住宅區,20,1,持分移轉
RPUPMLSJRHPFFBK67DA,頭屋段,58.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉
RPUPMLSJRHPFFBK67DA,頭屋段,16.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉
RPUNMLTJRHPFFBK57DA,文發段,31.45,都市：其他:住宅區,10000,163,持分移轉
RPRNMLRJRHPFFBK07DA,頭屋段一小段,39.95,都市：其他:住宅區,10000,913,持分移轉
RPUNMLTJRHPFFBK57DA,文發段,.23,都市：其他:住宅區,10000,163,持分移轉
RPUNMLSJRHPFFBK47DA,文聖段,22.98,都市：其他:住宅區,100000,718,持分移轉
RPTNMLKKRHPFFBK66DA,豐年段,116.01,都市：其他:住宅區,1,1,全筆移轉
RPVNMLSJRHPFFBK57DA,文聖段,29.31,都市：其他:住宅區,100000,916,持分移轉
RPXNMLMJRHPFFDK37DA,二張犁段,24.00,都市：其他:農業區建地目,1,1,全筆移轉
RPWOMLRLPHPFFDK87DA,大同段,71.39,都市：其他:第一種住宅區,1,1,全筆移轉
RPWOMLRLPHPFFDK87DA,大同段,28.79,都市：其他:第一種住宅區,20,1,持分移轉
RPXNMLQJQHPFFDK67DA,大同段,29.52,都市：其他:第一種住宅區,13,1,持分移轉
RPXNMLQJQHPFFDK67DA,大同段,.94,非都市： ; 非都市編定：,17,1,持分移轉
RPXNMLQJQHPFFDK67DA,大同段,82.82,非都市： ; 非都市編定：,1,1,全筆移轉
