編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPOPMLSLIIPFFBK56CC,21,87.46,住家用,鋼筋混凝土造,88年12月6日,十二層,
RPXOMLSLIIPFFBK37CC,31,38.11,住家用,鋼筋混凝土造,79年2月15日,,
RPTNMLNLRHPFFDK37CC,21,306.09,住家用,鋼筋混凝土造,88年10月22日,四層,
RPQOMLOKRHPFFBK96CC,,123.12,住家用,加強磚造,,,
RPUNMLRLIIPFFDK07CC,15,225.54,住商用,鋼筋混凝土造,94年11月4日,五層,
RPQNMLRLJIPFFBK56CC,40,140.98,住商用,加強磚造,69年10月20日,二層,
RPTNMLRLIIPFFDK96CC,26,244.69,住家用,鋼筋混凝土造,83年4月29日,四層,
RPUNMLOJKIPFFBK56CC,21,85.53,見其他登記事項,鋼筋混凝土造,88年11月23日,九層,
RPUNMLOJKIPFFBK56CC,21,13.44,見其他登記事項,鋼筋混凝土造,88年11月23日,九層,
RPPPMLSLIIPFFBK66CC,21,95.42,住家用,鋼筋混凝土造,88年12月6日,十三層,
RPWNMLSJKIPFFDK37CC,27,215.40,住家用,鋼筋混凝土造,83年2月22日,三層,
