鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
南投市,房地(土地+建物),光興街31~60號,183.08,都市：其他:住宅區,,,1090810,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0820212,210.43,5,2,5,有,無,12600000,59877,,0.0,0,,RPVNMLOJRHPFFAM27DA,198.99,11.44,0.0,無,0001
南投市,房地(土地+建物),育樂路114巷91~120號,17.83,都市：其他:住宅區,,,1090831,土地1建物1車位0,全,一層,透天厝,住家用,鋼筋混凝土加強磚造,0681004,10.14,4,1,1,有,無,340000,33531,,0.0,0,,RPOOMLOJRHPFFAM66DA,10.14,0.0,0.0,無,
中寮鄉,房地(土地+建物),復興巷31~60號,3509.0,,山坡地保育區,農牧用地,1090704,土地1建物1車位0,一層,一層,農舍,農舍,鋼筋混凝土造,1011119,127.59,4,2,4,有,無,4000000,,,0.0,0,,RPRNMLRJRHPFFAM17DA,127.59,0.0,0.0,無,
南投市,房地(土地+建物),文化路101巷1~30號,113.57,都市：其他:住宅區,,,1090726,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0880205,213.83,4,2,3,有,有,8500000,39751,,0.0,0,,RPPOMLSJRHPFFAM17DA,178.14,3.62,32.07,無,
南投市,房地(土地+建物),吉利路435巷1~30號,160.84,,山坡地保育區,丙種建築用地,1090819,土地1建物1車位0,全,一層,透天厝,住家用,鋼筋混凝土加強磚造,0691200,82.38,3,2,1,有,無,4570000,55475,,0.0,0,,RPXNMLTJRHPFFAM97DA,82.38,0.0,0.0,無,
南投市,土地,千秋段451~480地號,877.32,,特定農業區,農牧用地,1090712,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10300000,11740,,0.0,0,,RPQNMLKKRHPFFAM09DA,0.0,0.0,0.0,無,
南投市,土地,包尾段721~750地號,834.0,都市：其他:農業區,,,1090824,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15641700,18755,,0.0,0,,RPRNMLKKRHPFFAM56DA,0.0,0.0,0.0,無,
草屯鎮,房地(土地+建物),太平路二段181~210號,132.48,都市：其他:住宅區,,,1090731,土地4建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0720809,277.29,7,3,5,有,無,20800000,75012,,0.0,0,其他增建;,RPROMLKKQHPFFBM66DA,270.21,0.0,7.08,無,
草屯鎮,房地(土地+建物),坪巷1~30號,132.54,,鄉村區,乙種建築用地,1090221,土地4建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1090612,168.74,4,3,3,有,無,8200000,48595,,0.0,0,土地交易總價:3690000元建物交易總價:4510000元.,RPUNMLRJRHPFFBM57DA,151.69,0.0,17.05,無,
