編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPPOMLKLJIPFFAO68CB,東山段一小段,26.31,都市：商,100000,1631,持分移轉
RPROMLPLJIPFFAO76CB,東山段一小段,39.87,都市：商,100000,2472,持分移轉
RPQOMLKLJIPFFAO78CB,東山段一小段,26.21,都市：商,100000,1625,持分移轉
RPQOMLPLJIPFFAO66CB,東山段一小段,39.97,都市：商,100000,2478,持分移轉
RPWQMLQLIIPFFAO67EB,竹蓮段,10.78,都市：商,10000,170,持分移轉
RPROMLKLJIPFFAO88CB,東山段一小段,26.31,都市：商,100000,1631,持分移轉
RPWPMLSLIIPFFAO77EB,竹蓮段,10.27,都市：商,10000,162,持分移轉
RPXNMLPLJIPFFAO27CB,東山段一小段,39.91,都市：商,100000,2474,持分移轉
RPWRMLKLJIPFFAO07CB,東山段一小段,39.97,都市：商,100000,2478,持分移轉
RPTOMLPLJIPFFAO96CB,東山段一小段,39.87,都市：商,100000,2472,持分移轉
RPXOMLPLJIPFFAO37CB,東山段一小段,39.97,都市：商,100000,2478,持分移轉
RPOPMLPLJIPFFAO56CB,東山段一小段,39.87,都市：商,100000,2472,持分移轉
RPWOMLPLJIPFFAO27CB,東山段一小段,39.97,都市：商,100000,2478,持分移轉
RPUOMLPLJIPFFAO07CB,東山段一小段,39.97,都市：商,100000,2478,持分移轉
RPVOMLPLJIPFFAO17CB,東山段一小段,39.97,都市：商,100000,2478,持分移轉
RPPPMLPLJIPFFAO66CB,東山段一小段,39.87,都市：商,100000,2472,持分移轉
RPSPMLPLJIPFFAO96CB,東山段一小段,32.81,都市：商,100000,2034,持分移轉
RPRPMLPLJIPFFAO86CB,東山段一小段,40.86,都市：商,100000,2533,持分移轉
RPQPMLPLJIPFFAO76CB,東山段一小段,39.97,都市：商,100000,2478,持分移轉
RPTPMLPLJIPFFAO07CB,東山段一小段,32.81,都市：商,100000,2034,持分移轉
RPUPMLPLJIPFFAO17CB,東山段一小段,32.91,都市：商,100000,2040,持分移轉
RPWPMLPLJIPFFAO37CB,東山段一小段,32.81,都市：商,100000,2034,持分移轉
RPPQMLPLJIPFFAO76CB,東山段一小段,32.91,都市：商,100000,2040,持分移轉
RPVPMLPLJIPFFAO27CB,東山段一小段,32.91,都市：商,100000,2040,持分移轉
RPXPMLPLJIPFFAO47CB,東山段一小段,32.91,都市：商,100000,2040,持分移轉
RPRQMLPLJIPFFAO96CB,東山段一小段,32.91,都市：商,100000,2040,持分移轉
RPOQMLPLJIPFFAO66CB,東山段一小段,32.81,都市：商,100000,2034,持分移轉
RPQQMLPLJIPFFAO86CB,東山段一小段,32.81,都市：商,100000,2034,持分移轉
RPSQMLPLJIPFFAO07CB,東山段一小段,32.91,都市：商,100000,2040,持分移轉
RPTQMLPLJIPFFAO17CB,東山段一小段,32.91,都市：商,100000,2040,持分移轉
RPUQMLPLJIPFFAO27CB,東山段一小段,32.81,都市：商,100000,2034,持分移轉
RPORMLPLJIPFFAO76CB,東山段一小段,24.89,都市：商,100000,1543,持分移轉
RPPRMLPLJIPFFAO86CB,東山段一小段,24.89,都市：商,100000,1543,持分移轉
RPWQMLPLJIPFFAO47CB,東山段一小段,24.89,都市：商,100000,1543,持分移轉
RPVQMLPLJIPFFAO37CB,東山段一小段,24.79,都市：商,100000,1537,持分移轉
RPXQMLPLJIPFFAO57CB,東山段一小段,24.89,都市：商,100000,1543,持分移轉
RPRRMLPLJIPFFAO07CB,東山段一小段,24.89,都市：商,100000,1543,持分移轉
RPTRMLPLJIPFFAO27CB,東山段一小段,25.78,都市：商,100000,1598,持分移轉
RPVRMLPLJIPFFAO47CB,東山段一小段,25.78,都市：商,100000,1598,持分移轉
RPSRMLPLJIPFFAO17CB,東山段一小段,25.68,都市：商,100000,1592,持分移轉
RPWRMLPLJIPFFAO57CB,東山段一小段,25.78,都市：商,100000,1598,持分移轉
RPXRMLPLJIPFFAO67CB,東山段一小段,25.78,都市：商,100000,1598,持分移轉
RPSSMLPLJIPFFAO27CB,東山段一小段,25.32,都市：商,100000,1570,持分移轉
RPPSMLPLJIPFFAO96CB,東山段一小段,25.68,都市：商,100000,1592,持分移轉
RPRSMLPLJIPFFAO17CB,東山段一小段,25.42,都市：商,100000,1576,持分移轉
RPTSMLPLJIPFFAO37CB,東山段一小段,25.61,都市：商,100000,1588,持分移轉
RPOSMLPLJIPFFAO86CB,東山段一小段,25.68,都市：商,100000,1592,持分移轉
RPVSMLPLJIPFFAO57CB,東山段一小段,25.42,都市：商,100000,1576,持分移轉
RPWSMLPLJIPFFAO67CB,東山段一小段,26.21,都市：商,100000,1625,持分移轉
RPUSMLPLJIPFFAO47CB,東山段一小段,25.32,都市：商,100000,1570,持分移轉
RPOTMLPLJIPFFAO96CB,東山段一小段,26.21,都市：商,100000,1625,持分移轉
RPXSMLPLJIPFFAO77CB,東山段一小段,26.21,都市：商,100000,1625,持分移轉
RPQTMLPLJIPFFAO17CB,東山段一小段,26.21,都市：商,100000,1625,持分移轉
RPOQMLLJKIPFFAO78CB,東山段一小段,25.61,都市：商,100000,1588,持分移轉
