編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPUOMLTKQHPFFAP08DA,東陽段,27.67,非都市：鄉村區 ; 非都市編定：乙種建築用地,12,1,持分移轉
RPUOMLTKQHPFFAP08DA,東陽段,27.67,非都市：鄉村區 ; 非都市編定：乙種建築用地,144,12,持分移轉
RPTNMLOJQHPFFDP57DA,竹寮段,17.67,非都市：特定農業區 ; 非都市編定：水利用地,36,6,持分移轉
RPTNMLOJQHPFFDP57DA,竹寮段,52.83,非都市：特定農業區 ; 非都市編定：水利用地,36,6,持分移轉
RPXNMLSLQHPFFAP28DA,龍潭段,26.30,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1383,持分移轉
RPXNMLSLQHPFFAP28DA,龍潭段,77.77,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉
RPQNMLTJRHPFFDP87DA,竹圍子段,2125.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPPNMLKKRHPFFCP86DA,西螺段,140.00,都市：其他:住宅區,1,1,全筆移轉
RPWNMLRJRHPFFDP28DA,竹安段,84.99,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉
RPWNMLRJRHPFFDP28DA,竹安段,21.69,非都市：鄉村區 ; 非都市編定：乙種建築用地,1600,171,持分移轉
RPRNMLKLQHPFFCP07DA,西中段,88.48,都市：其他:住宅區,1,1,全筆移轉
RPQOMLOJRHPFFBP27DA,興國段,9.24,都市：其他:商業區,239600,924,持分移轉
RPVNMLOKQHPFFDP87DA,延平段,149.30,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉
RPXNMLRJRHPFFDP38DA,惠來厝段,5.75,非都市：鄉村區 ; 非都市編定：乙種建築用地,12,1,持分移轉
RPXNMLRJRHPFFDP38DA,惠來厝段,13.75,非都市：鄉村區 ; 非都市編定：乙種建築用地,12,1,持分移轉
RPXNMLRJRHPFFDP38DA,惠來厝段,74.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉
RPPNMLTJRHPFFDP77DA,馬公厝段,.84,非都市：鄉村區 ; 非都市編定：乙種建築用地,540,1,持分移轉
RPPNMLTJRHPFFDP77DA,馬公厝段,.84,非都市：鄉村區 ; 非都市編定：乙種建築用地,540,1,持分移轉
RPPNMLTJRHPFFDP77DA,馬公厝段,41.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,2,1,持分移轉
RPPNMLTJRHPFFDP77DA,馬公厝段,41.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,2,1,持分移轉
RPRNMLOKQHPFFEP57DA,西鹿段,4101.95,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPPNMLTJRHPFFEP87DA,後寮段,3132.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPQNMLTJRHPFFEP97DA,鹿場段,2490.50,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPPNMLTJRHPFFAP57EA,溝段,321.21,非都市：特定農業區 ; 非都市編定：農牧用地,128,24,持分移轉
RPPNMLTJRHPFFAP57EA,溝段,321.21,非都市：特定農業區 ; 非都市編定：農牧用地,128,24,持分移轉
RPXNMLTJRHPFFAP38EA,湖山段,189.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉
RPXNMLTJRHPFFAP38EA,湖山段,26.88,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,16,4,持分移轉
RPQNMLKKRHPFFCP07EA,大庄段,42.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPQNMLKKRHPFFCP07EA,大庄段,2732.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPVNMLTJRHPFFAP18EA,湖山段,232.92,非都市：山坡地保育區 ; 非都市編定：交通用地,3,1,持分移轉
RPVNMLTJRHPFFAP18EA,湖山段,189.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉
RPQNMLTJRHPFFAP67EA,斗六段,125.00,都市：其他:住宅區,2,1,持分移轉
RPQNMLTJRHPFFAP67EA,斗六段,62.50,都市：其他:住宅區,4,1,持分移轉
RPQNMLTJRHPFFAP67EA,斗六段,62.50,都市：其他:住宅區,4,1,持分移轉
RPVNMLTJRHPFFAP18EA,湖山段,56.03,非都市：山坡地保育區 ; 非都市編定：交通用地,3,1,持分移轉
RPVNMLTJRHPFFAP18EA,湖山段,26.88,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,4,1,持分移轉
RPRNMLNLQHPFFEP57DA,新街段,25.75,都市：住,12,1,持分移轉
RPRNMLNLQHPFFEP57DA,新街段,94.00,都市：住,1,1,全筆移轉
RPTNMLPKRHPFFCP87EA,面前厝段,109.56,都市：其他:住宅區,1,1,全筆移轉
RPRNMLTJRHPFFDP08EA,光明段,27.69,都市：其他:公設保留地(道),1,1,全筆移轉
