編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPSOMLKMRHPFFAP37CC,雲林溪段,782.39,都市：住,,,
RPOOMLOLRHPFFBP37CC,西岐段,82.00,都市：住,,,
RPQNMLLLIIPFFBP98CC,南昌段,.45,都市：其他:零售市場,,,
RPQNMLPKRHPFFDP67CC,菜園段,65.00,都市：住,,,
RPPOMLOLRHPFFBP47CC,中興段,77.00,都市：住,,,
RPRNMLOLRHPFFAP47CC,斗六段,1501.98,都市：商,,,
RPRNMLNJJIPFFDP86DC,信義段,112.30,都市：住,,,
RPTNMLQKIIPFFDP27CC,五福段,21.96,都市：住,,,
RPTNMLQKIIPFFDP27CC,五福段,110.46,都市：住,,,
RPVNMLOKRHPFFAP77CC,重光段,132.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,
RPSNMLNJJIPFFDP96DC,信義段,112.30,都市：住,,,
RPRNMLMLIIPFFDP76CC,光明段,2615.90,都市：工,,,
RPRNMLQJJIPFFAP76CC,九老爺段,79.33,非都市：特定農業區 ; 非都市編定：農牧用地,,,
RPTNMLQJJIPFFAP96CC,林頭段,28.00,都市：住,,,
RPTNMLQJJIPFFAP96CC,林頭段,16.00,都市：住,,,
RPTNMLQJJIPFFAP96CC,林頭段,6.00,都市：住,,,
RPTNMLQJJIPFFAP96CC,林頭段,1.00,都市：住,,,
RPTNMLNJJIPFFDP07DC,信義段,112.30,都市：住,,,
RPUNMLQJJIPFFAP07CC,斗六段,1068.00,都市：商,,,
RPTOMLQJJIPFFAP17DC,大潭段社口小段,90.00,都市：住,,,
RPXNMLRKJIPFFDP87CC,弘道段,100.00,都市：住,,,
RPTNMLLKJIPFFAP56CC,林頭段,59.00,都市：住,,,
RPTNMLLKJIPFFAP56CC,林頭段,63.00,都市：住,,,
RPTNMLPLJIPFFAP07CC,海豐崙段海豐崙小段,26.00,都市：住,,,
RPPNMLSLJIPFFDP27CC,虎新段,341.97,都市：商,,,
RPSNMLKLJIPFFAP09CC,海豐崙段朱丹灣小段,629.91,都市：住,,,
RPSNMLKLJIPFFAP09CC,海豐崙段朱丹灣小段,358.76,都市：住,,,
RPUNMLKMJIPFFAP86DC,斗六段,11.06,都市：住,,,
RPQNMLLJKIPFFAP88CC,嘉東段,237.99,都市：商,,,
