編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPUNMLSLQHPFFDQ38DA,馬稠後段豐稠小段,18.88,非都市：特定農業區 ; 非都市編定：交通用地,587,40,持分移轉
RPQNMLTJRHPFFBQ77DA,崁後段南崁小段,365.00,非都市：特定農業區 ; 非都市編定：農牧用地,579,365,持分移轉
RPRNMLOJRHPFFCQ47DA,好收段竹圍後小段,926.99,非都市：特定農業區 ; 非都市編定：農牧用地,10000,3593,持分移轉
RPRNMLOJRHPFFCQ47DA,好收段竹圍後小段,1653.01,非都市：特定農業區 ; 非都市編定：農牧用地,10000,6407,持分移轉
RPRNMLTJRHPFFBQ87DA,文化段,199.00,都市：其他:住宅區,1,1,全筆移轉
RPPNMLSJRHPFFBQ57DA,崁後段北崁小段,5000.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPQNMLLMQHPFFBQ17DA,型厝段,8.11,非都市：鄉村區 ; 非都市編定：乙種建築用地,36,6,持分移轉
RPQNMLLMQHPFFBQ17DA,型厝段,8.11,非都市：鄉村區 ; 非都市編定：乙種建築用地,36,6,持分移轉
RPQNMLLMQHPFFBQ17DA,型厝段,8.11,非都市：鄉村區 ; 非都市編定：乙種建築用地,36,6,持分移轉
RPUNMLSJRHPFFBQ08DA,安福段,328.00,都市：其他:住宅區,1,1,全筆移轉
RPPNMLOJRHPFFDQ37DA,管事厝段,954.00,都市：其他:農業區,6,1,持分移轉
RPPOMLNKQHPFFDQ37DA,和溪段,71.48,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉
RPPNMLOJRHPFFDQ37DA,管事厝段,23.17,都市：其他:農業區,6,1,持分移轉
RPPNMLOJRHPFFDQ37DA,管事厝段,693.33,都市：其他:農業區,6,1,持分移轉
RPPNMLQJRHPFFDQ57DA,隆恩段,183.71,非都市：鄉村區 ; 非都市編定：乙種建築用地,50,5,持分移轉
RPPNMLQJRHPFFDQ57DA,隆恩段,183.71,非都市：鄉村區 ; 非都市編定：乙種建築用地,50,5,持分移轉
RPPNMLQJRHPFFDQ57DA,隆恩段,.39,非都市：鄉村區 ; 非都市編定：交通用地,50,5,持分移轉
RPPNMLQJRHPFFDQ57DA,隆恩段,.39,非都市：鄉村區 ; 非都市編定：交通用地,50,5,持分移轉
RPSNMLTJRHPFFBQ97DA,文化段,199.00,都市：其他:住宅區,1,1,全筆移轉
RPPNMLTJRHPFFBQ67DA,鎮安段,13.16,都市：其他:住宅區,10000,2500,持分移轉
RPPNMLTJRHPFFBQ67DA,鎮安段,18.62,都市：其他:住宅區,10000,130,持分移轉
