編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPTNMLRJIIPFFBQ17CC,栗子崙段,4279.00,非都市：一般農業區 ; 非都市編定：農牧用地,,,
RPVNMLOKIIPFFDQ37CC,水南段,966.94,都市：住,,,
RPSNMLTJJIPFFDQ67DC,過溝段過溝小段,259.00,都市：住,,,
RPSOMLKMRHPFFDQ77CC,和興段,56.71,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,
RPRNMLKMRHPFFCQ47CC,世興段,87.87,都市：住,,,
RPQNMLMJJIPFFDQ66CC,隆恩段,6407.80,非都市：特定農業區 ; 非都市編定：農牧用地,,,
RPSNMLNKIIPFFCQ96DC,頭橋段工業小段,18.75,都市：住,,,
RPRNMLSKRHPFFDQ18CC,太頂珠段,.00,都市：住,,,
RPQOMLKMJIPFFCQ76CC,民文段,142.00,都市：住,,,
RPQOMLKMJIPFFCQ76CC,民文段,33.21,都市：住,,,
RPPNMLSKRHPFFDQ97CC,太頂珠段,.00,都市：住,,,
RPXNMLLJKIPFFCQ37DC,新庄段,45.92,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,
