編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPUNMLTJRHPFFAT38DA,萬惠段,96.00,都市：住,1,1,全筆移轉
RPPNMLTJRHPFFAT87DA,北勢段,17.08,都市：住,60000,510,持分移轉
RPPNMLTJRHPFFAT87DA,北勢段,1.70,都市：住,60000,510,持分移轉
RPSNMLSJRHPFFAT08DA,崑崙段,109.07,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉
RPSNMLSJRHPFFAT08DA,崑崙段,41.86,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000,115,持分移轉
RPUOMLSLQHPFFAT48DA,林內段,70.00,都市：住,1,1,全筆移轉
RPTOMLRJRHPFFAT18DA,萬年段,70.83,都市：住,4000,247,持分移轉
RPRNMLTJRHPFFAT08DA,新社皮段,22.13,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,283,持分移轉
RPRNMLTJRHPFFAT08DA,新社皮段,62.76,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉
RPSOMLSJRHPFFAT18DA,萬興段,1363.33,非都市：特定農業區 ; 非都市編定：農牧用地,6,2,持分移轉
RPSNMLTJRHPFFAT18DA,新潭段,59.99,都市：住,1,1,全筆移轉
RPSNMLTJRHPFFAT18DA,新潭段,14.48,都市：住,300,10,持分移轉
RPSNMLTJRHPFFAT18DA,新潭段,4.74,都市：住,300,10,持分移轉
RPSNMLTJRHPFFAT18DA,新潭段,3.06,都市：住,300,10,持分移轉
RPTOMLTJRHPFFAT38DA,萬年段,47.74,都市：住,10000,839,持分移轉
RPQNMLLKRHPFFBT37DA,永隆段,1721.57,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPTNMLRJRHPFFBT18DA,新莊段,2514.74,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉
RPTNMLRJRHPFFBT18DA,新莊段,2514.74,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉
RPSOMLMJRHPFFCT77DA,新勢段,1230.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPVNMLSJRHPFFCT58DA,新埔段,241.50,都市：其他:農業區,2,1,持分移轉
RPVNMLSJRHPFFCT58DA,新埔段,29.50,都市：其他:農業區,256,16,持分移轉
RPVOMLTJRHPFFAT58DA,勝興段,32.74,都市：住,10000,43,持分移轉
RPUNMLSLQHPFFCT58DA,萬和段,83.00,都市：其他:商業區,8,2,持分移轉
RPUNMLSLQHPFFCT58DA,萬和段,13.90,都市：其他:商業區,8,2,持分移轉
RPPNMLOJRHPFFBT47DA,新南段,759.21,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉
RPPNMLOJRHPFFBT47DA,新南段,48.97,非都市：鄉村區 ; 非都市編定：乙種建築用地,2,1,持分移轉
RPOPMLOLQHPFFCT77DA,南寧段,65.33,都市：其他:住宅區,1,1,全筆移轉
RPOPMLOLQHPFFCT77DA,南寧段,8.91,都市：其他:住宅區,1,1,全筆移轉
RPVNMLRJRHPFFCT48DA,五福段,70.56,都市：其他:住宅區,1,1,全筆移轉
RPWNMLKKRHPFFCT97DA,新埔段,2040.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPTNMLOJRHPFFCT97DA,龍頸段,5.99,非都市： ; 非都市編定：,16,1,持分移轉
RPTNMLOJRHPFFCT97DA,龍頸段,123.90,非都市： ; 非都市編定：,1,1,全筆移轉
RPUNMLKKRHPFFCT77DA,南岸段,1005.33,非都市：一般農業區 ; 非都市編定：農牧用地,3,2,持分移轉
RPUNMLKKRHPFFCT77DA,南岸段,1083.33,非都市：一般農業區 ; 非都市編定：農牧用地,3,2,持分移轉
RPXNMLSJRHPFFCT78DA,龍潭段,5.95,都市：其他:住宅區,1,1,全筆移轉
RPXNMLSJRHPFFCT78DA,龍潭段,2.58,都市：其他:住宅區,1,1,全筆移轉
RPXNMLSJRHPFFCT78DA,龍潭段,55.39,都市：其他:住宅區,1,1,全筆移轉
