鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
秀林鄉,土地,下台地段691~720地號,4234.39,,一般農業區,農牧用地,1090804,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2561800,605,,0.0,0,,RPUOMLRJQHPFFAU28DA,0.0,0.0,0.0,無,
花蓮市,房地(土地+建物),華泰街31~60號,16.21,住,,,1090807,土地1建物1車位0,八層，九層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860827,131.08,2,1,2,有,有,4150000,31660,,0.0,0,共同使用部分含車位,RPSPMLOLQHPFFAU08DA,61.35,0.66,5.22,有,
花蓮市,房地(土地+建物),水源街79巷1~30號,113.51,住,,,1090531,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0960629,153.6,4,2,3,有,無,10000000,65104,,0.0,0,,RPWOMLSLQHPFFAU78DA,142.57,0.0,11.03,無,
花蓮市,房地(土地+建物),富裕七街1~30號,16.69,商,,,1090817,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1090108,98.13,2,2,1,有,有,6250000,63691,,0.0,0,,RPPNMLOJRHPFFAU47DA,56.14,0.0,3.54,有,0001
花蓮市,房地(土地+建物),球崙二路211~240號,17.46,住,,,1090821,土地1建物1車位0,二層，三層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860827,144.70999999999998,3,1,2,有,有,4880000,33723,,0.0,0,車位含在公設內其他增建;,RPWNMLRJRHPFFAU48DA,59.26,7.7,7.31,有,0002
花蓮市,房地(土地+建物),國盛四街91~120號,7.38,住,,,1090901,土地1建物1車位0,三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840919,34.33,1,1,1,有,有,1415000,41218,,0.0,0,,RPSNMLSJRHPFFAU18DA,20.26,0.51,2.28,有,0003
新城鄉,房地(土地+建物),復興路241~270號,125.0,商,,,1090826,土地2建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土造,1061024,436.24,7,2,8,有,無,25850000,59256,,0.0,0,本交易價格含裝潢、傢俱、家電價值合計新台幣200萬元整,RPXOMLSJRHPFFAU78DA,390.25,0.0,45.99,有,
花蓮市,房地(土地+建物),國盛六街31~60號,4.8,都市：其他:住宅區,,,1090826,土地1建物1車位0,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830414,82.08,2,2,2,有,有,2800000,34113,,0.0,0,陽台外推;,RPOPMLSJRHPFFAU97DA,64.08,5.9,6.12,有,0004
吉安鄉,房地(土地+建物),太昌路463巷1~30號,129.65,,鄉村區,乙種建築用地,1090801,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0921209,195.28,4,2,4,有,無,8900000,45576,,0.0,0,頂樓加蓋;其他增建;,RPVNMLTJRHPFFAU58DA,185.26,0.0,10.02,無,0005
壽豐鄉,土地,明月段361~390地號,6793.57,,山坡地保育區,農牧用地,1090610,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2850324,420,,0.0,0,,RPWNMLTJRHPFFAU68DA,0.0,0.0,0.0,無,
壽豐鄉,土地,明月段361~390地號,3216.87,,山坡地保育區,農牧用地,1090610,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1349676,420,,0.0,0,,RPPOMLTJRHPFFAU08DA,0.0,0.0,0.0,無,
吉安鄉,房地(土地+建物),華城七街421~450號,982.42,,一般農業區,農牧用地,1090813,土地1建物1車位0,一層，二層，見其他登記事項,二層,農舍,農舍,鋼筋混凝土造,0951002,196.07,4,2,4,有,無,15500000,,,0.0,0,其他增建;,RPUOMLTJRHPFFAU58DA,177.97,0.0,18.1,無,
花蓮市,土地,林森段2911~2940地號,331.67,都市：其他:道路用地,,,1090904,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2500000,7538,,0.0,0,包含公共設施保留地用地;,RPVOMLTJRHPFFAU68DA,0.0,0.0,0.0,無,0006
秀林鄉,土地,帛士林段571~600地號,2515.03,,一般農業區,農牧用地,1090831,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,850000,338,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPSNMLKKRHPFFAU47DA,0.0,0.0,0.0,無,0007
花蓮市,房地(土地+建物)+車位,富裕十六街1~30號,22.82,住,,,1090814,土地1建物1車位1,六層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831026,131.08,3,2,2,有,有,6400000,48825,升降平面,0.0,0,,RPTNMLTJRHPFFAU38DA,72.31,2.3,10.45,有,0008
花蓮市,房地(土地+建物),國富五街61~90號,30.45,住,,,1090813,土地1建物1車位0,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830506,154.28,4,2,2,有,有,7550000,48937,,0.0,0,共同使用部分含車位,RPOOMLKKRHPFFAU17DA,90.49,0.75,12.4,有,0009
吉安鄉,房地(土地+建物),中央路三段186巷1~30號,94.0,住,,,1090814,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0871002,215.34,4,1,4,有,無,8000000,37151,,0.0,0,,RPSOMLKKRHPFFAU57DA,193.68,3.24,18.42,無,
瑞穗鄉,土地,瑞祥段901~930地號,294.49,,一般農業區,農牧用地,1090806,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,400000,1358,,0.0,0,,RPQNMLKKRHPFFCU57EA,0.0,0.0,0.0,無,
瑞穗鄉,土地,源北段1141~1170地號,2822.43,,特定農業區,農牧用地,1090903,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2360000,836,,0.0,0,,RPRNMLLKRHPFFCU77EA,0.0,0.0,0.0,無,0010
花蓮市,房地(土地+建物),富裕十六街31~60號,20.15,住,,,1090903,土地1建物1車位0,一層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831026,92.71000000000001,3,2,2,有,有,4450000,47999,,0.0,0,,RPRNMLLKRHPFFAU47DA,63.56,10.8,0.0,有,0011
