交易標的,土地區段位置/建物區段門牌,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,屋齡,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位總價(元),移轉編號
transaction sign,land sector position building sector house number plate,transaction year month and day,transaction pen number,shifting level,total floor number,building state,room age,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth total price NTD,
房地(土地+建物)+車位,花蓮縣花蓮市富裕七街1~30號,1090517,土地1建物1車位1,三層,七層,華廈(10層含以下有電梯),1,98.13,2,1,1,有,有,6230000,63487,0,0001
房地(土地+建物),富裕七街1~30號,1090817,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),1,98.13,2,2,1,有,有,6250000,63691,0,0001
房地(土地+建物),花蓮縣花蓮巿球崙二路211~240號,1020721,土地1建物1車位0,二層，三層,九層,華廈(10層含以下有電梯),23,144.70999999999998,2,1,2,有,有,3450000,23841,0,0002
房地(土地+建物),花蓮縣花蓮巿球崙二路211~240號,1021221,土地1建物1車位0,二層，三層,九層,華廈(10層含以下有電梯),23,144.70999999999998,3,2,2,有,有,3300000,22803,0,0002
房地(土地+建物),花蓮縣花蓮巿球崙二路211~240號,1030421,土地1建物1車位0,二層，三層,九層,華廈(10層含以下有電梯),23,144.70999999999998,2,2,2,有,有,3650000,25223,0,0002
房地(土地+建物),花蓮縣花蓮巿球崙二路211~240號,1040421,土地1建物1車位0,二層，三層,九層,華廈(10層含以下有電梯),23,144.70999999999998,3,1,1,有,有,4400000,30406,0,0002
房地(土地+建物),球崙二路211~240號,1090821,土地1建物1車位0,二層，三層,九層,華廈(10層含以下有電梯),23,144.70999999999998,3,1,2,有,有,4880000,33723,0,0002
房地(土地+建物),花蓮縣花蓮巿國盛四街91~120號,1040301,土地1建物1車位0,三層,六層,套房(1房1廳1衛),-1,34.33,1,1,1,有,有,1300000,37868,0,0003
房地(土地+建物),國盛四街91~120號,1090901,土地1建物1車位0,三層,六層,華廈(10層含以下有電梯),-1,34.33,1,1,1,有,有,1415000,41218,0,0003
房地(土地+建物),花蓮縣花蓮巿國盛六街31~60號,1020626,土地1建物1車位0,二層,六層,華廈(10層含以下有電梯),26,82.08,2,1,1,有,有,1950000,23757,0,0004
房地(土地+建物),國盛六街31~60號,1090826,土地1建物1車位0,二層,六層,華廈(10層含以下有電梯),26,82.08,2,2,2,有,有,2800000,34113,0,0004
房地(土地+建物),花蓮縣吉安鄉太昌路463巷1~30號,1041101,土地1建物1車位0,全,三層,透天厝,17,195.28,4,2,3,有,無,8000000,40967,0,0005
房地(土地+建物),花蓮縣吉安鄉太昌路463巷1~30號,1061201,土地1建物1車位0,全,三層,透天厝,17,195.28,4,2,4,有,無,8900000,45576,0,0005
房地(土地+建物),太昌路463巷1~30號,1090801,土地1建物1車位0,全,三層,透天厝,17,195.28,4,2,4,有,無,8900000,45576,0,0005
土地,林森段2911~2940地號,1090904,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,2500000,7538,0,0006
土地,林森段2911~2940地號,1090904,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,560000,8443,0,0006
土地,林森段2911~2940地號,1090904,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,4324270,13038,0,0006
土地,帛士林段571~600地號,1040431,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,2100000,835,0,0007
土地,帛士林段571~600地號,1050631,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,2370000,942,0,0007
土地,帛士林段571~600地號,1090831,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,850000,338,0,0007
房地(土地+建物)+車位,花蓮縣花蓮巿富裕十六街1~30號,1010714,土地1建物1車位1,六層,九層,華廈(10層含以下有電梯),26,131.08,3,2,2,有,有,2700000,20598,0,0008
房地(土地+建物),花蓮縣花蓮巿富裕十六街1~30號,1050514,土地1建物1車位0,六層,九層,華廈(10層含以下有電梯),26,131.08,2,2,2,有,有,5500000,41959,0,0008
房地(土地+建物),花蓮縣花蓮巿富裕十六街1~30號,1050614,土地1建物1車位0,六層,九層,華廈(10層含以下有電梯),26,131.08,2,2,2,有,有,5800000,44248,0,0008
房地(土地+建物)+車位,富裕十六街1~30號,1090814,土地1建物1車位1,六層,九層,華廈(10層含以下有電梯),26,131.08,3,2,2,有,有,6400000,48825,0,0008
房地(土地+建物),花蓮縣花蓮市國富五街61~90號,1080613,土地1建物1車位0,二層,六層,華廈(10層含以下有電梯),26,154.28,4,2,2,有,有,6500000,42131,0,0009
房地(土地+建物),花蓮縣花蓮市國富五街61~90號,1090113,土地1建物1車位0,二層,六層,華廈(10層含以下有電梯),26,154.28,3,2,2,有,有,7250000,46992,0,0009
房地(土地+建物),國富五街61~90號,1090813,土地1建物1車位0,二層,六層,華廈(10層含以下有電梯),26,154.28,4,2,2,有,有,7550000,48937,0,0009
土地,源北段1141~1170地號,1080703,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,486000,425,0,0010
土地,源北段1141~1170地號,1090903,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,2360000,836,0,0010
房地(土地+建物),花蓮縣花蓮市富裕十六街31~60號,1070703,土地1建物1車位0,一層,九層,華廈(10層含以下有電梯),26,92.71000000000001,3,2,2,有,有,2800000,30202,0,0011
