編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPUOMLRJQHPFFAU28DA,下台地段,4234.39,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPWNMLTJRHPFFAU68DA,明月段,460.17,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPWNMLTJRHPFFAU68DA,明月段,953.60,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPWNMLTJRHPFFAU68DA,明月段,159.76,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPWNMLTJRHPFFAU68DA,明月段,5220.04,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPPNMLOJRHPFFAU47DA,裕民段,16.69,都市：商,260,20,持分移轉
RPWOMLSLQHPFFAU78DA,民勤段,11.76,都市：住,460000,7861,持分移轉
RPWOMLSLQHPFFAU78DA,民勤段,11.76,都市：住,460000,7861,持分移轉
RPWOMLSLQHPFFAU78DA,民勤段,45.00,都市：住,2,1,持分移轉
RPWOMLSLQHPFFAU78DA,民勤段,45.00,都市：住,2,1,持分移轉
RPSNMLSJRHPFFAU18DA,富國段,7.38,都市：住,10000,65,持分移轉
RPSPMLOLQHPFFAU08DA,民意段,16.21,都市：住,10000,52,持分移轉
RPOPMLSJRHPFFAU97DA,富國段,4.80,都市：其他:住宅區,10000,40,持分移轉
RPVNMLTJRHPFFAU58DA,永安段,43.22,非都市：鄉村區 ; 非都市編定：乙種建築用地,3,1,持分移轉
RPVNMLTJRHPFFAU58DA,永安段,43.22,非都市：鄉村區 ; 非都市編定：乙種建築用地,3,1,持分移轉
RPVNMLTJRHPFFAU58DA,永安段,43.22,非都市：鄉村區 ; 非都市編定：乙種建築用地,3,1,持分移轉
RPXOMLSJRHPFFAU78DA,嘉南段,119.00,都市：商,1,1,全筆移轉
RPXOMLSJRHPFFAU78DA,嘉南段,6.00,都市：商,4,1,持分移轉
RPWNMLRJRHPFFAU48DA,民意段,17.46,都市：住,10000,56,持分移轉
RPPOMLTJRHPFFAU08DA,明月段,3216.87,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPVOMLTJRHPFFAU68DA,林森段,331.67,都市：其他:道路用地,6,5,持分移轉
RPSNMLKKRHPFFAU47DA,帛士林段,2515.03,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPUOMLTJRHPFFAU58DA,光英段,982.42,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPQNMLKKRHPFFCU57EA,瑞祥段,294.48,非都市：一般農業區 ; 非都市編定：農牧用地,10,5,持分移轉
RPUNMLLKRHPFFAU77DA,下崇德段,50.00,都市：住,1,1,全筆移轉
RPRNMLLKRHPFFCU77EA,源北段,1436.53,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPRNMLLKRHPFFCU77EA,源北段,1385.90,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPUNMLTJRHPFFAU48DA,嘉平段,1.00,都市：住,1,1,全筆移轉
RPTNMLTJRHPFFAU38DA,裕民段,22.82,都市：住,10000,111,持分移轉
RPQNMLKKRHPFFAU27DA,光中段,659.16,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPQNMLKKRHPFFAU27DA,光中段,582.95,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPQNMLKKRHPFFAU27DA,光中段,803.05,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPOOMLKKRHPFFAU17DA,莊敬段,30.45,都市：住,1000,58,持分移轉
RPSOMLKKRHPFFAU57DA,慈安段,94.00,都市：住,1,1,全筆移轉
RPRNMLLKRHPFFAU47DA,裕民段,20.15,都市：住,40000,392,持分移轉
RPQNMLLKRHPFFCU57DA,富安段,458.59,都市：其他:住宅區,1,1,全筆移轉
RPSNMLRJRHPFFBU18DA,大全段,6337.54,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPQPMLMJRHPFFAU57DA,民勤段,10.33,都市：住,10000,195,持分移轉
RPXNMLSJRHPFFAU68DA,加灣段,3103.03,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPVOMLKKRHPFFAU97EA,廣安段,105.02,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉
RPWPMLRKQHPFFAU68DA,主商段,120.00,都市：住,1,1,全筆移轉
RPWPMLRKQHPFFAU68DA,主商段,2.00,都市：其他:道路用地,1,1,全筆移轉
RPPNMLLKRHPFFBU47EA,太巴塱段,178.10,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉
RPPNMLLKRHPFFBU47EA,太巴塱段,42.25,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉
RPSNMLSKQHPFFAU18DA,德安段,68.00,都市：住,1,1,全筆移轉
RPSNMLSKQHPFFAU18DA,德安段,1.00,都市：其他:道路用地,1,1,全筆移轉
RPQPMLKKRHPFFAU47DA,慶豐段,819.00,都市：農,1,1,全筆移轉
RPQPMLKKRHPFFAU47DA,慶豐段,182.99,都市：農,29400,10000,持分移轉
RPQPMLSLQHPFFAU28DA,慶豐段,128.00,都市：住,1,1,全筆移轉
RPTNMLKKRHPFFAU57DA,主商段,13.58,都市：商,100000,646,持分移轉
RPVOMLLKRHPFFAU97DA,永安段,6.92,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉
RPVOMLLKRHPFFAU97DA,永安段,155.65,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉
RPVNMLKKRHPFFAU77DA,主商段,13.64,都市：商,100000,649,持分移轉
RPUOMLKKRHPFFAU77DA,樹人段,10.42,都市：住,10000,96,持分移轉
RPUOMLKKRHPFFAU77DA,樹人段,11.83,都市：商,10000,96,持分移轉
RPPNMLOKRHPFFAU57DA,三棧段,2080.00,非都市：風景區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPTOMLLKRHPFFAU77DA,南華段,1245.67,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPPPMLLKRHPFFAU47DA,福興段,63.00,都市：住,1,1,全筆移轉
RPPPMLLKRHPFFAU47DA,福興段,8.00,都市：其他:道路用地,1,1,全筆移轉
RPPPMLLKRHPFFAU47DA,福興段,375.00,都市：住,1,1,全筆移轉
RPPPMLLKRHPFFAU47DA,福興段,12.00,都市：其他:道路用地,1,1,全筆移轉
