交易標的,土地區段位置/建物區段門牌,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,屋齡,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位總價(元),移轉編號
transaction sign,land sector position building sector house number plate,transaction year month and day,transaction pen number,shifting level,total floor number,building state,room age,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth total price NTD,
土地,介壽段661~690地號,1061125,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,150000,10316,0,01
土地,介壽段661~690地號,1061125,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,150000,10316,0,01
土地,介壽段661~690地號,1061125,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,450000,10314,0,01
土地,介壽段661~690地號,1070125,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,150000,10316,0,01
土地,介壽段661~690地號,1080125,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,123000,8459,0,01
土地,介壽段661~690地號,1090925,土地1建物0車位0,,,其他,-1,0.0,3,2,2,有,無,123632,8503,0,01
土地,清水段421~450地號,1090918,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1161000,4591,0,02
土地,清水段421~450地號,1090918,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1261500,4989,0,02
土地,清水段421~450地號,1090918,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1291000,5105,0,02
土地,清水段421~450地號,1090918,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1321500,5226,0,02
土地,清水段421~450地號,1090918,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1060000,4652,0,02
土地,清水段421~450地號,1090918,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1158450,5084,0,02
土地,清水段421~450地號,1090918,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1098450,4821,0,02
土地,清水段421~450地號,1090918,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1218450,5347,0,02
土地,津沙段421~450地號,1080315,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,146411,4100,0,10
土地,津沙段421~450地號,1091015,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,300000,4201,0,10
土地,福正段751~780地號,1091102,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,105000,92,0,11
土地,福正段751~780地號,1091102,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,325000,284,0,11
