編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPPNMLOKRHPFFAZ08DA,橋仔段,17.14,都市：其他:,1,1,全筆移轉
RPQNMLOLRHPFFAZ28DA,津沙段,15.38,都市：其他:,1,1,全筆移轉
RPPNMLKMRHPFFAZ87DA,介壽段,14.54,非都市： ; 非都市編定：,16,2,持分移轉
UPQNMLOKIIPFFAZ67DA,清水段,28.10,非都市： ; 非都市編定：,10000,1052,持分移轉
UPQNMLOKIIPFFAZ67DA,清水段,28.10,非都市： ; 非都市編定：,10000,1052,持分移轉
UPQNMLOKIIPFFAZ67DA,清水段,28.10,非都市： ; 非都市編定：,10000,1052,持分移轉
UPQNMLOKIIPFFAZ67DA,清水段,28.10,非都市： ; 非都市編定：,10000,1052,持分移轉
UPQNMLOKIIPFFAZ67DA,清水段,28.10,非都市： ; 非都市編定：,10000,1052,持分移轉
UPQNMLOKIIPFFAZ67DA,清水段,28.10,非都市： ; 非都市編定：,10000,1052,持分移轉
UPQNMLOKIIPFFAZ67DA,清水段,28.10,非都市： ; 非都市編定：,10000,1052,持分移轉
UPQNMLOKIIPFFAZ67DA,清水段,28.10,非都市： ; 非都市編定：,10000,1052,持分移轉
UPQNMLOKIIPFFAZ67DA,清水段,28.10,非都市： ; 非都市編定：,10000,1052,持分移轉
SPQNMLOKIIPFFAZ47DA,清水段,14.05,非都市： ; 非都市編定：,10000,526,持分移轉
SPQNMLOKIIPFFAZ47DA,清水段,14.05,非都市： ; 非都市編定：,10000,526,持分移轉
SPQNMLOKIIPFFAZ47DA,清水段,14.05,非都市： ; 非都市編定：,10000,526,持分移轉
SPQNMLOKIIPFFAZ47DA,清水段,14.05,非都市： ; 非都市編定：,10000,526,持分移轉
SPQNMLOKIIPFFAZ47DA,清水段,14.05,非都市： ; 非都市編定：,10000,526,持分移轉
SPQNMLOKIIPFFAZ47DA,清水段,14.05,非都市： ; 非都市編定：,10000,526,持分移轉
SPQNMLOKIIPFFAZ47DA,清水段,14.05,非都市： ; 非都市編定：,10000,526,持分移轉
SPQNMLOKIIPFFAZ47DA,清水段,14.05,非都市： ; 非都市編定：,10000,526,持分移轉
SPQNMLOKIIPFFAZ47DA,清水段,14.05,非都市： ; 非都市編定：,10000,526,持分移轉
SPQNMLOKIIPFFAZ47DA,清水段,14.05,非都市： ; 非都市編定：,10000,526,持分移轉
SPQNMLOKIIPFFAZ47DA,清水段,14.05,非都市： ; 非都市編定：,10000,526,持分移轉
SPQNMLOKIIPFFAZ47DA,清水段,14.05,非都市： ; 非都市編定：,10000,526,持分移轉
SPQNMLOKIIPFFAZ47DA,清水段,14.05,非都市： ; 非都市編定：,10000,526,持分移轉
SPQNMLOKIIPFFAZ47DA,清水段,14.05,非都市： ; 非都市編定：,10000,526,持分移轉
SPQNMLOKIIPFFAZ47DA,清水段,14.05,非都市： ; 非都市編定：,10000,526,持分移轉
SPQNMLOKIIPFFAZ47DA,清水段,14.05,非都市： ; 非都市編定：,10000,526,持分移轉
SPQNMLOKIIPFFAZ47DA,清水段,14.05,非都市： ; 非都市編定：,10000,526,持分移轉
SPQNMLOKIIPFFAZ47DA,清水段,14.05,非都市： ; 非都市編定：,10000,526,持分移轉
WPQNMLOKIIPFFAZ87DA,清水段,25.32,非都市： ; 非都市編定：,10000,948,持分移轉
WPQNMLOKIIPFFAZ87DA,清水段,25.32,非都市： ; 非都市編定：,10000,948,持分移轉
WPQNMLOKIIPFFAZ87DA,清水段,25.32,非都市： ; 非都市編定：,10000,948,持分移轉
