交易標的,土地區段位置/建物區段門牌,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,屋齡,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位總價(元),移轉編號
transaction sign,land sector position building sector house number plate,transaction year month and day,transaction pen number,shifting level,total floor number,building state,room age,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth total price NTD,
房地(土地+建物),臺北市文山區興隆路四段145巷31~60號,1071006,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),0,106.21,3,2,2,有,無,9500000,89445,0,0001
房地(土地+建物),興隆路四段145巷31~60號,1091123,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),-1,106.21,3,2,2,有,無,11700000,110159,0,0001
土地,玉泉段一小段331~360地號,1020916,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,980000,0,0,0002
土地,玉泉段一小段301~330地號,1070120,土地4建物0車位0,,,其他,0,0.0,0,0,0,有,無,18370000,1210145,0,0002
土地,玉泉段一小段301~330地號,1091118,土地6建物0車位0,,,其他,-1,0.0,0,0,0,有,無,80000000,838926,0,0002
房地(土地+建物),臺北市萬華區西藏路541~570號,1020828,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),34,79.83,3,0,0,有,無,9280000,116247,0,0003
房地(土地+建物),西藏路541~570號,1091104,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),42,79.83,4,1,2,有,無,8500000,106476,0,0003
房地(土地+建物),臺北市萬華區武成街28巷1~30號,1080615,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),35,79.21000000000001,2,2,1,有,無,7000000,88373,0,0004
房地(土地+建物),武成街28巷1~30號,1091021,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),37,79.21000000000001,2,1,1,有,無,8200000,103522,0,0004
土地,舊宗段61~90地號,1090723,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,698000,295763,0,0005
土地,舊宗段61~90地號,1091022,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,500000,212766,0,0005
土地,舊宗段61~90地號,1091029,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,2260431,246234,0,0005
土地,舊宗段61~90地號,1091222,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,360000,243243,0,0005
房地(土地+建物),台北市中山區民生東路一段1~30號,1010723,土地1建物1車位0,五層,十二層,套房(1房1廳1衛),6,43.18,1,1,1,有,無,9000000,208444,0,0006
房地(土地+建物),民生東路一段1~30號,1091107,土地1建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),14,43.18,2,1,1,有,有,11300000,261695,0,0006
車位,臺北市內湖區成功路三段139至121~150號,1040327,土地0建物0車位1,地下三層,九層,其他,19,43.12,0,0,0,有,有,2660000,,2660000,0007
車位,臺北市內湖區成功路三段139至121~150號,1041119,土地0建物0車位1,地下三層,九層,其他,20,43.12,0,0,0,有,有,1800000,,1800000,0007
車位,成功路三段139至121~150號,1091120,土地1建物1車位1,地下三層,九層,其他,25,43.12,0,0,0,有,有,1700000,,1700000,0007
房地(土地+建物),臺北市內湖區金龍路222巷1~30號,1040531,土地1建物1車位0,四層,十二層,套房(1房1廳1衛),21,37.39,1,1,1,有,有,6650000,177855,0,0008
房地(土地+建物),金龍路222巷1~30號,1090925,土地1建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),27,18.7,1,1,1,有,有,3400000,181818,0,0008
土地,金泰段1~30地號,1020610,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1100000,333333,0,0009
土地,金泰段1~30地號,1021224,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,22000000,332226,0,0009
土地,金泰段1~30地號,1041111,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,37800000,382011,0,0009
土地,金泰段1~30地號,1041201,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,40164000,378121,0,0009
土地,金泰段1~30地號,1041214,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,2500000,377644,0,0009
土地,金泰段1~30地號,1090525,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,4000000,605144,0,0009
土地,金泰段1~30地號,1091127,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,2400000,718563,0,0009
