編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPPOMLMLKIPFFFA08CB,懷生段一小段,1.65,都市：商,100000,1229,持分移轉
RPPOMLMLKIPFFFA08CB,懷生段一小段,1.49,都市：商,100000,1229,持分移轉
RPQOMLMLKIPFFFA18CB,懷生段一小段,1.65,都市：商,100000,1229,持分移轉
RPQOMLMLKIPFFFA18CB,懷生段一小段,1.49,都市：商,100000,1229,持分移轉
RPTNMLQKKIPFFAA18CB,永昌段四小段,20.72,都市：住,100000,1056,持分移轉
RPVNMLQKKIPFFAA38CB,永昌段四小段,20.72,都市：住,100000,1056,持分移轉
RPXPMLMLKIPFFFA98CB,懷生段一小段,1.65,都市：商,100000,1229,持分移轉
RPXPMLMLKIPFFFA98CB,懷生段一小段,1.49,都市：商,100000,1229,持分移轉
RPSPMLMLKIPFFFA48CB,懷生段一小段,1.65,都市：商,100000,1229,持分移轉
RPSPMLMLKIPFFFA48CB,懷生段一小段,1.49,都市：商,100000,1229,持分移轉
RPUPMLMLKIPFFFA68CB,懷生段一小段,1.65,都市：商,100000,1229,持分移轉
RPUPMLMLKIPFFFA68CB,懷生段一小段,1.49,都市：商,100000,1229,持分移轉
RPVPMLMLKIPFFFA78CB,懷生段一小段,1.65,都市：商,100000,1229,持分移轉
RPVPMLMLKIPFFFA78CB,懷生段一小段,1.49,都市：商,100000,1229,持分移轉
RPPOMLLKKIPFFBA47CB,成功段三小段,9.23,都市：住,10000,194,持分移轉
RPPQMLMLKIPFFFA28CB,懷生段一小段,1.65,都市：商,100000,1229,持分移轉
RPPQMLMLKIPFFFA28CB,懷生段一小段,1.49,都市：商,100000,1229,持分移轉
RPSOMLMLKIPFFBA97CB,龍山段一小段,6.15,都市：商,10000,142,持分移轉
RPTQMLMLKIPFFFA68CB,懷生段一小段,1.65,都市：商,100000,1229,持分移轉
RPTQMLMLKIPFFFA68CB,懷生段一小段,1.49,都市：商,100000,1229,持分移轉
RPPNMLLMKIPFFCA67CB,潭美段四小段,1.44,都市：住,3100000,68901,持分移轉
RPPNMLLMKIPFFCA67CB,潭美段四小段,.16,都市：住,3100000,68901,持分移轉
RPPNMLLMKIPFFCA67CB,潭美段四小段,.22,都市：住,3100000,68901,持分移轉
RPPNMLLMKIPFFCA67CB,潭美段四小段,.24,都市：住,3100000,68901,持分移轉
RPPNMLLMKIPFFCA67CB,潭美段四小段,3.27,都市：住,3100000,68901,持分移轉
RPPNMLLMKIPFFCA67CB,潭美段四小段,1.60,都市：住,3100000,68901,持分移轉
RPPNMLLMKIPFFCA67CB,潭美段四小段,1.73,都市：住,3100000,68901,持分移轉
RPPNMLLMKIPFFCA67CB,潭美段四小段,.29,都市：住,3100000,68901,持分移轉
RPPNMLLMKIPFFCA67CB,潭美段四小段,.09,都市：住,3100000,68901,持分移轉
RPPNMLLMKIPFFCA67CB,潭美段四小段,2.96,都市：住,3100000,68901,持分移轉
RPPNMLLMKIPFFCA67CB,潭美段四小段,.69,都市：住,3100000,68901,持分移轉
RPPNMLLMKIPFFCA67CB,潭美段四小段,.56,都市：住,3100000,68901,持分移轉
RPPNMLLMKIPFFCA67CB,潭美段四小段,2.38,都市：住,3100000,68901,持分移轉
RPPNMLLMKIPFFCA67CB,潭美段四小段,4.18,都市：住,3100000,68901,持分移轉
RPPNMLLMKIPFFCA67CB,潭美段四小段,1.64,都市：住,3100000,68901,持分移轉
RPPNMLLMKIPFFCA67CB,潭美段四小段,4.58,都市：住,3100000,68901,持分移轉
RPPNMLLMKIPFFCA67CB,潭美段四小段,.22,都市：住,3100000,68901,持分移轉
RPPNMLLMKIPFFCA67CB,潭美段四小段,1.44,都市：住,3100000,68901,持分移轉
RPPNMLLMKIPFFCA67CB,潭美段四小段,3.09,都市：住,3100000,68901,持分移轉
RPPNMLLMKIPFFCA67CB,潭美段四小段,3.65,都市：住,3100000,68901,持分移轉
RPPNMLLMKIPFFCA67CB,潭美段四小段,.09,都市：住,3100000,68901,持分移轉
RPRRMLMLKIPFFFA58CB,懷生段一小段,1.65,都市：商,100000,1229,持分移轉
RPRRMLMLKIPFFFA58CB,懷生段一小段,1.49,都市：商,100000,1229,持分移轉
RPRNMLLMKIPFFCA87CB,潭美段四小段,.22,都市：住,3100000,69447,持分移轉
RPRNMLLMKIPFFCA87CB,潭美段四小段,1.46,都市：住,3100000,69447,持分移轉
RPRNMLLMKIPFFCA87CB,潭美段四小段,3.11,都市：住,3100000,69447,持分移轉
RPRNMLLMKIPFFCA87CB,潭美段四小段,3.67,都市：住,3100000,69447,持分移轉
