編號,車位類別,車位價格,車位面積(平方公尺),車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPOMLMLKIPFFFA08CB,塔式車位,2600000,16.95,
RPQOMLMLKIPFFFA18CB,塔式車位,2400000,16.95,
RPTNMLQKKIPFFAA18CB,坡道平面,2300000,36.93,
RPVNMLQKKIPFFAA38CB,坡道平面,2200000,36.93,
RPUPMLMLKIPFFFA68CB,塔式車位,2400000,16.95,
RPVPMLMLKIPFFFA78CB,塔式車位,2600000,16.95,
RPPNMLLMKIPFFCA67CB,坡道平面,2600000,29.93,地下二樓
RPRNMLLMKIPFFCA87CB,坡道平面,2000000,29.93,地下二樓
RPRNMLLMKIPFFCA87CB,坡道平面,2000000,29.93,地下二樓
RPVNMLLMKIPFFCA28CB,坡道平面,1800000,29.93,地下三樓
RPVNMLLMKIPFFCA28CB,坡道平面,1800000,29.93,地下三樓
RPWNMLLMKIPFFCA38CB,坡道平面,2500000,34.69,地下三樓
RPROMLLMKIPFFCA97CB,坡道平面,2400000,34.75,地下三樓
RPROMLLMKIPFFCA97CB,坡道平面,2600000,34.74,地下二樓
RPOOMLLMKIPFFCA67CB,坡道平面,2400000,34.70,地下三樓
RPOPMLLMKIPFFCA77CB,坡道平面,2600000,34.74,地下二樓
RPVPMLLMKIPFFCA48CB,坡道平面,2300000,29.97,地下三樓
RPXPMLLMKIPFFCA68CB,坡道平面,2300000,29.93,地下三樓
RPWNMLPJJHGGFCA47CB,坡道平面,2300000,34.69,
RPWNMLPJJHGGFCA47CB,坡道平面,2400000,34.69,
RPXQMLQJJHGGFCA97CB,坡道平面,3200000,41.79,
RPRQMLMLKIPFFFA48CB,塔式車位,2400000,16.95,
RPORMLQJJHGGFCA17CB,坡道平面,3200000,41.79,
RPPRMLQJJHGGFCA27CB,坡道平面,2550000,38.79,
RPQRMLQJJHGGFCA37CB,坡道平面,3000000,41.79,
RPRRMLQJJHGGFCA47CB,坡道平面,2800000,38.79,
RPSRMLQJJHGGFCA57CB,坡道平面,2950000,41.79,
RPURMLQJJHGGFCA77CB,坡道平面,3200000,41.79,
RPVRMLQJJHGGFCA87CB,坡道平面,3000000,41.79,
RPWRMLQJJHGGFCA97CB,坡道平面,3000000,38.79,
RPWRMLQJJHGGFCA97CB,坡道平面,3200000,41.79,
RPXRMLQJJHGGFCA08CB,坡道平面,3200000,41.79,
RPPSMLQJJHGGFCA37CB,坡道平面,2800000,41.79,
RPQSMLQJJHGGFCA47CB,坡道平面,2800000,41.79,
RPRSMLQJJHGGFCA57CB,坡道平面,3000000,41.79,
RPSSMLQJJHGGFCA67CB,坡道平面,3000000,41.79,
RPTSMLQJJHGGFCA77CB,坡道平面,3000000,41.79,
RPUSMLQJJHGGFCA87CB,坡道平面,3200000,41.79,
RPUSMLQJJHGGFCA87CB,坡道平面,3000000,41.79,
RPVSMLQJJHGGFCA97CB,坡道平面,2800000,41.79,
RPXSMLQJJHGGFCA18CB,坡道平面,3000000,41.79,
RPWSMLQJJHGGFCA08CB,坡道平面,2700000,41.79,
RPPTMLQJJHGGFCA47CB,坡道平面,2800000,41.79,
RPQTMLQJJHGGFCA57CB,坡道平面,2800000,38.79,
RPRTMLQJJHGGFCA67CB,坡道平面,2700000,41.79,
RPSTMLQJJHGGFCA77CB,坡道平面,2800000,41.79,
RPROMLLKJHGGFAA56CB,坡道平面,3000000,31.40,地下一樓
RPSOMLLKJHGGFAA66CB,坡道平面,2600000,31.40,地下二樓
RPTOMLLKJHGGFAA76CB,坡道平面,2800000,31.40,地下二樓
RPUOMLLKJHGGFAA86CB,坡道平面,2500000,31.40,地下三樓
RPVOMLLKJHGGFAA96CB,坡道平面,2600000,31.40,地下二樓
RPWOMLLKJHGGFAA07CB,坡道平面,2800000,31.40,地下二樓
RPOPMLLKJHGGFAA98CB,坡道平面,2650000,31.40,地下二樓
RPXOMLLKJHGGFAA17CB,坡道平面,2600000,31.40,地下二樓
RPXNMLLKKIPFFBA18CB,升降平面,1850000,45.53,
RPPPMLLKJHGGFAA09CB,坡道平面,2600000,31.40,地下三樓
RPQPMLLKJHGGFAA56CB,坡道平面,2600000,31.40,地下三樓
RPSPMLLKJHGGFAA76CB,坡道平面,2650000,31.40,地下一樓
RPSPMLLKJHGGFAA76CB,坡道平面,2650000,31.40,地下一樓
RPTPMLLKJHGGFAA86CB,坡道平面,2500000,31.40,地下四樓
RPRPMLLKJHGGFAA66CB,坡道平面,2800000,31.40,地下二樓
RPSOMLLMKIPFFCA08CB,坡道平面,2300000,34.70,地下三樓
RPQNMLLMKIPFFCA77CB,坡道平面,2600000,29.93,地下二樓
RPQNMLLMKIPFFCA77CB,坡道平面,2600000,34.69,地下二樓
RPUPMLLKJHGGFAA96CB,坡道平面,2400000,31.40,地下三樓
RPXNMLLMKIPFFCA48CB,坡道平面,2400000,34.69,地下三樓
RPVPMLLKJHGGFAA07CB,坡道平面,2400000,31.40,地下三樓
RPWPMLLKJHGGFAA17CB,坡道平面,2600000,31.40,地下一樓
RPXPMLLKJHGGFAA27CB,坡道平面,2400000,31.40,地下四樓
RPXPMLLKJHGGFAA27CB,坡道平面,2300000,31.40,地下四樓
RPOQMLLKJHGGFAA09CB,坡道平面,2600000,31.40,地下一樓
RPPQMLLKJHGGFAA56CB,坡道平面,2300000,31.40,地下四樓
RPQQMLLKJHGGFAA66CB,坡道平面,2400000,31.40,地下三樓
RPSQMLLKJHGGFAA86CB,坡道平面,2300000,31.40,地下四樓
RPSQMLLKJHGGFAA86CB,坡道平面,2300000,31.40,地下四樓
RPTQMLLKJHGGFAA96CB,坡道平面,3100000,31.40,地下一樓
RPTQMLLKJHGGFAA96CB,坡道平面,3100000,31.40,地下一樓
RPRQMLLKJHGGFAA76CB,坡道平面,2700000,31.40,地下一樓
RPUQMLLKJHGGFAA07CB,坡道平面,2500000,31.40,地下四樓
RPUQMLLKJHGGFAA07CB,坡道平面,2400000,31.40,地下四樓
RPXQMLLKJHGGFAA37CB,坡道平面,2400000,31.40,地下四樓
RPWQMLLKJHGGFAA27CB,坡道平面,2300000,31.40,地下四樓
RPORMLLKJHGGFAA56CB,坡道平面,2400000,31.40,地下四樓
RPORMLLKJHGGFAA56CB,坡道平面,2400000,31.40,地下四樓
RPVQMLLKJHGGFAA17CB,坡道平面,2200000,31.40,地下四樓
RPVQMLLKJHGGFAA17CB,坡道平面,2200000,31.40,地下四樓
RPPRMLLKJHGGFAA66CB,坡道平面,2500000,31.40,地下三樓
RPQRMLLKJHGGFAA76CB,坡道平面,2600000,31.40,地下一樓
RPRRMLLKJHGGFAA86CB,坡道平面,2600000,31.40,地下一樓
RPSRMLLKJHGGFAA96CB,坡道平面,2400000,31.40,地下四樓
RPTRMLLKJHGGFAA07CB,坡道平面,2400000,31.40,地下四樓
RPTRMLLKJHGGFAA07CB,坡道平面,2400000,31.40,地下四樓
RPURMLLKJHGGFAA17CB,坡道平面,2500000,31.40,地下四樓
RPVRMLLKJHGGFAA27CB,坡道平面,2500000,31.40,地下四樓
RPWRMLLKJHGGFAA37CB,坡道平面,2500000,31.40,地下二樓
RPXRMLLKJHGGFAA47CB,坡道平面,2400000,31.40,地下三樓
RPXRMLLKJHGGFAA47CB,坡道平面,2350000,31.40,地下三樓
RPOSMLLKJHGGFAA66CB,坡道平面,2400000,31.40,地下四樓
RPPSMLLKJHGGFAA76CB,坡道平面,2600000,31.40,地下三樓
RPPSMLLKJHGGFAA76CB,坡道平面,2600000,31.40,地下三樓
RPQSMLLKJHGGFAA86CB,坡道平面,2500000,31.40,地下四樓
RPRSMLLKJHGGFAA96CB,坡道平面,2200000,31.40,地下四樓
RPRSMLLKJHGGFAA96CB,坡道平面,2200000,31.40,地下四樓
RPTSMLLKJHGGFAA17CB,坡道平面,2350000,31.40,地下二樓
RPSSMLLKJHGGFAA07CB,坡道平面,2400000,31.40,地下四樓
RPSSMLLKJHGGFAA07CB,坡道平面,2400000,31.40,地下四樓
RPVSMLLKJHGGFAA37CB,坡道平面,2600000,31.40,地下三樓
RPUSMLLKJHGGFAA27CB,坡道平面,2600000,31.40,地下三樓
RPUSMLLKJHGGFAA27CB,坡道平面,2600000,31.40,地下三樓
RPXSMLLKJHGGFAA57CB,坡道平面,2400000,31.40,地下四樓
RPWSMLLKJHGGFAA47CB,坡道平面,2500000,31.40,地下四樓
RPOTMLLKJHGGFAA76CB,坡道平面,2400000,31.40,地下三樓
RPRTMLLKJHGGFAA07CB,坡道平面,2400000,31.40,地下四樓
RPWTMLLKJHGGFAA57CB,坡道平面,2300000,31.40,地下四樓
RPVTMLLKJHGGFAA47CB,坡道平面,2300000,31.40,地下四樓
RPQTMLLKJHGGFAA96CB,坡道平面,2400000,31.40,地下四樓
RPQTMLLKJHGGFAA96CB,坡道平面,2300000,31.40,地下四樓
RPPTMLLKJHGGFAA86CB,坡道平面,2400000,31.40,地下四樓
RPTTMLLKJHGGFAA27CB,坡道平面,2500000,31.40,地下四樓
RPSTMLLKJHGGFAA17CB,坡道平面,2500000,31.40,地下四樓
RPUTMLLKJHGGFAA37CB,坡道平面,2500000,31.40,地下四樓
RPPUMLLKJHGGFAA96CB,坡道平面,2600000,31.40,地下一樓
RPOUMLLKJHGGFAA86CB,坡道平面,2400000,31.40,地下四樓
RPXTMLLKJHGGFAA67CB,坡道平面,2400000,31.40,地下四樓
RPRUMLLKJHGGFAA17CB,坡道平面,2200000,31.40,地下四樓
RPQUMLLKJHGGFAA07CB,坡道平面,2300000,31.40,地下四樓
RPTUMLLKJHGGFAA37CB,坡道平面,2300000,31.40,地下四樓
RPTUMLLKJHGGFAA37CB,坡道平面,2300000,31.40,地下四樓
RPSUMLLKJHGGFAA27CB,坡道平面,2400000,31.40,地下三樓
RPSUMLLKJHGGFAA27CB,坡道平面,2400000,31.40,地下三樓
RPUUMLLKJHGGFAA47CB,坡道平面,2350000,31.40,地下四樓
RPWUMLLKJHGGFAA67CB,坡道平面,2300000,31.40,地下四樓
RPVUMLLKJHGGFAA57CB,坡道平面,2300000,31.40,地下四樓
RPXUMLLKJHGGFAA77CB,坡道平面,2200000,31.40,地下四樓
