鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中山區,建物,臺北市中山區林森北路91~120號,0.0,商,,,1091202,土地0建物0車位0,四層,12,套房(1房1廳1衛),商業用,鋼筋混凝土造,0700422,22.74,1,0,1,有,無,有,12500,550,,0.0,0,此為分租套房，第4層共分成3間，一間平均面積約為22.74平方公尺。,RPWOMLLKKIPFFCA38CC
中山區,建物,臺北市中山區吉林路31~60號,0.0,住,,,1091116,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0650819,224.66,0,0,0,無,無,無,90000,401,,0.0,0,,RPVPMLLKKIPFFCA38CC
中正區,房地(土地+建物),臺北市中正區信義路二段151~180號,37.14,商,,,1091030,土地1建物1車位0,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0990818,196.39,3,2,2,有,無,有,110000,560,,0.0,0,,RPSQMLLKKIPFFBA08CC
中正區,建物,臺北市中正區新生南路一段140巷1~30號,0.0,住,,,1091211,土地0建物1車位0,六層,6,套房(1房1廳1衛),商業用,鋼筋混凝土造,,20.0,1,1,1,有,無,有,11000,550,,0.0,0,套房出租,RPVQMLLKKIPFFBA38CC
中正區,建物,臺北市中正區臨沂街25巷1~30號,0.0,住,,,1091211,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710408,106.04,3,2,2,有,無,有,34000,321,,0.0,0,,RPORMLLKKIPFFBA77CC
中正區,建物,臺北市中正區信義路二段181~210號,0.0,商,,,1091112,土地0建物1車位0,一層,6,店面(店鋪),商業用,鋼筋混凝土造,0611221,132.4,0,0,0,無,有,無,200000,1511,,0.0,0,,RPQRMLLKKIPFFBA97CC
大同區,建物,臺北市大同區南京西路61~90號,0.0,其他,,,1091204,土地0建物1車位1,十七層,17,辦公商業大樓,見其他登記事項,鋼筋混凝土造,1060117,123.98,0,0,0,無,有,無,63000,508,坡道平面,43.08,0,,RPRRMLLKKIPFFBA08CC
松山區,建物,臺北市松山區復興北路481~510號,0.0,住,,,1091120,土地0建物1車位0,五層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960216,41.72,0,0,0,無,有,有,15557,373,,0.0,0,續租。；,RPVNMLLKKIPFFDA28CC
信義區,建物,臺北市信義區松勤街140巷1~30號,0.0,住,,,1091102,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810602,151.67,3,2,2,有,有,有,66667,440,,0.0,0,,RPSOMLLKKIPFFDA08CC
信義區,建物,臺北市信義區信義路五段1~30號,0.0,其他,,,1091130,土地0建物1車位0,二層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0781128,228.39,0,0,0,無,有,無,90000,394,,0.0,0,,RPTOMLLKKIPFFDA18CC
松山區,建物,臺北市松山區南京東路五段391~420號,0.0,商,,,1091031,土地0建物1車位1,十層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060921,88.07,2,1,1,有,無,有,50000,568,升降機械,21.62,0,,RPXPMLLKKIPFFDA68CC
