編號,車位類別,車位價格,車位面積(平方公尺),車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPXPMLLKKIPFFDA68CC,升降機械,0,21.62,
RPRRMLLKKIPFFBA08CC,坡道平面,0,43.08,
RPQRMLLKKIPFFFA38CC,坡道平面,0,,
RPROMLMKKIPFFCA97CC,坡道平面,0,,
RPVNMLMKKIPFFCA28CC,坡道平面,0,136.22,
RPQOMLOKKIPFFDA18CC,坡道平面,0,38.02,
RPQPMLOKKIPFFEA38CC,坡道平面,0,40.69,
RPQPMLOKKIPFFEA38CC,坡道平面,0,41.57,
RPWOMLOKKIPFFEA88CC,坡道平面,0,31.98,
RPORMLPKKIPFFCA28CC,坡道平面,0,41.40,
RPQPMLPKKIPFFEA48CC,坡道平面,0,,
RPQPMLQKKIPFFBA28CC,坡道機械,0,19.67,
RPQPMLQKKIPFFBA28CC,坡道機械,0,19.67,
RPQPMLQKKIPFFBA28CC,坡道機械,0,19.67,
RPRPMLQKKIPFFBA38CC,坡道機械,0,19.67,
RPRPMLQKKIPFFBA38CC,坡道機械,0,19.67,
RPRPMLQKKIPFFBA38CC,坡道機械,0,19.67,
RPTPMLQKKIPFFBA58CC,坡道機械,0,19.67,
RPTPMLQKKIPFFBA58CC,坡道機械,0,19.67,
RPTPMLQKKIPFFBA58CC,坡道機械,0,19.67,
RPVOMLQKKIPFFFA09CC,坡道平面,0,,
RPVOMLQKKIPFFFA09CC,坡道平面,0,,
RPTQMLRKKIPFFAA68CC,坡道平面,5000,34.02,
RPTNMLQKKIPFFEA68CC,坡道平面,0,,
RPTNMLQKKIPFFEA68CC,坡道平面,0,,
RPTNMLQKKIPFFEA68CC,坡道平面,0,,
RPQQMLQKKIPFFEA68CC,坡道平面,0,43.65,
RPWOMLRKKIPFFDA09CC,坡道平面,0,14.54,
RPXNMLRKKIPFFCA98CC,坡道平面,0,24.79,
RPPOMLRKKIPFFCA28CC,坡道平面,0,,
RPPOMLRKKIPFFCA28CC,坡道平面,0,,
RPXPMLRKKIPFFCA56CC,坡道平面,0,,
RPUOMLSKKIPFFBA78CC,坡道平面,0,,
RPPNMLLLKIPFFCA67CC,坡道平面,0,38.64,
RPOPMLLLKIPFFCA77CC,坡道平面,0,,
RPOPMLLLKIPFFCA77CC,坡道平面,0,,
RPTOMLSKKIPFFDA88CC,坡道平面,3500,,
RPTPMLLLKIPFFDA38CC,坡道平面,0,,
RPSPMLLLKIPFFDA28CC,坡道平面,0,,
RPXNMLLLKIPFFCA48CC,坡道平面,0,,
RPUOMLLLKIPFFBA18CC,坡道平面,0,33.85,
RPXNMLLLKIPFFAA28CC,坡道平面,0,34.71,
RPRPMLLLKIPFFBA08DC,升降機械,0,,
RPUNMLMLKIPFFEA48CC,坡道平面,0,34.65,
RPVOMLMLKIPFFEA68CC,坡道平面,0,46.39,
RPVOMLMLKIPFFEA68CC,坡道平面,0,46.39,
RPVOMLMLKIPFFEA68CC,坡道平面,0,31.63,
RPVOMLMLKIPFFEA68CC,坡道平面,0,31.63,
RPVOMLMLKIPFFEA68CC,坡道平面,0,31.63,
RPVOMLMLKIPFFEA68CC,坡道平面,0,31.63,
RPXOMLMLKIPFFAA48CC,坡道平面,0,,
RPPNMLMLKIPFFAA57CC,坡道機械,0,27.67,
RPPNMLMLKIPFFAA57CC,坡道機械,0,26.02,
