編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPPMLMJKIPFFAB57DA,41,102.72,住商用,加強磚造,68年6月16日,二層,一層 二層
RPXNMLMJKIPFFAB18DA,26,79.81,住家用,鋼筋混凝土造,83年6月29日,十二層,十層
RPXNMLMJKIPFFAB18DA,26,29.02,共有部份,鋼筋混凝土造,83年6月29日,十二層,
RPVPMLQLJIPFFAB68DA,28,103.52,住家用,鋼筋混凝土造,81年6月24日,七層,五層
RPVPMLQLJIPFFAB68DA,28,25.14,共有部份,鋼筋混凝土造,81年6月24日,七層,
RPVTMLPLJIPFFAB98DA,27,89.15,住家用,鋼筋混凝土造,82年5月24日,十二層,七層
RPVTMLPLJIPFFAB98DA,27,26.80,見其他登記事項,鋼筋混凝土造,82年5月24日,十二層,
RPOPMLNJKIPFFAB57DA,22,194.27,見其他登記事項,鋼筋混凝土造,87年9月17日,五層,一層 二層 三層 四層 五層
RPXPMLQLJIPFFAB88DA,31,162.21,住家用,鋼筋混凝土造,79年4月4日,七層,五層
RPXPMLQLJIPFFAB88DA,31,10.96,見其他登記事項,鋼筋混凝土造,79年4月4日,七層,地下層
RPXPMLQLJIPFFAB88DA,31,56.54,見其他登記事項,鋼筋混凝土造,79年4月4日,七層,
RPVPMLNJKIPFFAB28DA,41,66.70,見其他登記事項,鋼筋混凝土造,69年4月22日,四層,三層
RPVPMLNJKIPFFAB28DA,41,52.61,見其他登記事項,鋼筋混凝土造,69年4月22日,,地下層
RPQOMLSJKIPFFAB18DA,30,135.45,見其他登記事項,鋼筋混凝土造,79年10月16日,十二層,八層
RPQOMLSJKIPFFAB18DA,30,48.08,見其他登記事項,鋼筋混凝土造,79年10月16日,十二層,
RPXNMLSJKIPFFAB78DA,27,5.35,見其他登記事項,鋼筋混凝土造,82年8月27日,七層,
RPXNMLSJKIPFFAB78DA,27,28.40,住家用,鋼筋混凝土造,82年8月27日,七層,七層
RPXNMLSJKIPFFAB78DA,27,7.71,見其他登記事項,鋼筋混凝土造,82年8月27日,七層,
RPVNMLSJKIPFFAB58DA,38,7.56,共有部份,鋼筋混凝土造,71年12月9日,十二層,
RPVNMLSJKIPFFAB58DA,38,31.32,住家用,鋼筋混凝土造,71年12月9日,十二層,十一層
RPUOMLSJKIPFFAB58DA,29,19.23,見其他登記事項,鋼筋混凝土造,80年11月21日,十二層,地下三層
RPUOMLSJKIPFFAB58DA,29,160.91,商業用,鋼筋混凝土造,80年11月21日,十二層,八層
RPUOMLSJKIPFFAB58DA,29,7.59,共有部份,鋼筋混凝土造,80年11月21日,十二層,
RPXPMLKLJIPFFAB28DA,53,82.65,見其他登記事項,見其他登記事項,56年11月10日,二層,一層 二層
RPPQMLMLIIPFFBB77DA,17,.68,見其他登記事項,鋼筋混凝土造,92年9月19日,二層,一層 二層
RPPQMLMLIIPFFBB77DA,17,259.32,見其他登記事項,鋼筋混凝土造,92年9月19日,五層,一層 二層 三層 四層 五層 騎樓
RPPUMLNJJIPFFBB18DA,19,409.30,見其他登記事項,鋼筋混凝土造,90年11月21日,四層,一層 二層 三層 四層
RPPNMLKMJIPFFAB37DA,,53.29,見其他登記事項,鋼筋混凝土造,109年8月20日,十三層,八層
RPPNMLKMJIPFFAB37DA,,55.35,見其他登記事項,鋼筋混凝土造,109年8月20日,十三層,
RPPNMLKMJIPFFAB37DA,,9.93,見其他登記事項,鋼筋混凝土造,109年8月20日,十三層,
RPVNMLOJJIPFFBB18DA,40,110.04,住家用,加強磚造,70年1月15日,二層,一層 二層
RPVPMLMKJIPFFBB28DA,20,95.23,見其他登記事項,鋼筋混凝土造,89年6月16日,十六層,七層
RPVPMLMKJIPFFBB28DA,20,51.42,共有部份,鋼筋混凝土造,89年6月16日,十六層,
RPRQMLPKJIPFFBB28DA,5,98.24,見其他登記事項,鋼筋混凝土造,104年8月26日,十六層,二層
RPRQMLPKJIPFFBB28DA,5,29.06,見其他登記事項,鋼筋混凝土造,104年8月26日,十六層,
RPRQMLPKJIPFFBB28DA,5,53.15,見其他登記事項,鋼筋混凝土造,104年8月26日,二十五層,
RPQPMLKKJIPFFBB57DA,13,49.60,住家用,鋼筋混凝土造,96年12月31日,十四層,六層
RPQPMLKKJIPFFBB57DA,13,23.29,共有部份,鋼筋混凝土造,96年12月31日,十四層,
RPQRNLNKJIPFFBB18DA,25,48.22,住家用,鋼筋混凝土造,84年6月1日,十四層,八層
RPQRNLNKJIPFFBB18DA,25,48.22,住家用,鋼筋混凝土造,84年6月1日,十四層,八層
RPQRNLNKJIPFFBB18DA,25,21.12,共有部份,鋼筋混凝土造,84年6月1日,十四層,
RPQRNLNKJIPFFBB18DA,25,21.12,共有部份,鋼筋混凝土造,84年6月1日,十四層,
RPSTOLQKJIPFFBB98DA,37,313.78,住商用,鋼筋混凝土造,72年10月19日,四層,一層 二層 三層 四層 騎樓 地下層
RPRNMLOLJIPFFBB97DA,5,82.54,見其他登記事項,鋼筋混凝土造,104年4月23日,二十二層,三層
RPRNMLOLJIPFFBB97DA,5,31.42,見其他登記事項,鋼筋混凝土造,104年4月23日,二十二層,
RPRNMLOLJIPFFBB97DA,5,19.57,見其他登記事項,鋼筋混凝土造,104年4月23日,二十二層,
