編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPVQMLSKKIPFFBB56DB,太順段,19.52,都市：住,10000,99,持分移轉
RPTQMLSKKIPFFBB98DB,太順段,19.33,都市：住,10000,98,持分移轉
RPWPMLTKKIPFFBB66DB,太順段,29.39,都市：住,10000,149,持分移轉
RPVRMLSKKIPFFBB66DB,太順段,18.54,都市：住,10000,94,持分移轉
RPURMLSKKIPFFBB56DB,太順段,18.54,都市：住,10000,94,持分移轉
RPQNMLRKKIPFFFB58CB,清水段清水小段,16.93,都市：住,1000000,2327,持分移轉
RPTNMLSKKIPFFJB86DB,育賢段,15.66,都市：住,10000,49,持分移轉
RPTUMLLMKIPFFIB86CB,大義段,21.42,都市：住,10000,54,持分移轉
RPUUMLLMKIPFFIB96CB,大義段,21.02,都市：住,10000,53,持分移轉
RPVUMLLMKIPFFIB07CB,大義段,21.42,都市：住,10000,54,持分移轉
RPOVMLLMKIPFFIB09CB,大義段,23.80,都市：住,10000,60,持分移轉
RPWUMLLMKIPFFIB17CB,大義段,21.81,都市：住,10000,55,持分移轉
RPSVMLLMKIPFFIB86CB,大義段,23.80,都市：住,10000,60,持分移轉
RPRVMLLMKIPFFIB76CB,大義段,23.80,都市：住,10000,60,持分移轉
RPQVMLLMKIPFFIB66CB,大義段,18.24,都市：住,10000,46,持分移轉
RPPVMLLMKIPFFIB56CB,大義段,24.19,都市：住,10000,61,持分移轉
RPTVMLLMKIPFFIB96CB,大義段,23.80,都市：住,10000,60,持分移轉
RPUVMLLMKIPFFIB07CB,大義段,23.80,都市：住,10000,60,持分移轉
RPVVMLLMKIPFFIB17CB,大義段,23.80,都市：住,10000,60,持分移轉
RPXQMLSKKIPFFBB76DB,太順段,19.72,都市：住,10000,100,持分移轉
RPWQMLSKKIPFFBB66DB,太順段,19.72,都市：住,10000,100,持分移轉
RPTRMLSKKIPFFBB09DB,太順段,25.64,都市：住,10000,130,持分移轉
RPQRNLOJJHGGFBB27CB,太和段,21.02,都市：住,10000,113,持分移轉
RPTRNLOJJHGGFBB57CB,太和段,13.39,都市：住,10000,72,持分移轉
RPURNLOJJHGGFBB67CB,太和段,13.39,都市：住,10000,72,持分移轉
RPXRNLOJJHGGFBB97CB,太和段,13.39,都市：住,10000,72,持分移轉
RPWRNLOJJHGGFBB87CB,太和段,13.39,都市：住,10000,72,持分移轉
RPQSNLOJJHGGFBB37CB,太和段,13.39,都市：住,10000,72,持分移轉
RPRSNLOJJHGGFBB47CB,太和段,13.39,都市：住,10000,72,持分移轉
RPVSNLOJJHGGFBB87CB,太和段,13.39,都市：住,10000,72,持分移轉
RPTSNLOJJHGGFBB67CB,太和段,13.39,都市：住,10000,72,持分移轉
RPWSNLOJJHGGFBB97CB,太和段,13.39,都市：住,10000,72,持分移轉
RPXSNLOJJHGGFBB08CB,太和段,13.39,都市：住,10000,72,持分移轉
RPOTNLOJJHGGFBB27CB,太和段,13.39,都市：住,10000,72,持分移轉
RPPTNLOJJHGGFBB37CB,太和段,13.39,都市：住,10000,72,持分移轉
RPQTNLOJJHGGFBB47CB,太和段,13.39,都市：住,10000,72,持分移轉
RPXTNLOJJHGGFBB18CB,太和段,21.02,都市：住,10000,113,持分移轉
RPWTNLOJJHGGFBB08CB,太和段,21.02,都市：住,10000,113,持分移轉
RPOUNLOJJHGGFBB37CB,太和段,21.02,都市：住,10000,113,持分移轉
RPRUNLOJJHGGFBB67CB,太和段,21.02,都市：住,10000,113,持分移轉
RPROMLQJJHGGFIB87CB,新站南段,36.09,都市：住,10000,49,持分移轉
RPTOMLQJJHGGFIB08CB,新站南段,36.09,都市：住,10000,49,持分移轉
RPVOMLQJJHGGFIB28CB,新站南段,36.09,都市：住,10000,49,持分移轉
RPUOMLQJJHGGFIB18CB,新站南段,36.09,都市：住,10000,49,持分移轉
RPQPMLQJJHGGFIB87CB,新站南段,36.09,都市：住,10000,49,持分移轉
RPRPMLQJJHGGFIB97CB,新站南段,36.83,都市：住,10000,50,持分移轉
RPPPMLQJJHGGFIB77CB,新站南段,36.09,都市：住,10000,49,持分移轉
RPSPMLQJJHGGFIB08CB,新站南段,36.09,都市：住,10000,49,持分移轉
RPTPMLQJJHGGFIB18CB,新站南段,36.09,都市：住,10000,49,持分移轉
RPUPMLQJJHGGFIB28CB,新站南段,36.09,都市：住,10000,49,持分移轉
RPVPMLQJJHGGFIB38CB,新站南段,36.09,都市：住,10000,49,持分移轉
RPSNMLRJJHGGFIB97CB,新站南段,36.09,都市：住,10000,49,持分移轉
RPPNMLRJJHGGFIB67CB,新站南段,36.09,都市：住,10000,49,持分移轉
RPUNMLRJJHGGFIB18CB,新站南段,36.09,都市：住,10000,49,持分移轉
RPWNMLRJJHGGFIB38CB,新站南段,36.09,都市：住,10000,49,持分移轉
RPXNMLRJJHGGFIB48CB,新站南段,36.09,都市：住,10000,49,持分移轉
RPOOMLRJJHGGFIB67CB,新站南段,36.83,都市：住,10000,50,持分移轉
RPPOMLRJJHGGFIB77CB,新站南段,36.09,都市：住,10000,49,持分移轉
RPQOMLRJJHGGFIB87CB,新站南段,36.09,都市：住,10000,49,持分移轉
RPSOMLRJJHGGFIB08CB,新站南段,36.09,都市：住,10000,49,持分移轉
RPTOMLRJJHGGFIB18CB,新站南段,36.09,都市：住,10000,49,持分移轉
RPUOMLRJJHGGFIB28CB,新站南段,36.09,都市：住,10000,49,持分移轉
RPVOMLRJJHGGFIB38CB,新站南段,36.09,都市：住,10000,49,持分移轉
RPOPMLRJJHGGFIB77CB,新站南段,36.09,都市：住,10000,49,持分移轉
RPPPMLRJJHGGFIB87CB,新站南段,36.09,都市：住,10000,49,持分移轉
RPQPMLRJJHGGFIB97CB,新站南段,36.83,都市：住,10000,50,持分移轉
RPXOMLRJJHGGFIB58CB,新站南段,36.09,都市：住,10000,49,持分移轉
RPSPMLRJJHGGFIB18CB,新站南段,36.83,都市：住,10000,50,持分移轉
RPXPMLRJJHGGFIB68CB,新站南段,36.09,都市：住,10000,49,持分移轉
RPQQMLRJJHGGFIB08CB,新站南段,36.09,都市：住,10000,49,持分移轉
RPOQMLRJJHGGFIB87CB,新站南段,36.09,都市：住,10000,49,持分移轉
RPRQMLRJJHGGFIB18CB,新站南段,36.09,都市：住,10000,49,持分移轉
RPWQMLRJJHGGFIB68CB,新站南段,36.09,都市：住,10000,49,持分移轉
RPXQMLRJJHGGFIB78CB,新站南段,36.09,都市：住,10000,49,持分移轉
RPORMLRJJHGGFIB97CB,新站南段,36.09,都市：住,10000,49,持分移轉
RPVQMLRJJHGGFIB58CB,新站南段,36.09,都市：住,10000,49,持分移轉
RPPRMLRJJHGGFIB08CB,新站南段,36.09,都市：住,10000,49,持分移轉
RPRRMLRJJHGGFIB28CB,新站南段,36.09,都市：住,10000,49,持分移轉
RPVRMLRJJHGGFIB68CB,新站南段,26.52,都市：住,10000,36,持分移轉
RPSRMLRJJHGGFIB38CB,新站南段,36.83,都市：住,10000,50,持分移轉
RPWRMLRJJHGGFIB78CB,新站南段,26.52,都市：住,10000,36,持分移轉
RPURMLRJJHGGFIB58CB,新站南段,26.52,都市：住,10000,36,持分移轉
RPXRMLRJJHGGFIB88CB,新站南段,26.52,都市：住,10000,36,持分移轉
RPQSMLRJJHGGFIB28CB,新站南段,26.52,都市：住,10000,36,持分移轉
RPPSMLRJJHGGFIB18CB,新站南段,26.52,都市：住,10000,36,持分移轉
RPSSMLRJJHGGFIB48CB,新站南段,26.52,都市：住,10000,36,持分移轉
RPTSMLRJJHGGFIB58CB,新站南段,26.52,都市：住,10000,36,持分移轉
RPUSMLRJJHGGFIB68CB,新站南段,26.52,都市：住,10000,36,持分移轉
RPWSMLRJJHGGFIB88CB,新站南段,27.25,都市：住,10000,37,持分移轉
RPVSMLRJJHGGFIB78CB,新站南段,27.25,都市：住,10000,37,持分移轉
RPXSMLRJJHGGFIB98CB,新站南段,27.25,都市：住,10000,37,持分移轉
RPPTMLRJJHGGFIB28CB,新站南段,27.25,都市：住,10000,37,持分移轉
RPOTMLRJJHGGFIB18CB,新站南段,27.25,都市：住,10000,37,持分移轉
RPQTMLRJJHGGFIB38CB,新站南段,27.25,都市：住,10000,37,持分移轉
RPWTMLRJJHGGFIB98CB,新站南段,27.25,都市：住,10000,37,持分移轉
RPXTMLRJJHGGFIB09CB,新站南段,27.25,都市：住,10000,37,持分移轉
RPQUMLRJJHGGFIB48CB,新站南段,27.25,都市：住,10000,37,持分移轉
RPPUMLRJJHGGFIB38CB,新站南段,27.25,都市：住,10000,37,持分移轉
RPRUMLRJJHGGFIB58CB,新站南段,27.25,都市：住,10000,37,持分移轉
RPUUMLRJJHGGFIB88CB,新站南段,27.99,都市：住,10000,38,持分移轉
RPTUMLRJJHGGFIB78CB,新站南段,27.99,都市：住,10000,38,持分移轉
RPVUMLRJJHGGFIB98CB,新站南段,27.99,都市：住,10000,38,持分移轉
RPWUMLRJJHGGFIB09CB,新站南段,27.99,都市：住,10000,38,持分移轉
RPPVMLRJJHGGFIB48CB,新站南段,27.99,都市：住,10000,38,持分移轉
RPOVMLRJJHGGFIB38CB,新站南段,27.99,都市：住,10000,38,持分移轉
RPXUMLRJJHGGFIB56CB,新站南段,27.99,都市：住,10000,38,持分移轉
RPQVMLRJJHGGFIB58CB,新站南段,27.99,都市：住,10000,38,持分移轉
RPRVMLRJJHGGFIB68CB,新站南段,27.99,都市：住,10000,38,持分移轉
RPUVMLRJJHGGFIB98CB,新站南段,39.04,都市：住,10000,53,持分移轉
RPSVMLRJJHGGFIB78CB,新站南段,27.99,都市：住,10000,38,持分移轉
RPVVMLRJJHGGFIB09CB,新站南段,39.04,都市：住,10000,53,持分移轉
RPXVMLRJJHGGFIB66CB,新站南段,39.04,都市：住,10000,53,持分移轉
RPPWMLRJJHGGFIB58CB,新站南段,39.78,都市：住,10000,54,持分移轉
RPQWMLRJJHGGFIB68CB,新站南段,39.78,都市：住,10000,54,持分移轉
RPSWMLRJJHGGFIB88CB,新站南段,39.04,都市：住,10000,53,持分移轉
RPTWMLRJJHGGFIB98CB,新站南段,39.78,都市：住,10000,54,持分移轉
RPXWMLRJJHGGFIB76CB,新站南段,39.04,都市：住,10000,53,持分移轉
RPPNNLRJJHGGFIB77CB,新站南段,39.04,都市：住,10000,53,持分移轉
RPRNNLRJJHGGFIB97CB,新站南段,39.04,都市：住,10000,53,持分移轉
RPVNNLRJJHGGFIB38CB,新站南段,38.30,都市：住,10000,52,持分移轉
RPTNNLRJJHGGFIB18CB,新站南段,38.30,都市：住,10000,52,持分移轉
RPWNNLRJJHGGFIB48CB,新站南段,38.30,都市：住,10000,52,持分移轉
RPUNNLRJJHGGFIB28CB,新站南段,38.30,都市：住,10000,52,持分移轉
RPRONLRJJHGGFIB08CB,新站南段,38.30,都市：住,10000,52,持分移轉
RPQONLRJJHGGFIB97CB,新站南段,38.30,都市：住,10000,52,持分移轉
RPOONLRJJHGGFIB77CB,新站南段,37.57,都市：住,10000,51,持分移轉
RPTONLRJJHGGFIB28CB,新站南段,38.30,都市：住,10000,52,持分移轉
RPVONLRJJHGGFIB48CB,新站南段,39.04,都市：住,10000,53,持分移轉
RPOPNLRJJHGGFIB87CB,新站南段,39.04,都市：住,10000,53,持分移轉
RPXONLRJJHGGFIB68CB,新站南段,39.04,都市：住,10000,53,持分移轉
RPWONLRJJHGGFIB58CB,新站南段,39.04,都市：住,10000,53,持分移轉
RPSPNLRJJHGGFIB28CB,新站南段,39.04,都市：住,10000,53,持分移轉
RPTPNLRJJHGGFIB38CB,新站南段,39.04,都市：住,10000,53,持分移轉
RPVPNLRJJHGGFIB58CB,新站南段,39.04,都市：住,10000,53,持分移轉
RPWPNLRJJHGGFIB68CB,新站南段,39.04,都市：住,10000,53,持分移轉
RPXPNLRJJHGGFIB78CB,新站南段,39.04,都市：住,10000,53,持分移轉
RPRRNLRJJHGGFIB38CB,新站南段,39.04,都市：住,10000,53,持分移轉
RPQRNLRJJHGGFIB28CB,新站南段,39.78,都市：住,10000,54,持分移轉
RPPRNLRJJHGGFIB18CB,新站南段,39.04,都市：住,10000,53,持分移轉
RPTRNLRJJHGGFIB58CB,新站南段,39.78,都市：住,10000,54,持分移轉
RPSRNLRJJHGGFIB48CB,新站南段,39.78,都市：住,10000,54,持分移轉
RPURNLRJJHGGFIB68CB,新站南段,39.04,都市：住,10000,53,持分移轉
RPVRNLRJJHGGFIB78CB,新站南段,39.78,都市：住,10000,54,持分移轉
RPWRNLRJJHGGFIB88CB,新站南段,38.30,都市：住,10000,52,持分移轉
RPXRNLRJJHGGFIB98CB,新站南段,38.30,都市：住,10000,52,持分移轉
RPOSNLRJJHGGFIB18CB,新站南段,38.30,都市：住,10000,52,持分移轉
RPQSNLRJJHGGFIB38CB,新站南段,38.30,都市：住,10000,52,持分移轉
RPPSNLRJJHGGFIB28CB,新站南段,38.30,都市：住,10000,52,持分移轉
RPRSNLRJJHGGFIB48CB,新站南段,39.04,都市：住,10000,53,持分移轉
RPSSNLRJJHGGFIB58CB,新站南段,38.30,都市：住,10000,52,持分移轉
