編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPNMLOJKIPFFCC87DA,2,30.31,見其他登記事項,鋼筋混凝土造,108年1月2日,十五層,
RPWNMLRJKIPFFBC78DA,37,104.66,住家用,鋼筋混凝土造,72年11月11日,五層,五層
RPQOMLRJKIPFFBC28DA,31,130.35,住家用,鋼筋混凝土造,78年6月29日,五層,四層
RPOOMLRJKIPFFBC08DA,3,103.04,見其他登記事項,鋼筋混凝土造,106年10月18日,十五層,十四層
RPOOMLRJKIPFFBC08DA,3,55.64,見其他登記事項,鋼筋混凝土造,106年10月18日,十五層,
RPOOMLRJKIPFFBC08DA,3,21.04,見其他登記事項,鋼筋混凝土造,106年10月18日,十五層,
RPOOMLRJKIPFFBC08DA,3,.66,見其他登記事項,鋼筋混凝土造,106年10月18日,十五層,
RPRNMLSJKIPFFCC48DA,41,78.68,住家用,鋼筋混凝土造,69年2月12日,四層,一層
RPPOMLMJJIPFFCC67DA,2,50.84,見其他登記事項,鋼筋混凝土造,107年10月9日,七層,一層
RPPOMLMJJIPFFCC67DA,2,35.85,見其他登記事項,鋼筋混凝土造,107年10月9日,七層,
RPPOMLMJJIPFFCC67DA,2,27.37,見其他登記事項,鋼筋混凝土造,107年10月9日,七層,
RPVNMLRJKIPFFCC78DA,7,60.26,見其他登記事項,鋼筋混凝土造,102年3月29日,十二層,十層
RPVNMLRJKIPFFCC78DA,7,25.46,見其他登記事項,鋼筋混凝土造,102年3月29日,十三層,
RPWNMLOJJIPFFCC48DA,23,1.55,共用部份,鋼筋混凝土造,86年5月8日,十一層,
RPWNMLOJJIPFFCC48DA,23,70.33,住家用,鋼筋混凝土造,86年5月8日,十一層,九層
RPWNMLOJJIPFFCC48DA,23,10.72,共用部份,鋼筋混凝土造,86年5月8日,十一層,
RPWNMLOJJIPFFCC48DA,23,.79,共用部份,鋼筋混凝土造,86年5月8日,十一層,
RPQNMLSJKIPFFCC38DA,37,78.77,住家用,鋼筋混凝土造,72年11月24日,四層,四層
RPTNMLRJKIPFFCC58DA,41,82.62,住家用,鋼筋混凝土造,69年1月23日,四層,二層
RPSRMLNJJIPFFBC28DA,49,112.47,住家用,鋼筋混凝土加強磚造,61年4月3日,三層,二層
RPXNMLRJKIPFFCC98DA,30,120.70,住家用,鋼筋混凝土造,80年3月9日,五層,四層
RPXNMLRJKIPFFCC98DA,30,19.54,共用部份,鋼筋混凝土造,80年3月9日,五層,
RPVNMLTJKIPFFBC88DA,25,23.35,商業用,鋼筋混凝土造,84年12月5日,三層,地下層
RPVNMLTJKIPFFBC88DA,25,151.26,住家用,鋼筋混凝土造,84年12月5日,三層,一層 二層 三層
RPQOMLSJKIPFFCC58EA,8,.04,見其他登記事項,鋼筋混凝土造,102年3月29日,十二層,一層
RPQOMLSJKIPFFCC58EA,8,82.59,見其他登記事項,鋼筋混凝土造,102年3月29日,十三層,十一層
RPQOMLSJKIPFFCC58EA,8,18.49,見其他登記事項,鋼筋混凝土造,102年3月29日,十三層,
RPQOMLSJKIPFFCC58EA,8,34.78,見其他登記事項,鋼筋混凝土造,102年3月29日,十三層,
RPUNMLRKJIPFFBC58DA,,41.78,,鋼筋混凝土造,,,
RPQPMLKKKIPFFCC87DA,39,99.99,住家用,鋼筋混凝土造,70年11月6日,四層,三層
RPPNMLRJKIPFFBC18EA,22,24.89,住家用,鋼筋混凝土造,85年11月29日,二十三層,十三層
