鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中正區,建物,基隆市中正區祥豐街177巷1~30號,0.0,住,,,1091120,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0630620,55.64,3,2,1,有,有,有,10000,180,,0.0,0,108年度基隆市社會住宅包租代管第二期計畫,RPVNMLRKKIPFFBC88CC
中正區,建物,基隆市中正區中船路5巷1~30號,0.0,住,,,1091119,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0630516,40.72,2,1,1,有,有,有,6000,147,,0.0,0,108年度基隆市社會住宅包租代管第二期計畫,RPXNMLRKKIPFFBC09CC
信義區,建物,基隆市信義區深澳坑路1~30號,0.0,住,,,1091130,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830622,94.52000000000001,3,1,1,有,有,有,8000,85,,0.0,0,108年度基隆市社會住宅包租代管第二期計畫,RPOOMLRKKIPFFBC28CC
信義區,建物,基隆市信義區深溪路55巷1~30號,0.0,住,,,1091201,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880122,135.07999999999998,3,2,2,有,有,有,10000,74,,0.0,0,108年度基隆市社會住宅包租代管第二期計畫,RPROMLRKKIPFFBC58CC
信義區,建物,基隆市信義區東光路1巷1~30號,0.0,住,,,1091202,土地0建物1車位0,全,1,透天厝,,磚造,0490401,46.06,2,2,1,有,有,有,8000,174,,0.0,0,108年度基隆市社會住宅包租代管第二期計畫,RPSOMLRKKIPFFBC68CC
中正區,建物,基隆市中正區觀海街1~30號,0.0,住,,,1091207,土地0建物1車位0,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,71.24,2,1,1,有,有,有,10000,140,,0.0,0,108年度基隆市社會住宅包租代管第二期計畫,RPTOMLRKKIPFFBC78CC
信義區,建物,基隆市信義區深澳坑路168巷48弄1~30號,0.0,住,,,1091210,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0840610,109.32,3,2,2,有,有,有,8000,73,,0.0,0,108年度基隆市社會住宅包租代管第二期計畫,RPUOMLRKKIPFFBC88CC
仁愛區,建物,基隆市仁愛區劉銘傳路43巷31~60號,0.0,住,,,1091201,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0660209,92.12,5,2,2,有,有,有,12000,130,,0.0,0,108年度基隆市社會住宅包租代管第二期計畫,RPWOMLRKKIPFFBC09CC
暖暖區,建物,基隆市暖暖區源遠路249巷181~210號,0.0,住,,,1091119,土地0建物1車位0,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860125,78.53999999999999,4,2,2,有,有,有,12600,160,,0.0,0,108年度基隆市社會住宅包租代管第二期計畫,RPSOMLRKKIPFFCC78CC
