編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPTOMLRKKIPFFCC88CC,38,98.36,國民住宅,鋼筋混凝土造,71年6月24日,五層,
RPVNMLRKKIPFFBC88CC,46,55.64,住家用,鋼筋混凝土加強磚造,63年6月20日,四層,
RPTOMLRKKIPFFBC78CC,22,57.41,住家用,鋼筋混凝土造,88年1月14日,十五層,
RPTOMLRKKIPFFBC78CC,22,8.47,共用部份,鋼筋混凝土造,88年1月14日,十五層,
RPTOMLRKKIPFFBC78CC,22,3.26,共用部份,鋼筋混凝土造,88年1月14日,十五層,
RPTOMLRKKIPFFBC78CC,22,1.41,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPTOMLRKKIPFFBC78CC,22,.69,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPUOMLRKKIPFFBC88CC,26,101.96,見其他登記事項,鋼筋混凝土造,84年6月10日,四層,
RPUOMLRKKIPFFBC88CC,26,5.90,共用部份,鋼筋混凝土造,84年6月10日,四層,
RPUOMLRKKIPFFBC88CC,26,1.46,共用部份,鋼筋混凝土造,84年6月10日,五層,
RPSOMLRKKIPFFBC68CC,61,46.06,,磚造,49年4月1日,一層,
RPROMLRKKIPFFBC58CC,22,78.19,住家用,鋼筋混凝土造,88年1月22日,七層,
RPROMLRKKIPFFBC58CC,22,14.98,共用部份,鋼筋混凝土造,88年1月22日,七層,
RPROMLRKKIPFFBC58CC,22,4.88,共用部份,鋼筋混凝土造,88年1月22日,七層,
RPROMLRKKIPFFBC58CC,22,34.92,共用部份,鋼筋混凝土造,88年1月22日,七層,
RPROMLRKKIPFFBC58CC,22,2.11,共用部份,鋼筋混凝土造,88年1月22日,七層,
RPXNMLRKKIPFFBC09CC,47,40.72,住家用,鋼筋混凝土加強磚造,63年5月16日,四層,
RPXOMLRKKIPFFCC66CC,19,92.70,住家用,鋼筋混凝土造,90年10月4日,五層,
RPXOMLRKKIPFFCC66CC,19,9.92,共用部份,鋼筋混凝土造,90年10月4日,五層,
RPXOMLRKKIPFFCC66CC,19,11.61,共用部份,鋼筋混凝土造,90年10月4日,五層,
RPTPMLRKKIPFFCC98CC,26,68.36,住家用,鋼筋混凝土造,84年2月28日,六層,
RPTPMLRKKIPFFCC98CC,26,10.80,共用部份,鋼筋混凝土造,84年2月28日,六層,
RPTPMLRKKIPFFCC98CC,26,11.55,共用部份,鋼筋混凝土造,84年2月28日,六層,
RPPPMLRKKIPFFCC58CC,24,5.62,共用部份,鋼筋混凝土造,85年9月30日,五層,
RPPPMLRKKIPFFCC58CC,24,13.41,共用部份,鋼筋混凝土造,85年9月30日,五層,
RPPPMLRKKIPFFCC58CC,24,100.81,住家用,鋼筋混凝土造,85年9月30日,五層,
RPQPMLRKKIPFFCC68CC,42,67.37,住家用,鋼筋混凝土加強磚造,67年6月15日,四層,
RPOOMLRKKIPFFBC28CC,26,83.12,住家用,鋼筋混凝土造,83年6月22日,七層,
RPOOMLRKKIPFFBC28CC,27,6.23,共用部份,鋼筋混凝土造,82年11月8日,七層,
RPOOMLRKKIPFFBC28CC,26,5.17,共用部份,鋼筋混凝土造,83年6月22日,七層,
RPWOMLRKKIPFFBC09CC,44,92.12,住家用,加強磚造,66年2月9日,二層,
RPUPMLRKKIPFFCC09CC,24,54.06,住家用,鋼筋混凝土造,86年5月8日,十一層,
RPUPMLRKKIPFFCC09CC,24,1.18,共用部份,鋼筋混凝土造,86年5月8日,十一層,
RPUPMLRKKIPFFCC09CC,24,9.85,共用部份,鋼筋混凝土造,86年5月8日,十一層,
RPUPMLRKKIPFFCC09CC,24,.60,共用部份,鋼筋混凝土造,86年5月8日,十一層,
RPVPMLRKKIPFFCC56CC,39,90.86,住家用,鋼筋混凝土造,71年2月12日,五層,
RPVOMLRKKIPFFCC09CC,25,66.17,住家用,鋼筋混凝土造,85年4月10日,五層,
RPVOMLRKKIPFFCC09CC,25,26.82,共用部份,鋼筋混凝土造,85年4月10日,五層,
RPVOMLRKKIPFFCC09CC,25,11.83,共用部份,鋼筋混凝土造,85年4月10日,五層,
RPOOMLSKKIPFFCC48CC,5,.03,見其他登記事項,鋼筋混凝土造,105年1月24日,,
RPOOMLSKKIPFFCC48CC,5,152.22,見其他登記事項,鋼筋混凝土造,105年1月24日,二十二層,
RPXPMLRKKIPFFCC76CC,24,118.73,住家用,鋼筋混凝土造,85年11月26日,十二層,
RPXPMLRKKIPFFCC76CC,24,3.97,共用部份,鋼筋混凝土造,85年11月26日,十二層,
RPXPMLRKKIPFFCC76CC,24,7.78,共用部份,鋼筋混凝土造,85年11月26日,十二層,
RPUNMLMLKIPFFCC58DC,23,52.46,商業用,鋼筋混凝土造,86年12月16日,九層,
RPUNMLMLKIPFFCC58DC,23,3.38,商業用,鋼筋混凝土造,86年12月16日,九層,
RPUNMLMLKIPFFCC58DC,23,4.16,共用部份,鋼筋混凝土造,86年12月16日,十層,
RPUNMLMLKIPFFCC58DC,23,2.40,共用部份,鋼筋混凝土造,86年12月16日,十層,
RPUNMLMLKIPFFCC58DC,23,10.99,共用部份,鋼筋混凝土造,86年12月16日,九層,
RPPNMLNLKIPFFBC97CC,45,77.41,住家用,鋼筋混凝土加強磚造,64年10月7日,四層,
RPVOMLQJJHGGFCC87CC,42,61.41,國民住宅,鋼筋混凝土造,67年8月9日,五層,
RPTNMLLMKIPFFBC28CC,45,48.83,住家用,加強磚造,64年10月27日,二層,
RPUNMLTLKIPFFCC66DC,22,89.09,商業用,鋼筋混凝土造,87年7月30日,五層,
RPVNMLNLKIPFFCC68CC,38,89.13,住家用,鋼筋混凝土造,71年12月18日,五層,
RPUOMLRJJHGGFCC97DC,26,89.81,住家用,鋼筋混凝土造,84年1月18日,五層,
RPPOMLRJJHGGFCC37CC,24,107.31,住家用,鋼筋混凝土造,85年11月26日,十二層,
RPTOMLRJJHGGFCC87DC,27,88.45,住家用,鋼筋混凝土造,82年6月28日,五層,
RPOOMLRJJHGGFCC27CC,27,95.33,住家用,鋼筋混凝土造,82年9月2日,七層,
RPOOMLRJJHGGFCC27CC,27,.87,共用部份,鋼筋混凝土造,82年9月2日,七層,
RPOOMLRJJHGGFCC27CC,27,3.78,共用部份,鋼筋混凝土造,82年9月2日,七層,
RPOOMLRJJHGGFCC27CC,27,1.14,共用部份,鋼筋混凝土造,82年9月2日,七層,
RPOOMLRJJHGGFCC27CC,27,7.52,共用部份,鋼筋混凝土造,82年9月2日,七層,
RPQOMLRJJHGGFCC47CC,41,78.89,住家用,鋼筋混凝土造,69年5月6日,四層,
RPSOMLRJJHGGFCC67CC,26,91.36,住家用,鋼筋混凝土造,83年11月29日,十二層,
RPQPMLRJJHGGFCC67DC,25,61.80,住家用,鋼筋混凝土造,84年8月8日,六層,
RPRPMLRJJHGGFCC77DC,46,69.95,住家用,鋼筋混凝土加強磚造,63年12月13日,四層,
RPTPMLRJJHGGFCC97DC,46,74.75,住家用,鋼筋混凝土加強磚造,63年12月10日,四層,
RPWPMLRJJHGGFCC28DC,24,65.74,住家用,鋼筋混凝土造,86年5月8日,十一層,
RPOQMLRJJHGGFCC57DC,,19.63,,磚造,,一層,
RPPPMLRJJHGGFBC47DC,26,89.73,住家用,鋼筋混凝土造,84年4月1日,九層,
RPROMLRJJHGGFBC57DC,22,24.14,住家用,鋼筋混凝土造,88年1月14日,十六層,
RPQOMLRJJHGGFBC47DC,33,93.41,住家用,鋼筋混凝土造,77年1月11日,五層,
RPSOMLRJJHGGFBC67DC,44,28.88,住家用,鋼筋混凝土加強磚造,65年8月9日,四層,
RPXOMLRJJHGGFBC18DC,42,103.94,住家用,鋼筋混凝土造,68年1月18日,五層,
RPUOMLRJJHGGFBC87DC,22,23.42,住家用,鋼筋混凝土造,88年1月14日,十六層,
RPROMLKMKIPFFBC08CC,26,227.04,商業用,鋼造,83年7月4日,一層,
RPSPMLRJJHGGFBC77DC,25,30.52,住家用,鋼筋混凝土造,85年4月26日,十六層,
RPVNMLRJJHGGFBC77CC,22,91.37,住家用,鋼筋混凝土造,88年1月14日,十五層,
RPXNMLRJJHGGFBC97CC,22,92.47,住家用,鋼筋混凝土造,88年1月14日,十六層,
RPPOMLRJJHGGFBC27CC,45,48.94,住家用,鋼筋混凝土加強磚造,65年5月11日,四層,
RPTOMLRJJHGGFBC67CC,40,55.20,住家用,鋼筋混凝土造,69年9月24日,五層,
RPWNMLSJJHGGFBC97CC,45,36.59,住家用,鋼筋混凝土加強磚造,64年9月9日,四層,
RPWNMLSJJHGGFCC08CC,38,65.97,住家用,鋼筋混凝土造,71年8月25日,五層,
RPPNMLKKJHGGFBC56CC,38,106.32,住家用,鋼筋混凝土造,71年10月30日,五層,
RPQNMLKKJHGGFBC66CC,35,64.38,住家用,鋼筋混凝土造,74年9月12日,四層,
RPQNMLTJJHGGFCC57CC,39,45.55,住家用,鋼筋混凝土造,70年12月8日,四層,
RPRNMLTJJHGGFCC67CC,25,91.10,住家用,鋼筋混凝土造,84年10月2日,七層,
RPQNMLKKJHGGFCC76CC,26,61.54,住家用,鋼筋混凝土造,83年10月15日,五層,
RPSOMLRKKIPFFCC78CC,24,57.25,住家用,鋼筋混凝土造,86年1月25日,十二層,
RPSOMLRKKIPFFCC78CC,24,11.86,共用部份,鋼筋混凝土造,86年1月25日,十二層,
RPSOMLRKKIPFFCC78CC,24,9.43,共用部份,鋼筋混凝土造,86年1月25日,十二層,
RPSNMLKKJHGGFBC86CC,45,73.77,住家用,鋼筋混凝土加強磚造,64年8月2日,四層,
RPRNMLKKJHGGFBC76CC,30,71.63,住家用,鋼筋混凝土造,80年5月21日,七層,
RPVNMLKKJHGGFBC17CC,40,80.30,住家用,鋼筋混凝土造,69年7月30日,五層,
RPXNMLSKJHGGFBC28DC,56,274.56,住商用,加強磚造,54年6月1日,四層,
RPRPMLRKKIPFFCC78CC,23,79.04,住家用,鋼筋混凝土造,86年7月18日,十三層,
RPRPMLRKKIPFFCC78CC,23,1.97,共用部份,鋼筋混凝土造,86年7月18日,四層,
