鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
中西區,房地(土地+建物)+車位,民權路三段331~360號,8.82,都市：其他:住宅區,,,1091124,土地2建物1車位1,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810130,53.64,1,0,1,有,有,2000000,37293,坡道平面,0.0,1000000,陽台外推；,RPWPMLOLJIPFFAD78DA,27.75,0.0,6.48,有,
安平區,房地(土地+建物)+車位,文平路181~210號,14.29,都市：其他:商業區,,,1091107,土地1建物1車位1,四層,二十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0960815,185.62,4,2,2,有,有,12300000,66264,坡道平面,24.22,0,,RPUPMLMJKIPFFAD28DA,99.22,0.0,15.05,有,0001
北區,房地(土地+建物),大港街110巷10弄1~30號,99.55,都市：其他:住宅區,,,1091024,土地1建物1車位0,一層，二層，三層，屋頂突出物，地下層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0811230,231.5,5,2,3,有,無,8600000,37149,,0.0,0,,RPUOMLNJKIPFFAD28DA,184.38,0.0,11.1,無,
北區,房地(土地+建物),南園街42巷1~30號,49.0,都市：其他:住宅區,,,1091009,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0620630,77.12,6,0,6,有,無,6550000,84933,,0.0,0,含租約；,RPOPMLNJKIPFFAD77DA,77.12,0.0,0.0,無,
安平區,房地(土地+建物)+車位,育平五街1~30號,12.0,都市：其他:住宅區,,,1091030,土地1建物1車位1,十七層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0861021,146.95999999999998,3,2,2,有,有,5650000,38448,坡道機械,22.48,0,,RPQNMLOJKIPFFAD87DA,86.16,0.0,6.8,有,0002
安平區,房地(土地+建物)+車位,永華路二段271~300號,8.9,都市：其他:商業區,,,1090802,土地1建物1車位1,十一層,二十九層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1070921,177.39,4,2,2,有,有,14820000,88749,坡道機械,23.36,1150000,,RPPPMLOJKIPFFAD97DA,95.77,0.85,9.48,有,
安平區,房地(土地+建物)+車位,永華路二段271~300號,9.74,都市：其他:商業區,,,1090802,土地1建物1車位1,十一層,二十九層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1070921,193.5,3,2,2,有,有,15980000,89438,坡道平面,31.6,1500000,,RPRPMLOJKIPFFAD18DA,100.35,0.77,10.42,有,
安平區,房地(土地+建物)+車位,永華路二段271~300號,9.3,都市：其他:商業區,,,1090905,土地1建物1車位1,五層,二十九層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1070921,185.26,3,2,2,有,有,15750000,89561,坡道機械,23.36,1250000,,RPSPMLOJKIPFFAD28DA,100.35,0.77,10.42,有,
中西區,房地(土地+建物)+車位,中華西路二段391~420號,27.73,都市：其他:住宅區,,,1091119,土地1建物1車位1,二十一層,二十五層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1060817,287.02,3,2,3,有,有,20280000,75823,坡道平面,33.8,1080000,,RPOQMLOJKIPFFAD97DA,165.26,0.0,13.38,有,
