編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPUPMLMJKIPFFAD28DA,13,114.27,見其他登記事項,鋼筋混凝土造,96年8月15日,二十一層,四層
RPUPMLMJKIPFFAD28DA,13,53.72,共有部分,鋼筋混凝土造,96年8月15日,二十一層,
RPUPMLMJKIPFFAD28DA,13,17.63,共有部分,鋼筋混凝土造,96年8月15日,二十一層,
RPTNMLRJKIPFFAD48DA,54,83.30,住家用,加強磚造,55年10月8日,二層,一層 二層
RPOPMLNJKIPFFAD77DA,47,77.12,住家用,加強磚造,62年6月30日,二層,一層 二層
RPQQMLSJKIPFFAD58DA,54,118.73,住商用,加強磚造,56年2月25日,三層,一層 二層 三層 騎樓
RPUOMLNJKIPFFAD28DA,28,195.48,住家用,鋼筋混凝土造,81年12月30日,四層,一層 二層 三層 屋頂突出物 地下層
RPUOMLNJKIPFFAD28DA,28,36.02,共有部分,鋼筋混凝土造,81年12月30日,四層,
RPTNMLTJKIPFFAD68DA,46,42.78,住家用,加強磚造,63年9月23日,一層,一層
RPPOMLTJKIPFFAD38DA,5,221.81,見其他登記事項,見其他登記事項,104年8月25日,十九層,十一層
RPPOMLTJKIPFFAD38DA,5,114.63,見其他登記事項,見其他登記事項,104年8月25日,十九層,
RPPOMLTJKIPFFAD38DA,5,35.11,見其他登記事項,見其他登記事項,104年8月25日,十九層,
RPPPMLOJKIPFFAD97DA,2,106.10,見其他登記事項,見其他登記事項,107年9月21日,二十九層,十一層
RPPPMLOJKIPFFAD97DA,2,71.29,見其他登記事項,見其他登記事項,107年9月21日,二十九層,
RPSPMLOJKIPFFAD28DA,2,111.54,見其他登記事項,見其他登記事項,107年9月21日,二十九層,五層
RPSPMLOJKIPFFAD28DA,2,73.72,見其他登記事項,見其他登記事項,107年9月21日,二十九層,
RPRPMLOJKIPFFAD18DA,2,111.54,見其他登記事項,見其他登記事項,107年9月21日,二十九層,十一層
RPRPMLOJKIPFFAD18DA,2,81.96,見其他登記事項,見其他登記事項,107年9月21日,二十九層,
RPWPMLOLJIPFFAD78DA,29,16.35,住家用,鋼筋混凝土造,81年1月30日,七層,三層
RPWPMLOLJIPFFAD78DA,29,16.35,住家用,鋼筋混凝土造,81年1月30日,七層,三層
RPWPMLOLJIPFFAD78DA,29,.76,住家用,鋼筋混凝土造,81年1月30日,七層,地下層
RPWPMLOLJIPFFAD78DA,29,.76,住家用,鋼筋混凝土造,81年1月30日,七層,地下層
RPWPMLOLJIPFFAD78DA,29,3.74,共有部分,鋼筋混凝土造,81年1月30日,七層,
RPWPMLOLJIPFFAD78DA,29,3.74,共有部分,鋼筋混凝土造,81年1月30日,七層,
RPWPMLOLJIPFFAD78DA,29,5.96,共有部分,鋼筋混凝土造,81年1月30日,七層,
RPWPMLOLJIPFFAD78DA,29,5.96,共有部分,鋼筋混凝土造,81年1月30日,七層,
RPOQMLSJKIPFFAD38DA,1,48.07,見其他登記事項,見其他登記事項,108年12月17日,二十三層,十二層
RPOQMLSJKIPFFAD38DA,1,52.04,見其他登記事項,見其他登記事項,108年12月17日,二十三層,
RPPOMLLJKIPFFBD67DA,13,202.07,住家用,加強磚造,96年9月4日,三層,一層 二層 三層 見其他登記事項
RPTOMLTJKIPFFBD88DA,1,236.17,見其他登記事項,鋼筋混凝土造,109年3月4日,四層,一層 二層 三層 四層
RPTOMLTJKIPFFBD88DA,1,.02,見其他登記事項,鋼筋混凝土造,109年3月4日,一層,
RPTPMLTJKIPFFAD88DA,3,156.32,見其他登記事項,見其他登記事項,106年8月17日,二十五層,十四層
RPTPMLTJKIPFFAD88DA,3,69.59,見其他登記事項,見其他登記事項,106年8月17日,二十五層,
RPTPMLTJKIPFFAD88DA,3,30.11,見其他登記事項,見其他登記事項,106年8月17日,二十五層,
RPRTMLRJKIPFFBD98DA,39,158.76,住商用,鋼筋混凝土造,70年11月17日,三層,一層 二層 三層 屋頂突出物 騎樓
RPUOMLMJKIPFFCD38DA,36,113.61,住家用,加強磚造,74年1月15日,二層,一層 二層 屋頂突出物
RPWNMLOJKIPFFCD68DA,41,86.40,住家用,加強磚造,68年3月31日,二層,一層 二層
RPVOMLMJKIPFFCD48DA,26,46.78,共有部分,鋼筋混凝土造,84年5月2日,六層,
RPVOMLMJKIPFFCD48DA,26,65.49,住家用,鋼筋混凝土造,84年5月2日,六層,六層 夾層
RPVNMLNJKIPFFCD48DA,43,62.19,住家用,鋼筋混凝土造,67年5月9日,四層,二層
RPUNMLSJKIPFFCD88DA,25,298.61,見其他登記事項,鋼筋混凝土造,84年12月29日,四層,一層 二層 三層 四層 屋頂突出物 地下一層
RPUNMLSJKIPFFCD88DA,25,50.14,共有部分,鋼筋混凝土造,84年12月29日,四層,
RPSPMLNJJIPFFCD28DA,40,298.93,住家用,鋼筋混凝土造,69年9月1日,四層,一層 二層 三層 四層 地下層
RPWOMLNLJIPFFCD78DA,48,84.69,住家用,加強磚造,61年12月11日,二層,一層 二層
RPOQMLOJKIPFFAD97DA,3,178.64,見其他登記事項,見其他登記事項,106年8月17日,二十五層,二十一層
RPOQMLOJKIPFFAD97DA,3,73.37,見其他登記事項,見其他登記事項,106年8月17日,二十五層,
RPOQMLOJKIPFFAD97DA,3,35.01,見其他登記事項,見其他登記事項,106年8月17日,二十五層,
RPQNMLRJKIPFFAD18DA,14,162.38,見其他登記事項,見其他登記事項,96年2月9日,十一層,五層
RPQNMLRJKIPFFAD18DA,14,64.48,共有部分,見其他登記事項,96年2月9日,十一層,
RPQNMLRJKIPFFAD18DA,14,23.21,共有部分,見其他登記事項,96年2月9日,十一層,
RPOOMLOJKIPFFCD97DA,25,23.22,住家用,鋼筋混凝土造,84年11月6日,二十層,六層
RPOOMLOJKIPFFCD97DA,25,4.89,共有部分,鋼筋混凝土造,84年11月6日,二十層,
RPOOMLOJKIPFFCD97DA,25,6.22,共有部分,鋼筋混凝土造,84年11月6日,二十層,
RPQNMLOJKIPFFAD87DA,23,.54,管理員室,鋼筋混凝土造,86年10月21日,二十二層,一層
RPQNMLOJKIPFFAD87DA,23,92.42,住家用,鋼筋混凝土造,86年10月21日,二十二層,十七層
RPQNMLOJKIPFFAD87DA,23,22.52,共有部分,鋼筋混凝土造,86年10月21日,二十二層,
RPQNMLOJKIPFFAD87DA,23,31.47,共有部分,鋼筋混凝土造,86年10月21日,二十二層,
RPRNMLRJKIPFFCD48DA,21,54.81,住家用,鋼筋混凝土造,88年8月2日,十四層,十層
RPRNMLRJKIPFFCD48DA,21,18.59,共有部分,鋼筋混凝土造,88年8月2日,十四層,
RPRNMLRJKIPFFCD48DA,21,5.99,共有部分,鋼筋混凝土造,88年8月2日,十四層,
RPXNMLRJKIPFFCD09DA,2,160.93,見其他登記事項,見其他登記事項,108年1月31日,十三層,九層
RPXNMLRJKIPFFCD09DA,2,106.95,見其他登記事項,見其他登記事項,108年1月31日,十三層,
RPXNMLRJKIPFFCD09DA,2,26.06,見其他登記事項,見其他登記事項,108年1月31日,十三層,
RPRNMLSJKIPFFCD58DA,2,183.78,見其他登記事項,見其他登記事項,108年1月31日,十三層,四層
