交易標的,土地區段位置/建物區段門牌,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,屋齡,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位總價(元),移轉編號
transaction sign,land sector position building sector house number plate,transaction year month and day,transaction pen number,shifting level,total floor number,building state,room age,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth total price NTD,
房地(土地+建物)+車位,臺南市安平區文平路181~210號,1070111,土地1建物1車位1,四層,二十一層,住宅大樓(11層含以上有電梯),10,185.62,4,1,2,有,有,11360000,61200,0,0001
房地(土地+建物)+車位,文平路181~210號,1091107,土地1建物1車位1,四層,二十一層,住宅大樓(11層含以上有電梯),13,185.62,4,2,2,有,有,12300000,66264,0,0001
房地(土地+建物),臺南市安平區育平五街1~30號,1021212,土地1建物1車位0,十七層,二十二層,住宅大樓(11層含以上有電梯),16,123.89,3,2,2,有,有,3620000,29219,0,0002
房地(土地+建物),臺南市安平區育平五街1~30號,1030125,土地1建物1車位0,十七層,二十二層,住宅大樓(11層含以上有電梯),16,123.89,3,2,2,有,有,4500000,36323,0,0002
房地(土地+建物)+車位,臺南市安平區育平五街1~30號,1071018,土地1建物1車位1,十七層,二十二層,住宅大樓(11層含以上有電梯),21,146.95999999999998,3,2,2,有,有,4350000,29602,0,0002
房地(土地+建物)+車位,育平五街1~30號,1091030,土地1建物1車位1,十七層,二十二層,住宅大樓(11層含以上有電梯),23,146.95999999999998,3,2,2,有,有,5650000,38448,0,0002
房地(土地+建物)+車位,臺南市安平區永華路二段811~840號,1090121,土地1建物1車位1,十二層,二十三層,住宅大樓(11層含以上有電梯),0,100.11,2,1,1,有,有,7000000,84332,950000,0003
房地(土地+建物)+車位,永華路二段811~840號,1091122,土地1建物1車位1,十二層,二十三層,住宅大樓(11層含以上有電梯),1,100.11,2,2,1,有,有,7000000,69923,0,0003
房地(土地+建物),臺南市中西區大勇街1~30號,1080917,土地1建物1車位0,全,三層,透天厝,53,118.73,2,2,2,有,無,6500000,54746,0,0004
房地(土地+建物),大勇街1~30號,1091022,土地1建物1車位0,全,三層,透天厝,54,118.73,2,2,3,有,無,9000000,75802,0,0004
房地(土地+建物)+車位,臺南市安平區永華路二段361~390號,1040930,土地1建物1車位2,十一層,十九層,住宅大樓(11層含以上有電梯),0,371.55,4,2,4,有,有,19000000,57265,1600000,0005
房地(土地+建物)+車位,永華路二段361~390號,1091006,土地1建物1車位2,十一層,十九層,住宅大樓(11層含以上有電梯),5,371.55,3,3,4,有,有,23000000,61903,0,0005
土地,佃北段991~1020地號,1070620,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,6900000,8950,0,0006
土地,佃北段991~1020地號,1091127,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,27290000,15724,0,0006
土地,學東段991~1020地號,1090511,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,4331000,30244,0,0007
土地,學東段991~1020地號,1100118,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,4700000,32821,0,0007
房地(土地+建物),臺南市南區体育路21巷34弄1~30號,1061130,土地2建物1車位0,全,四層,透天厝,37,298.93,3,2,2,有,無,11000000,36798,0,0008
房地(土地+建物),体育路21巷34弄1~30號,1090920,土地2建物1車位0,全,四層,透天厝,40,298.93,6,2,4,有,無,17580000,58810,0,0008
房地(土地+建物)+車位,崇善十一街31~60號,1090815,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),21,79.39,2,2,1,有,有,3880000,48873,0,0009
房地(土地+建物)+車位,崇善十一街31~60號,1091031,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),21,79.39,2,2,1,有,有,4900000,61721,0,0009
土地,大屯寮段2731~2760地號,1090228,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,1023400,700,0,0010
土地,大屯寮段2731~2760地號,1091112,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1535100,1050,0,0010
土地,港埔段901~930地號,1091109,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1659600,1200,0,0011
土地,港埔段901~930地號,1091202,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1660000,1200,0,0011
房地(土地+建物),大潭里台潭121~150號,1091126,土地2建物1車位0,全,三層,透天厝,27,145.38,5,2,3,有,無,4600000,31641,0,0012
房地(土地+建物),大潭里台潭121~150號,1091130,土地2建物1車位0,全,三層,透天厝,27,145.38,5,2,3,有,無,5670000,39001,0,0012
土地,曾文段1081~1110地號,1090616,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,2138020,1033,0,0013
土地,曾文段1081~1110地號,1091105,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,3428900,1657,0,0013
土地,曾文段1081~1110地號,1100127,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,5445900,2632,0,0013
土地,成功段631~660地號,1090724,土地9建物0車位0,,,其他,-1,0.0,0,0,0,有,無,5058670,31690,0,0014
土地,成功段631~660地號,1090905,土地7建物0車位0,,,其他,-1,0.0,0,0,0,有,無,9318766,35594,0,0014
房地(土地+建物),臺南市歸仁區民權三街50巷1~30號,1090414,土地1建物1車位0,三層,六層,華廈(10層含以下有電梯),1,95.69,2,2,2,有,有,4600000,48072,0,0015
房地(土地+建物),民權三街50巷1~30號,1091109,土地1建物1車位0,三層,六層,華廈(10層含以下有電梯),1,95.69,2,1,2,有,有,5500000,57477,0,0015
土地,新工段1291~1320地號,1071227,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1500000,3533,0,0016
土地,新工段1291~1320地號,1080616,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,4000000,9422,0,0016
土地,新工段1291~1320地號,1081104,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,4000000,9422,0,0016
土地,新工段1291~1320地號,1091111,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,8200000,9406,0,0016
土地,上崙段661~690地號,1090321,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,4500000,30274,0,0017
土地,上崙段661~690地號,1091204,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,4500000,30274,0,0017
土地,保東段631~660地號,1090406,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,832832,9680,0,0018
土地,保東段631~660地號,1090907,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,307800,11447,0,0018
土地,保東段631~660地號,1091201,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,253500,11785,0,0018
房地(土地+建物)+車位,埔園里中山路331~360號,1091109,土地2建物1車位1,三層，四層,二十六層,住宅大樓(11層含以上有電梯),24,158.62,3,2,2,有,有,3880000,24459,0,0019
房地(土地+建物)+車位,埔園里中山路331~360號,1100318,土地2建物1車位1,三層，四層,二十六層,住宅大樓(11層含以上有電梯),24,158.62,3,2,2,有,有,6500000,40976,0,0019
房地(土地+建物),中華一路1巷1~30號,1090608,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),36,69.84,2,1,1,有,無,1560000,22337,0,0020
房地(土地+建物),中華一路1巷1~30號,1091121,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),36,69.84,2,2,1,有,無,3100000,44387,0,0020
房地(土地+建物)+車位,復華一街151~180號,1070408,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),0,113.63,2,1,1,有,有,4860000,46554,550000,0021
房地(土地+建物)+車位,復華一街151~180號,1091114,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),0,113.63,2,2,1,有,有,6200000,54563,0,0021
土地,蜈蜞潭段2011~2040地號,1091202,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,786000,13552,0,0022
土地,蜈蜞潭段2011~2040地號,1091225,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,777000,13397,0,0022
土地,安康段1171~1200地號,1100308,土地6建物0車位0,,,其他,-1,0.0,0,0,0,有,無,16067037,33825,0,0022
土地,蜈蜞潭段2161~2190地號,1091203,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,6946606,12018,0,0023
土地,蜈蜞潭段2161~2190地號,1091218,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,9460000,18185,0,0023
土地,蜈蜞潭段2161~2190地號,1100111,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1110916,19220,0,0023
