編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPUPMLMJKIPFFAD28DA,金華段,14.29,都市：其他:商業區,10000,55,持分移轉
RPTNMLRJKIPFFAD48DA,立人段,75.00,都市：其他:住宅區,1,1,全筆移轉
RPTNMLRJKIPFFAD48DA,立人段,4.00,都市：其他:細部計畫道路用地,1,1,全筆移轉
RPOPMLNJKIPFFAD77DA,華興段,49.00,都市：其他:住宅區,1,1,全筆移轉
RPQQMLSJKIPFFAD58DA,保安段,44.00,都市：其他:商業區,1,1,全筆移轉
RPUOMLNJKIPFFAD28DA,大興段,99.55,都市：其他:住宅區,1,1,全筆移轉
RPPOMLTJKIPFFAD38DA,新南段,34.23,都市：其他:住宅區,10000,84,持分移轉
RPPPMLOJKIPFFAD97DA,新南段,8.90,都市：其他:商業區,100000,561,持分移轉
RPXNMLLJKIPFFBD38DA,佃北段,770.97,都市：其他:住宅區,1,1,全筆移轉
RPXNMLLJKIPFFBD38DA,佃北段,964.55,都市：其他:住宅區,1,1,全筆移轉
RPSPMLOJKIPFFAD28DA,新南段,9.30,都市：其他:商業區,100000,586,持分移轉
RPRPMLOJKIPFFAD18DA,新南段,9.74,都市：其他:商業區,100000,614,持分移轉
RPWPMLOLJIPFFAD78DA,星鑽段,.03,都市：其他:住宅區,2200,7,持分移轉
RPWPMLOLJIPFFAD78DA,星鑽段,.03,都市：其他:住宅區,2200,7,持分移轉
RPWPMLOLJIPFFAD78DA,星鑽段,4.38,都市：其他:住宅區,271000,894,持分移轉
RPWPMLOLJIPFFAD78DA,星鑽段,4.38,都市：其他:住宅區,271000,894,持分移轉
RPOQMLSJKIPFFAD38DA,金華段,8.54,都市：其他:住宅區,100000,498,持分移轉
RPPOMLLJKIPFFBD67DA,科工段,33.85,都市：其他:住宅區,10000,454,持分移轉
RPPOMLLJKIPFFBD67DA,科工段,10.28,都市：其他:住宅區,10000,454,持分移轉
RPPOMLLJKIPFFBD67DA,科工段,117.80,都市：其他:住宅區,1,1,全筆移轉
RPPOMLLJKIPFFBD67DA,科工段,14.07,都市：其他:住宅區,10000,665,持分移轉
RPTOMLTJKIPFFBD88DA,國安段,26.25,都市：其他:住宅區,70,1,持分移轉
RPTOMLTJKIPFFBD88DA,國安段,82.50,都市：其他:住宅區,1,1,全筆移轉
RPTPMLTJKIPFFAD88DA,武聖段,24.27,都市：其他:住宅區,100000,428,持分移轉
