編號,車位類別,車位價格,車位面積(平方公尺),車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPUPMLMJKIPFFAD28DA,坡道平面,0,24.22,地下四樓
RPPOMLTJKIPFFAD38DA,坡道平面,0,33.86,地下三樓
RPPOMLTJKIPFFAD38DA,坡道平面,0,33.86,地下三樓
RPPPMLOJKIPFFAD97DA,坡道機械,1150000,23.36,地下三樓
RPSPMLOJKIPFFAD28DA,坡道機械,1250000,23.36,地下三樓
RPRPMLOJKIPFFAD18DA,坡道平面,1500000,31.60,地下四樓
RPWPMLOLJIPFFAD78DA,坡道平面,1000000,,地下一樓
RPOQMLSJKIPFFAD38DA,坡道機械,0,28.37,地下五樓含以下
RPTPMLTJKIPFFAD88DA,坡道平面,0,33.80,地下四樓
RPVOMLMJKIPFFCD48DA,坡道平面,0,,地下一樓
RPOQMLOJKIPFFAD97DA,坡道平面,0,33.80,地下二樓
RPQNMLRJKIPFFAD18DA,升降平面,0,15.59,地下二樓
RPQNMLOJKIPFFAD87DA,坡道機械,0,22.48,地下三樓
RPRNMLRJKIPFFCD48DA,坡道機械,0,11.24,地下一樓
RPXNMLRJKIPFFCD09DA,坡道平面,0,29.35,地下一樓
RPXNMLRJKIPFFCD09DA,坡道平面,0,31.92,地下一樓
RPRNMLSJKIPFFCD58DA,坡道平面,0,31.92,地下二樓
RPRNMLSJKIPFFCD58DA,坡道平面,0,31.92,地下二樓
RPRNMLSJKIPFFCD58DA,坡道平面,0,31.92,地下二樓
RPSRMLMJKIPFFHD98DA,坡道平面,1100000,22.46,地下一樓
RPOTMLMJKIPFFHD78DA,一樓平面,1200000,29.83,一樓
RPXRMLMJKIPFFHD86DA,坡道平面,1000000,21.12,地下一樓
RPWSMLMJKIPFFHD86DA,坡道平面,1050000,22.46,地下二樓
RPPNNLNJKIPFFHD48DA,坡道平面,0,,地下一樓
RPWNMLTJJIPFFHD96DA,坡道平面,0,,地下一樓
RPPNMLLKKIPFFHD28DA,坡道平面,0,,地下二樓
RPTNMLKMJIPFFKD98DA,坡道機械,0,,地下一樓
RPXPMLSJKIPFFKD57DA,坡道機械,0,21.05,地下二樓
RPTOMLSJKIPFFBD88EA,坡道平面,0,10.64,地下一樓
RPWNMLTJKIPFFKD37DA,坡道平面,0,38.58,地下二樓
RPUNMLTJKIPFFKD17DA,坡道機械,0,13.14,地下二樓
RPSNMLTJKIPFFKD96DA,坡道平面,0,,地下二樓
RPSNMLTJKIPFFKD96DA,坡道平面,0,,地下二樓
RPSNMLTJKIPFFKD96DA,坡道平面,0,,地下二樓
RPVPMLSJKIPFFKD37DA,坡道機械,0,9.80,地下二樓
RPQPMLTJKIPFFKD96DA,坡道機械,0,,地下一樓
RPVNMLRJKIPFFKD07DA,坡道平面,0,26.25,地下一樓
RPWNMLNJKIPFFKD76DA,一樓平面,0,,一樓
RPUNMLMJKIPFFID88DA,坡道機械,0,,地下一樓
RPOSMLMJKIPFFHD68DA,坡道平面,1100000,21.12,地下一樓
