編號,車位類別,車位價格,車位面積(平方公尺),車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPTOMLKMKIPFFKD56CB,坡道平面,1520000,38.07,地下二樓
RPTOMLKMKIPFFKD56CB,坡道平面,1480000,38.07,地下三樓
RPTOMLPLKIPFFKD96CB,坡道平面,1560000,38.07,地下一樓
RPSOMLPLKIPFFKD86CB,坡道平面,1520000,38.07,地下二樓
RPROMLPLKIPFFKD76CB,坡道平面,1560000,38.07,地下一樓
RPUOMLKMKIPFFKD66CB,坡道平面,1520000,38.07,地下二樓
RPUOMLPLKIPFFKD07CB,坡道平面,1600000,39.32,地下一樓
RPRPMLRKKIPFFKD96CB,坡道平面,1520000,38.07,地下二樓
RPPOMLRKKIPFFKD66CB,坡道平面,1480000,38.07,地下三樓
RPPOMLRKKIPFFKD66CB,坡道平面,1480000,38.07,地下三樓
RPQOMLRKKIPFFKD76CB,坡道平面,1480000,38.07,地下三樓
RPQOMLRKKIPFFKD76CB,坡道平面,1480000,38.07,地下三樓
RPSOMLRKKIPFFKD96CB,坡道平面,1480000,38.07,地下三樓
RPWOMLRKKIPFFKD37CB,坡道平面,1560000,38.07,地下一樓
RPWPMLQLJHGGFKD09CB,坡道平面,1480000,38.07,地下三樓
RPSQMLQLJHGGFKD78CB,坡道平面,1520000,38.07,地下二樓
RPPRMLQLJHGGFKD58CB,坡道平面,1520000,38.07,地下二樓
RPQRMLQLJHGGFKD68CB,坡道平面,1520000,38.07,地下二樓
RPRRMLQLJHGGFKD78CB,坡道平面,1480000,38.07,地下三樓
RPVOMLKMKIPFFKD76CB,坡道平面,1520000,38.07,地下二樓
RPQPMLKMKIPFFKD98CB,坡道平面,1480000,38.07,地下三樓
RPTRMLQLJHGGFKD98CB,坡道平面,1560000,38.07,地下一樓
RPOPMLKMKIPFFKD78CB,坡道平面,1480000,38.07,地下三樓
RPOPMLKMKIPFFKD78CB,坡道平面,1480000,38.07,地下三樓
RPWOMLKMKIPFFKD86CB,坡道平面,1520000,38.07,地下二樓
RPWRMLQLJHGGFKD66CB,坡道平面,1560000,38.07,地下一樓
RPPSMLQLJHGGFKD68CB,坡道平面,1560000,38.07,地下一樓
RPOSMLQLJHGGFKD58CB,坡道平面,1560000,38.07,地下一樓
RPVRMLQLJHGGFKD56CB,坡道平面,1520000,38.07,地下二樓
RPVRMLQLJHGGFKD56CB,坡道平面,1520000,38.07,地下二樓
RPPPMLRLJHGGFKD48CB,坡道平面,1480000,38.07,地下三樓
RPQSMLQLJHGGFKD78CB,坡道平面,1480000,38.07,地下三樓
RPRSMLQLJHGGFKD88CB,坡道平面,1560000,38.07,一樓
RPSPMLRLJHGGFKD78CB,坡道平面,1480000,38.07,地下三樓
RPPQMLRLJHGGFKD58CB,坡道平面,1520000,38.07,地下二樓
RPPQMLRLJHGGFKD58CB,坡道平面,1520000,38.07,地下二樓
RPQQMLRLJHGGFKD68CB,坡道平面,1560000,38.07,地下一樓
RPTPMLRLJHGGFKD88CB,坡道平面,1560000,38.07,地下一樓
RPXQMLRLJHGGFKD76CB,坡道平面,1520000,38.07,地下二樓
RPRQMLRLJHGGFKD78CB,坡道平面,1520000,38.07,地下二樓
RPRQMLRLJHGGFKD78CB,坡道平面,1520000,38.07,地下二樓
RPQRMLRLJHGGFKD78CB,坡道平面,1480000,38.07,地下三樓
RPORMLRLJHGGFKD58CB,坡道平面,1560000,38.07,地下二樓
RPRRMLRLJHGGFKD88CB,坡道平面,1480000,38.07,地下三樓
RPSRMLRLJHGGFKD98CB,坡道平面,1480000,38.07,地下三樓
RPVQMLRLJHGGFKD66DB,坡道平面,1560000,38.07,地下一樓
RPSQMLRLJHGGFKD98DB,坡道平面,1480000,38.07,地下三樓
RPSQMLRLJHGGFKD98DB,坡道平面,1480000,38.07,地下三樓
RPTRMLRLJHGGFKD09CB,坡道平面,1560000,38.07,地下一樓
RPTRMLRLJHGGFKD09CB,坡道平面,1560000,38.07,地下一樓
RPOOMLSLJHGGFKD38CB,坡道平面,1560000,38.07,地下一樓
RPOOMLSLJHGGFKD38CB,坡道平面,1560000,38.07,地下一樓
RPPOMLSLJHGGFKD48CB,坡道平面,1520000,38.07,地下二樓
RPPOMLSLJHGGFKD48CB,坡道平面,1520000,38.07,地下二樓
RPQOMLSLJHGGFKD58CB,坡道平面,1560000,38.07,地下一樓
RPROMLSLJHGGFKD68CB,坡道平面,1520000,38.07,地下二樓
RPROMLSLJHGGFKD68CB,坡道平面,1520000,38.07,地下二樓
RPTOMLSLJHGGFKD88CB,坡道平面,1560000,38.07,地下一樓
RPTOMLSLJHGGFKD88CB,坡道平面,1520000,38.07,地下二樓
RPUOMLSLJHGGFKD98CB,坡道平面,1560000,38.07,地下一樓
RPVOMLSLJHGGFKD09CB,坡道平面,1520000,38.07,地下二樓
RPXPMLSLJHGGFKD76CB,坡道平面,1560000,39.32,地下二樓
RPPQMLSLJHGGFKD68CB,坡道平面,1520000,39.32,地下三樓
RPWOMLSLJHGGFKD56CB,坡道平面,1480000,38.07,地下三樓
RPWOMLSLJHGGFKD56CB,坡道平面,1520000,38.07,地下二樓
RPOQMLSLJHGGFKD58CB,坡道平面,1480000,38.07,地下三樓
RPRQMLSLJHGGFKD88CB,坡道平面,1520000,38.07,地下二樓
RPVQMLSLJHGGFKD66CB,坡道平面,1490000,36.97,地下二樓
RPTQMLSLJHGGFKD09CB,坡道平面,1520000,38.07,地下二樓
RPUQMLSLJHGGFKD56CB,坡道平面,1520000,38.07,地下二樓
RPRRMLSLJHGGFKD98CB,坡道平面,1480000,38.07,地下三樓
RPORMLSLJHGGFKD68CB,坡道平面,1480000,38.07,地下三樓
RPWQMLSLJHGGFKD76CB,坡道平面,1520000,38.07,地下二樓
RPPRMLSLJHGGFKD78CB,坡道平面,1480000,38.07,地下三樓
RPQRMLSLJHGGFKD88CB,坡道平面,1520000,39.32,地下三樓
RPWOMLTLJHGGFKD66CB,坡道平面,1480000,38.07,地下三樓
RPXOMLTLJHGGFKD76CB,坡道平面,1480000,38.07,地下三樓
RPOPMLTLJHGGFKD58CB,坡道平面,1520000,38.07,地下二樓
RPPPMLTLJHGGFKD68CB,坡道平面,1480000,38.07,地下三樓
RPSNMLLJKHGGFKD87CB,坡道平面,1520000,38.07,地下二樓
RPVNMLLJKHGGFKD18CB,坡道平面,1520000,38.07,地下二樓
RPWNMLLJKHGGFKD28CB,坡道平面,1560000,39.32,地下二樓
RPQPMLTLJHGGFKD78CB,坡道平面,1520000,38.07,地下二樓
RPXNMLLJKHGGFKD38CB,坡道平面,1520000,38.07,地下二樓
RPXNMLLJKHGGFKD38CB,坡道平面,1560000,38.07,地下一樓
RPQOMLLJKHGGFKD77CB,坡道平面,1520000,39.32,地下三樓
RPOOMLLJKHGGFKD57CB,坡道平面,1480000,38.07,地下三樓
RPROMLLJKHGGFKD87CB,坡道平面,1480000,38.07,地下三樓
RPTOMLLJKHGGFKD08CB,坡道平面,1520000,38.07,地下二樓
RPTOMLLJKHGGFKD08CB,坡道平面,1480000,38.07,地下三樓
RPUPMLLJKHGGFKD28CB,坡道平面,1520000,38.07,地下二樓
RPTPMLLJKHGGFKD18CB,坡道平面,1520000,38.07,地下二樓
RPUOMLLJKHGGFKD18CB,坡道平面,1560000,38.07,地下一樓
RPXPMLLJKHGGFKD58CB,坡道平面,1480000,38.07,地下三樓
RPQQMLLJKHGGFKD97CB,坡道平面,1480000,38.07,地下三樓
RPRQMLLJKHGGFKD08CB,坡道平面,1560000,39.32,地下二樓
RPPQMLLJKHGGFKD87CB,坡道平面,1520000,38.07,地下二樓
RPQNMLMJKHGGFKD77CB,坡道平面,1480000,38.07,地下三樓
RPRNMLMJKHGGFKD87CB,坡道平面,1520000,38.07,地下二樓
RPSNMLMJKHGGFKD97CB,坡道平面,1480000,38.07,地下三樓
RPVNMLMJKHGGFKD28CB,坡道平面,1480000,38.07,地下三樓
RPTNMLMJKHGGFKD08CB,坡道平面,1560000,39.32,地下二樓
RPUNMLMJKHGGFKD18CB,坡道平面,1480000,38.07,地下三樓
RPOOMLMJKHGGFKD67CB,坡道平面,1520000,38.07,地下二樓
RPXNMLMJKHGGFKD48CB,坡道平面,1480000,38.07,地下三樓
RPWNMLMJKHGGFKD38CB,坡道平面,1480000,38.07,地下三樓
RPQOMLMJKHGGFKD87CB,坡道平面,1480000,38.07,地下三樓
RPROMLMJKHGGFKD97CB,坡道平面,1480000,38.07,地下三樓
RPSOMLMJKHGGFKD08CB,坡道平面,1520000,39.32,地下三樓
RPUOMLMJKHGGFKD28CB,坡道平面,1480000,38.07,地下三樓
RPVOMLMJKHGGFKD38CB,坡道平面,1520000,38.07,地下二樓
RPTOMLMJKHGGFKD18CB,坡道平面,1560000,38.07,地下一樓
RPXOMLMJKHGGFKD58CB,坡道平面,1480000,38.07,地下三樓
RPWOMLMJKHGGFKD48CB,坡道平面,1480000,38.07,地下三樓
RPQOMLPJKHGGFKD18CB,坡道平面,1480000,38.07,地下三樓
RPOOMLPJKHGGFKD97CB,坡道平面,1520000,39.32,地下三樓
RPOOMLKLKHGGFBD76CB,坡道平面,1450000,24.69,地下一樓
RPPOMLKLKHGGFBD86CB,坡道平面,1400000,24.69,地下二樓
RPQOMLKLKHGGFBD96CB,坡道平面,1450000,24.69,地下一樓
RPROMLKLKHGGFBD07CB,坡道平面,1450000,24.69,地下一樓
