鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中西區,建物,臺南市中西區湖美街61~90號,0.0,其他,,,1091124,土地0建物1車位0,見其他登記事項,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0871203,74.66,0,1,1,有,有,無,16800,225,,0.0,0,,RPRNMLLKKIPFFAD87CC
中西區,建物,臺南市中西區北門路一段91~120號,0.0,商,,,1091201,土地0建物1車位0,一層,11,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0850829,22.02,0,0,0,無,有,無,15000,681,,0.0,0,租賃範圍不含車位，且無法區分車位面積。；含管理費、稅金或水電等費用。；,RPTNMLLKKIPFFAD08CC
北區,建物,臺南市北區長榮路五段91~120號,0.0,住,,,1091130,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),,鋼筋混凝土造,0680319,96.77000000000001,3,2,2,有,有,有,13365,138,,0.0,0,參加臺南市社會住宅包租代管試辦計畫，租金為市價9折,RPUNMLLKKIPFFAD18CC
北區,房地(土地+建物),臺南市北區北園街31~60號,8.31,商,,,1091115,土地1建物1車位0,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870420,64.78,2,1,1,有,有,有,14000,216,,0.0,0,,RPVNMLLKKIPFFAD28CC
中西區,建物,臺南市中西區武聖路68巷40弄1~30號,0.0,其他,,,1091201,土地0建物1車位0,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831108,101.68,3,2,2,有,無,有,13000,128,,0.0,0,參加臺南市社會住宅包租代管第2期計畫，租金為市價9折,RPOOMLLKKIPFFAD67CC
中西區,建物,臺南市中西區湖美一街151~180號,0.0,住,,,1091202,土地0建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0820326,249.27,5,2,4,有,無,有,19900,80,,0.0,0,參加臺南市社會住宅包租代管第2期計畫，租金為市價9折,RPQOMLLKKIPFFAD87CC
北區,建物,臺南市北區開元路212巷31~60號,0.0,商,,,1091201,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800422,33.21,1,0,1,有,無,有,5500,166,,0.0,0,參加臺南市社會住宅包租代管第2期計畫，租金為市價9折,RPROMLLKKIPFFAD97CC
北區,建物,臺南市北區開元路485巷1~30號,0.0,商,,,1091201,土地0建物1車位0,五層,14,住宅大樓(11層含以上有電梯),國民住宅,鋼筋混凝土造,0880401,109.24,3,2,2,有,無,有,16200,148,,0.0,0,參加臺南市社會住宅包租代管第2期計畫，租金為市價9折,RPSOMLLKKIPFFAD08CC
中西區,房地(土地+建物),臺南市中西區中華西路二段661~690號,97.71,住,,,1091124,土地1建物1車位0,全,5,透天厝,見其他登記事項,見其他登記事項,0941226,287.86,5,2,4,有,無,有,34500,120,,0.0,0,,RPTOMLLKKIPFFAD18CC
中西區,建物,臺南市中西區金華路三段211~240號,0.0,商,,,1091129,土地0建物1車位0,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0750121,32.43,1,1,1,有,有,有,7000,216,,0.0,0,,RPXOMLLKKIPFFAD58CC
東區,建物,臺南市東區中華東路一段1~30號,0.0,商,,,1091201,土地0建物1車位0,七層,14,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0930712,83.42,1,1,1,有,無,有,12500,150,,0.0,0,參加臺南市社會住宅包租代管第2期計畫，租金為市價9折,RPUNMLLKKIPFFCD38CC
東區,建物,臺南市東區中華東路二段151~180號,0.0,住,,,1091201,土地0建物1車位0,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970229,44.89,1,0,1,有,無,有,8200,183,,0.0,0,參加臺南市社會住宅包租代管第2期計畫，租金為市價9折,RPVNMLLKKIPFFCD48CC
南區,房地(土地+建物),臺南市南區中華西路一段1~30號,4954.0,工,,,1091113,土地1建物1車位0,見其他登記事項,1,廠辦,見其他登記事項,加強磚造,0671215,5633.72,0,0,0,無,無,無,730000,130,,0.0,0,,RPROMLLKKIPFFCD18CC
安南區,建物,臺南市安南區城西街二段146巷1~30號,0.0,住,,,1091210,土地0建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,1080114,155.97,5,2,3,有,無,有,16000,103,,0.0,0,參加臺南市社會住宅包租代管第2期計畫，租金為市價9折,RPROMLLKKIPFFBD08CC
