編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPTNMLLKKIPFFAD08CC,24,22.02,見其他登記事項,鋼筋混凝土造,85年8月29日,十一層,
RPRNMLLKKIPFFAD87CC,22,74.66,見其他登記事項,鋼筋混凝土造,87年12月3日,十四層,
RPVNMLLKKIPFFAD28CC,23,51.42,住家用,鋼筋混凝土造,87年4月20日,十四層,
RPVNMLLKKIPFFAD28CC,23,6.80,共有部分,鋼筋混凝土造,87年4月20日,十四層,
RPVNMLLKKIPFFAD28CC,23,6.56,共有部分,鋼筋混凝土造,87年4月20日,十四層,
RPUNMLLKKIPFFAD18CC,42,88.34,,鋼筋混凝土造,68年3月19日,四層,
RPUNMLLKKIPFFAD18CC,42,3.71,共有部分,鋼筋混凝土造,68年3月19日,四層,
RPUNMLLKKIPFFAD18CC,42,4.72,共有部分,鋼筋混凝土造,68年3月19日,四層,
RPROMLLKKIPFFAD97CC,30,25.99,住家用,鋼筋混凝土造,80年4月22日,七層,
RPROMLLKKIPFFAD97CC,30,7.22,共有部分,鋼筋混凝土造,80年4月22日,七層,
RPOOMLLKKIPFFAD67CC,26,78.86,住家用,鋼筋混凝土造,83年11月8日,十二層,
RPOOMLLKKIPFFAD67CC,26,10.25,共有部分,鋼筋混凝土造,83年11月8日,十二層,
RPOOMLLKKIPFFAD67CC,26,12.57,共有部分,鋼筋混凝土造,83年11月8日,十二層,
RPSOMLLKKIPFFAD08CC,22,89.41,國民住宅,鋼筋混凝土造,88年4月1日,十四層,
RPSOMLLKKIPFFAD08CC,22,7.19,共有部分,鋼筋混凝土造,88年4月1日,十四層,
RPSOMLLKKIPFFAD08CC,22,12.64,共有部分,鋼筋混凝土造,88年4月1日,十四層,
RPTOMLLKKIPFFAD18CC,15,287.86,見其他登記事項,見其他登記事項,94年12月26日,五層,
RPXOMLLKKIPFFAD58CC,35,26.88,住家用,鋼筋混凝土造,75年1月21日,十二層,
RPXOMLLKKIPFFAD58CC,35,5.55,共有部分,鋼筋混凝土造,75年1月21日,十二層,
RPOOMLLKKIPFFHD38CC,13,114.55,住家用,鋼筋混凝土造,96年9月27日,十二層,
RPOOMLLKKIPFFHD38CC,13,15.64,見其他登記事項,鋼筋混凝土造,96年9月27日,十二層,
RPOOMLLKKIPFFHD38CC,13,43.81,見其他登記事項,鋼筋混凝土造,96年9月27日,一層,
RPOPMLLKKIPFFBD87CC,1,79.61,見其他登記事項,鋼筋混凝土造,109年1月14日,十四層,
RPOPMLLKKIPFFBD87CC,1,62.97,見其他登記事項,鋼筋混凝土造,109年1月14日,十四層,
RPQOMLLKKIPFFAD87CC,28,249.27,住家用,鋼筋混凝土造,82年3月26日,四層,
RPROMLLKKIPFFBD08CC,2,155.97,見其他登記事項,鋼筋混凝土造,108年1月14日,三層,
RPUPMLLKKIPFFKD76CC,26,106.33,見其他登記事項,鋼筋混凝土造,84年2月28日,十三層,
RPUPMLLKKIPFFKD76CC,26,38.61,共有部分,鋼筋混凝土造,84年2月28日,十三層,
RPPOMLLKKIPFFKD78CC,8,217.05,住家用,見其他登記事項,101年12月6日,四層,
RPPOMLLKKIPFFKD78CC,8,.36,見其他登記事項,見其他登記事項,101年12月6日,四層,
RPQOMLLKKIPFFKD88CC,27,24.10,住家用,鋼筋混凝土造,82年12月28日,七層,
RPQOMLLKKIPFFKD88CC,27,8.21,共有部分,鋼筋混凝土造,82年12月28日,七層,
RPROMLLKKIPFFKD98CC,2,61.93,住家用,見其他登記事項,108年3月15日,十五層,
RPROMLLKKIPFFKD98CC,2,28.68,見其他登記事項,見其他登記事項,108年3月15日,十五層,
RPQNMLMKKIPFFDD18CC,2,132.20,住商用,鋼筋混凝土造,108年1月16日,四層,
RPPNMLMKKIPFFDD08CC,5,47.41,住商用,鋼筋混凝土造,105年3月31日,四層,
RPQNMLOKKIPFFHD78CC,14,32.49,住家用,鋼筋混凝土造,95年6月7日,五層,
RPWNMLOKKIPFFAD68CC,24,29.58,住家用,鋼筋混凝土造,85年9月5日,十二層,
RPWNMLOKKIPFFAD68CC,24,6.46,共有部分,鋼筋混凝土造,85年9月5日,十二層,
RPWNMLOKKIPFFAD68CC,24,2.05,見其他登記事項,鋼筋混凝土造,85年9月5日,十二層,
RPROMLOKKIPFFKD66CC,25,148.22,見其他登記事項,鋼筋混凝土造,85年4月8日,十四層,
RPROMLLKKIPFFDD38DC,5,47.41,住商用,鋼筋混凝土造,105年3月31日,四層,
RPUNMLLKKIPFFCD38CC,16,42.93,住家用,見其他登記事項,93年7月12日,十四層,
RPUNMLLKKIPFFCD38CC,16,7.90,共有部分,見其他登記事項,93年7月12日,十四層,
RPUNMLLKKIPFFCD38CC,16,32.59,共有部分,見其他登記事項,93年7月12日,十四層,
RPROMLLKKIPFFCD18CC,42,5633.72,見其他登記事項,加強磚造,67年12月15日,二層,
RPTOMLPKKIPFFAD58CC,48,274.20,住家用,加強磚造,61年10月17日,三層,
RPVNMLLKKIPFFCD48CC,13,29.06,住家用,鋼筋混凝土造,97年2月29日,十四層,
RPVNMLLKKIPFFCD48CC,13,7.24,共有部分,鋼筋混凝土造,97年2月29日,十四層,
RPVNMLLKKIPFFCD48CC,13,8.59,共有部分,鋼筋混凝土造,97年2月29日,十四層,
RPOOMLOKKIPFFAD97CC,5,72.67,見其他登記事項,見其他登記事項,104年11月5日,二十四層,
RPOOMLOKKIPFFAD97CC,5,30.75,見其他登記事項,見其他登記事項,104年11月5日,二十四層,
RPVOMLOKKIPFFAD68CC,45,84.54,住家用,加強磚造,64年12月18日,一層,
RPPPMLOKKIPFFAD18CC,27,70.85,住家用,鋼筋混凝土造,82年7月24日,十二層,
RPPPMLOKKIPFFAD18CC,27,17.84,共有部分,鋼筋混凝土造,82年7月24日,十二層,
RPTOMLPKKIPFFKD96CC,31,225.33,住商用,鋼筋混凝土造,78年10月9日,三層,
RPSNMLPKKIPFFKD76CC,26,28.07,住家用,鋼筋混凝土造,84年5月11日,十四層,
RPSNMLPKKIPFFKD76CC,26,5.71,共有部分,鋼筋混凝土造,84年5月11日,十四層,
RPSNMLPKKIPFFKD76CC,26,6.31,共有部分,鋼筋混凝土造,84年5月11日,十四層,
RPUOMLLKKIPFFID09CC,2,161.70,見其他登記事項,見其他登記事項,107年8月7日,一層,
RPOOMLPKKIPFFBD18CC,8,232.06,見其他登記事項,鋼筋混凝土造,101年12月5日,四層,
RPWPMLPKKIPFFAD98CC,5,92.02,見其他登記事項,見其他登記事項,105年6月4日,二十七層,
RPWPMLPKKIPFFAD98CC,5,87.24,見其他登記事項,見其他登記事項,105年6月4日,二十七層,
RPWPMLPKKIPFFAD98CC,5,23.89,見其他登記事項,見其他登記事項,105年6月4日,二十七層,
RPSOMLPKKIPFFAD58DC,5,406.29,見其他登記事項,見其他登記事項,104年9月4日,三層,
RPOOMLPKKIPFFID88CC,10,213.64,住商用,鋼筋混凝土造,100年4月21日,四層,
RPRNMLQKKIPFFHD09CC,28,291.78,見其他登記事項,鋼筋混凝土造,81年11月9日,三層,
RPTNMLPKKIPFFFD98CC,32,329.51,見其他登記事項,見其他登記事項,78年4月6日,一層,
RPTOMLQKKIPFFAD68CC,39,122.69,住家用,鋼筋混凝土造,70年12月8日,七層,
RPTOMLQKKIPFFAD68CC,39,21.80,共有部分,鋼筋混凝土造,70年12月8日,七層,
RPXOMLQKKIPFFAD09CC,14,26.69,見其他登記事項,見其他登記事項,95年7月13日,十一層,
RPXOMLQKKIPFFAD09CC,14,4.30,共有部分,見其他登記事項,95年7月13日,十一層,
RPXOMLQKKIPFFAD09CC,14,7.12,共有部分,見其他登記事項,95年7月13日,十一層,
RPXOMLQKKIPFFAD09CC,14,.01,共有部分,見其他登記事項,95年7月13日,十一層,
RPSPMLQKKIPFFAD68CC,30,19.55,住家用,鋼筋混凝土造,79年6月15日,六層,
RPSPMLQKKIPFFAD68CC,30,4.80,共有部分,鋼筋混凝土造,79年6月15日,六層,
RPSPMLQKKIPFFAD68CC,30,4.41,共有部分,鋼筋混凝土造,79年6月15日,六層,
RPPOMLQKKIPFFKD66CC,,254.70,見其他登記事項,見其他登記事項,109年6月23日,一層,
RPQNMLQKKIPFFKD66CC,25,58.77,住家用,鋼筋混凝土造,85年4月26日,六層,
RPQNMLQKKIPFFKD66CC,25,5.76,共有部分,鋼筋混凝土造,85年4月26日,六層,
RPQNMLQKKIPFFKD66CC,25,17.42,共有部分,鋼筋混凝土造,85年4月26日,六層,
RPTOMLQKKIPFFKD07CC,46,66.70,住家用,加強磚造,63年9月1日,一層,
RPTQMLQKKIPFFAD88CC,37,125.86,住家用,鋼筋混凝土造,72年11月30日,五層,
RPTQMLQKKIPFFAD88CC,37,20.48,共有部分,鋼筋混凝土造,72年11月30日,五層,
RPQOMLQKKIPFFCD58CC,14,19.83,見其他登記事項,鋼筋混凝土造,96年4月27日,五層,
RPTOMLQKKIPFFCD88CC,11,58.65,住家用,鋼筋混凝土造,99年2月3日,十四層,
RPTOMLQKKIPFFCD88CC,11,15.06,見其他登記事項,鋼筋混凝土造,99年2月3日,十四層,
RPTOMLQKKIPFFCD88CC,11,7.86,見其他登記事項,鋼筋混凝土造,99年2月3日,十四層,
RPRNMLQKKIPFFCD58CC,38,87.02,見其他登記事項,鋼筋混凝土造,71年11月29日,五層,
RPRNMLQKKIPFFCD58CC,38,6.22,共有部分,鋼筋混凝土造,71年11月29日,五層,
RPTNMLQKKIPFFCD78CC,25,60.47,住家用,鋼筋混凝土造,84年11月6日,二十層,
RPTNMLQKKIPFFCD78CC,25,12.69,共有部分,鋼筋混凝土造,84年11月6日,二十層,
RPTNMLQKKIPFFCD78CC,25,17.23,共有部分,鋼筋混凝土造,84年11月6日,二十層,
RPXNMLRKKIPFFCD66CC,26,75.21,住家用,鋼筋混凝土造,83年10月28日,七層,
RPXNMLRKKIPFFCD66CC,26,33.24,共有部分,鋼筋混凝土造,83年10月28日,八層,
RPWNMLRKKIPFFCD56CC,39,82.09,住家用,鋼筋混凝土造,70年12月8日,三層,
RPVNMLRKKIPFFCD09CC,39,172.70,住商用,鋼筋混凝土造,70年9月29日,五層,
RPVNMLRKKIPFFCD09CC,39,19.63,見其他登記事項,鋼筋混凝土造,70年9月29日,五層,
RPOPMLRKKIPFFCD58CC,4,158.63,見其他登記事項,鋼筋混凝土造,105年12月1日,七層,
RPVNMLRKKIPFFCD09CC,39,20.83,見其他登記事項,鋼筋混凝土造,70年9月29日,五層,
RPOPMLRKKIPFFCD58CC,4,81.61,見其他登記事項,鋼筋混凝土造,105年12月1日,七層,
RPWOMLRKKIPFFCD66CC,41,194.58,住商用,鋼筋混凝土造,69年5月5日,四層,
RPSNMLQKKIPFFID66CC,11,62.21,住商用,鋼筋混凝土造,99年1月19日,四層,
RPQNMLRKKIPFFKD76CC,25,57.21,住家用,鋼筋混凝土造,85年4月26日,六層,
RPQNMLRKKIPFFKD76CC,25,5.28,共有部分,鋼筋混凝土造,85年4月26日,六層,
RPQNMLRKKIPFFKD76CC,25,18.75,共有部分,鋼筋混凝土造,85年4月26日,六層,
RPUNMLRKKIPFFKD17CC,,254.70,見其他登記事項,見其他登記事項,109年6月23日,一層,
RPWNMLRKKIPFFKD37CC,34,245.66,農舍,加強磚造,75年8月4日,二層,
RPOOMLRKKIPFFKD66CC,10,49.91,住商用,見其他登記事項,100年5月20日,三層,
RPPOMLRKKIPFFHD09CC,15,228.99,見其他登記事項,鋼筋混凝土造,94年9月5日,三層,
RPVPMLRKKIPFFCD66CC,25,91.86,住家用,鋼筋混凝土造,84年11月6日,二十層,
RPVPMLRKKIPFFCD66CC,25,13.66,共有部分,鋼筋混凝土造,84年11月6日,二十層,
RPVPMLRKKIPFFCD66CC,25,40.94,共有部分,鋼筋混凝土造,84年11月6日,二十層,
RPOOMLPKKIPFFCD38DC,3,62.28,見其他登記事項,鋼筋混凝土造,106年8月7日,四層,
RPTOMLRKKIPFFKD27DC,27,28.93,共有部分,鋼筋混凝土造,82年12月30日,九層,
RPTOMLRKKIPFFKD27DC,27,23.34,住家用,鋼筋混凝土造,82年12月30日,九層,
RPPOMLRKKIPFFAD48DC,36,47.35,住家用,鋼筋混凝土造,73年12月28日,十四層,
RPPOMLRKKIPFFAD48DC,36,15.81,共有部分,鋼筋混凝土造,73年12月28日,十四層,
RPXNMLRKKIPFFAD09CC,13,91.90,見其他登記事項,鋼筋混凝土造,97年3月6日,五層,
RPUOMLRKKIPFFAD98DC,36,14.04,商業用,鋼筋混凝土造,73年12月28日,十四層,
RPUOMLRKKIPFFAD98DC,36,13.61,共有部分,鋼筋混凝土造,73年12月28日,十四層,
RPSNMLRKKIPFFAD58CC,16,337.61,見其他登記事項,見其他登記事項,94年4月15日,一層,
