編號,車位類別,車位價格,車位面積(平方公尺),車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPWPMLPKKIPFFAD98CC,坡道平面,0,36.02,
RPQNMLQKKIPFFKD66CC,坡道平面,0,,
RPXNMLRKKIPFFCD66CC,升降機械,0,,
RPVPMLRKKIPFFCD66CC,坡道平面,0,,
RPQPMLSKKIPFFKD07CC,坡道平面,0,25.59,
RPRNMLLLKIPFFCD18CC,坡道平面,0,,
RPROMLRKKIPFFKD96CC,坡道機械,0,,
RPQNMLLLKIPFFAD87CC,坡道平面,0,,
RPVOMLLLKIPFFKD86CC,坡道平面,0,66.15,
RPQPMLMLKIPFFAD18CC,坡道機械,0,23.36,
RPOQMLNLKIPFFAD18CC,坡道平面,0,27.86,
RPOQMLNLKIPFFAD18CC,坡道平面,0,27.86,
RPTOMLPLKIPFFAD68CC,坡道平面,0,30.66,
RPSNMLKMKIPFFKD09CC,坡道機械,0,,
RPPNMLNJJHGGFKD77CC,坡道平面,0,43.48,
RPXOMLOJJHGGFCD97CC,坡道平面,0,35.45,
RPUOMLRJJHGGFKD78CC,一樓平面,0,,
RPPOMLSJJHGGFAD47DC,坡道平面,0,,
RPWNMLNKJHGGFBD67CC,坡道平面,0,29.44,
RPWPMLNKJHGGFAD77CC,坡道平面,0,30.50,
RPSNMLNKJHGGFBD27CC,一樓平面,0,,
RPTNMLOKJHGGFCD57CC,坡道平面,0,,
RPWNMLOKJHGGFCD87CC,坡道平面,0,,
RPROMLPKJHGGFCD57CC,升降機械,0,,
RPSPMLTKJHGGFAD97CC,坡道機械,2500,8.28,
RPVPMLKLJHGGFAD47CC,其他,0,,
RPTOMLKLJHGGFAD17CC,坡道平面,0,31.99,
RPTOMLKLJHGGFAD17CC,其他,0,,
RPPOMLKLJHGGFCD96CC,坡道平面,0,16.59,
RPROMLLLJHGGFID87CC,坡道平面,0,,
RPROMLLLJHGGFID87CC,其他,0,,
RPTNMLMLJHGGFCD47CC,坡道平面,0,,
RPPNMLNLJHGGFAD96CC,坡道平面,0,31.89,
RPTNMLPLJHGGFAD57CC,坡道平面,0,,
RPSNMLQLJHGGFCD77CC,一樓平面,0,,
RPWNMLQLJHGGFCD18CC,坡道平面,0,,
RPXNMLQLJHGGFCD28CC,坡道平面,0,31.73,
RPOOMLQLJHGGFAD27CC,坡道平面,0,30.66,
RPVOMLRLJHGGFKD09CC,坡道平面,0,23.15,
RPXNMLRLJHGGFAD18CC,坡道平面,0,30.66,
RPXNMLRLJHGGFAD18CC,其他,0,,
RPSNMLQLJHGGFHD28CC,坡道平面,0,,
RPRPMLSLJHGGFAD87CC,一樓平面,0,,
RPUNMLSLJHGGFAD97CC,坡道平面,0,33.37,
RPROMLLJKHGGFCD17CC,坡道平面,0,32.15,
RPSNMLMJKHGGFHD87DC,坡道平面,0,17.58,
RPQNMLNJKHGGFID77CC,一樓平面,0,,
RPPNMLNJKHGGFID67CC,一樓平面,0,,
RPVNMLPJKHGGFCD87CC,坡道平面,0,,
RPUOMLPJKHGGFCD87CC,坡道機械,0,21.50,
RPVOMLPJKHGGFCD97CC,升降機械,0,,
RPQNMLQJKHGGFKD28CC,坡道平面,0,,
RPRNMLQJKHGGFKD38CC,坡道平面,0,,
RPPNMLQJKHGGFCD37CC,坡道機械,0,,
RPUPMLSKKHGGFAD18CC,坡道平面,0,,
RPTPMLTJKHGGFAD08CC,坡道平面,0,,
RPUOMLMLKHGGFAD57CC,坡道平面,0,30.66,
RPQQMLNLKHGGFAD57DC,坡道平面,0,34.69,
RPWNMLNLKHGGFAD77CC,坡道平面,0,,
RPWNMLNLKHGGFAD77CC,坡道平面,0,,
RPWNMLNLKHGGFAD77CC,坡道平面,0,,
RPUOMLNLKHGGFAD67CC,坡道平面,0,,
RPUNMLOLKHGGFCD87CC,坡道平面,0,,
RPSQMLNLKHGGFAD67CC,坡道平面,0,32.55,
RPUOMLOLKHGGFAD77CC,坡道機械,0,24.21,
RPUOMLOLKHGGFAD77CC,坡道機械,0,24.21,
RPUOMLOLKHGGFAD77CC,坡道機械,0,24.21,
RPUOMLOLKHGGFAD77CC,坡道機械,0,24.21,
RPVNMLPLKHGGFHD58CC,一樓平面,0,,
RPOOMLPLKHGGFHD97CC,一樓平面,0,,
RPPOMLQLKHGGFCD67CC,一樓平面,0,,
RPRRMLQLKHGGFKD98CC,坡道平面,0,,
RPTRMLQLKHGGFKD56CC,坡道平面,0,,
RPVTMLNJLHGGFKD56CC,一樓平面,0,13.80,
RPWOMLNJLHGGFHD48CC,一樓平面,0,16.59,
RPTQMLNJLHGGFCD87CC,坡道平面,0,,
RPOPMLNJLHGGFAD07CC,坡道平面,0,32.55,
RPTOMLOJLHGGFCD77CC,坡道平面,0,29.01,
RPPOMLKKLHGGFAD86CC,坡道平面,0,26.52,
RPOOMLSJLHGGFHD18CC,坡道平面,0,18.42,
RPVNMLKKLHGGFAD37CC,坡道平面,0,31.89,
RPSOMLTJLHGGFAD97CC,坡道平面,0,30.66,
