鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
鹽埕區,房地(土地+建物)+車位,大公路91~120號,10.7,都市：其他:第五種商業區,,,1070731,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1090515,154.73000000000002,0,0,0,無,有,9930000,62753,坡道平面,16.41,1250000,,RPUNMLKMIIPFFAE08DA,80.91,11.13,0.0,有,
鹽埕區,房地(土地+建物)+車位,大公路91~120號,6.69,都市：其他:第五種商業區,,,1070731,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1090515,100.22999999999999,0,0,0,無,有,6310000,60830,坡道機械,5.54,550000,,RPWNMLKMIIPFFAE28DA,53.18,10.11,0.0,有,
鹽埕區,房地(土地+建物),大公路91~120號,4.45,都市：其他:第五種商業區,,,1070731,土地1建物1車位0,十三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1090515,66.95,0,0,0,無,有,3780000,56460,,0.0,0,,RPOOMLKMIIPFFAE57DA,40.36,3.81,0.0,有,
鹽埕區,房地(土地+建物),大公路91~120號,4.63,都市：其他:第五種商業區,,,1070731,土地1建物1車位0,十三層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1090515,69.71000000000001,0,0,0,無,有,3940000,56520,,0.0,0,,RPPOMLKMIIPFFAE67DA,41.76,4.2,0.0,有,
鼓山區,房地(土地+建物)+車位,美術東七街91~120號,14.89,都市：其他:特定第四種商業區,,,1091011,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950220,157.95,3,2,2,有,有,11000000,69642,坡道平面,17.14,0,,RPRNMLNJJIPFFAE87DA,87.32,1.4,8.05,有,
前金區,房地(土地+建物)+車位,民生二路121~150號,17.67,都市：其他:第五種商業區,,,1091108,土地2建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0901016,248.78,4,2,2,有,有,16680000,67047,坡道平面,25.86,0,,RPQNMLNKJIPFFAE87DA,144.18,14.1,0.0,有,
鼓山區,房地(土地+建物)+車位,美術南一街91~120號,40.39,都市：其他:特定第五種住宅區,,,1091101,土地1建物1車位2,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020710,358.89,3,2,2,有,有,22300000,62136,坡道平面,74.98,0,,RPWNMLOLJIPFFAE68DA,150.49,34.77,0.0,有,00001
鼓山區,房地(土地+建物)+車位,美術南三路211~240號,25.58,都市：其他:特定第五種住宅區,,,1091114,土地1建物1車位1,二十三層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950221,267.8,4,2,2,有,有,17800000,66468,坡道平面,16.22,0,,RPQOMLLJKIPFFAE77DA,154.63,19.53,0.0,有,00002
鹽埕區,房地(土地+建物),大公路91~120號,4.96,都市：其他:第五種商業區,,,1091008,土地1建物1車位0,十四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1090515,66.95,0,0,0,無,有,4690000,70052,,0.0,0,,RPOPMLLJKIPFFAE67DA,40.36,3.81,0.0,有,
