交易標的,土地區段位置/建物區段門牌,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,屋齡,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位總價(元),移轉編號
transaction sign,land sector position building sector house number plate,transaction year month and day,transaction pen number,shifting level,total floor number,building state,room age,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth total price NTD,
房地(土地+建物)+車位,高雄市鼓山區美術南一街91~120號,1070427,土地1建物1車位2,十三層,十四層,住宅大樓(11層含以上有電梯),5,358.89,3,2,2,有,有,22023000,68056,2700000,00001
房地(土地+建物)+車位,美術南一街91~120號,1091101,土地1建物1車位2,十三層,十四層,住宅大樓(11層含以上有電梯),7,358.89,3,2,2,有,有,22300000,62136,0,00001
房地(土地+建物)+車位,高雄市鹽埕區美術南三路211~240號,1011215,土地1建物1車位1,二十三層,二十五層,住宅大樓(11層含以上有電梯),7,267.8,4,2,2,有,有,17550000,65534,0,00002
房地(土地+建物)+車位,美術南三路211~240號,1091114,土地1建物1車位1,二十三層,二十五層,住宅大樓(11層含以上有電梯),15,267.8,4,2,2,有,有,17800000,66468,0,00002
房地(土地+建物)+車位,高雄市鼓山區文忠路61~90號,1051003,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),1,108.64,2,2,1,有,有,8500000,78240,0,00003
房地(土地+建物)+車位,文忠路61~90號,1091125,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),5,108.64,2,2,1,有,有,8200000,72934,1000000,00003
房地(土地+建物)+車位,高雄市前金區市中一路91~120號,1040419,土地1建物1車位1,二十層,二十二層,住宅大樓(11層含以上有電梯),13,99.45,1,1,1,有,有,5360000,53896,0,00004
房地(土地+建物)+車位,市中一路91~120號,1091128,土地1建物1車位1,二十層,二十二層,住宅大樓(11層含以上有電梯),18,99.45,1,1,1,有,有,5300000,53293,0,00004
房地(土地+建物),高雄市前金區八德二路181~210號,1030424,土地2建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),19,52.65,2,1,1,有,無,1550000,29440,0,00005
房地(土地+建物),八德二路181~210號,1091102,土地2建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),25,52.65,2,1,1,有,有,2450000,46534,0,00005
房地(土地+建物),八德二路181~210號,1091231,土地2建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),25,52.65,2,1,1,有,有,2600000,49383,0,00005
房地(土地+建物),高雄市新興區八德一路181~210號,1060801,土地1建物1車位0,十一層,十二層,套房(1房1廳1衛),36,41.730000000000004,1,1,1,有,無,1260000,30194,0,00006
房地(土地+建物),八德一路181~210號,1091128,土地1建物1車位0,十一層,十二層,住宅大樓(11層含以上有電梯),40,41.730000000000004,1,1,1,有,有,1450000,34747,0,00006
房地(土地+建物),高雄市苓雅區中正一路175巷1~30號,1080901,土地1建物1車位0,二層,五層,華廈(10層含以下有電梯),31,166.93,4,2,3,有,有,4000000,23962,0,00007
房地(土地+建物),中正一路175巷1~30號,1091116,土地1建物1車位0,二層,五層,華廈(10層含以下有電梯),32,166.93,4,2,3,有,無,7350000,44030,0,00007
土地,青島段一小段1171~1200地號,1091117,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1850000,53623,0,00008
土地,青島段一小段1171~1200地號,1091207,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1850000,53623,0,00008
房地(土地+建物),高雄市三民區正忠路451巷1~30號,1070207,土地1建物1車位0,全,二層,透天厝,43,71.44,3,2,3,有,無,4000000,55991,0,00009
房地(土地+建物),正忠路451巷1~30號,1091028,土地1建物1車位0,全,二層,透天厝,46,71.44,8,8,3,有,有,9700000,135778,0,00009
房地(土地+建物)+車位,高雄市三民區正興路163巷1~30號,1031213,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),15,207.72,4,2,2,有,有,10380000,49971,0,00010
房地(土地+建物)+車位,正興路163巷1~30號,1091102,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),21,207.72,4,2,2,有,有,11380000,54785,0,00010
房地(土地+建物),鼎華路151~180號,1091123,土地2建物1車位0,六層,十七層,住宅大樓(11層含以上有電梯),26,107.32,3,2,2,有,有,3380000,31495,0,00011
房地(土地+建物),鼎華路151~180號,1100109,土地2建物1車位0,六層,十七層,住宅大樓(11層含以上有電梯),26,107.32,3,2,2,有,有,4750000,44260,0,00011
房地(土地+建物),大順二路661~690號,1071030,土地1建物1車位0,十一層,十五層,住宅大樓(11層含以上有電梯),0,77.06,2,1,1,有,有,5230000,67869,0,00012
房地(土地+建物),大順二路661~690號,1100210,土地1建物1車位0,十一層,十五層,住宅大樓(11層含以上有電梯),0,77.06,2,1,1,有,有,5380000,69816,0,00012
房地(土地+建物)+車位,高雄市三民區褒揚東街31~60號,1060717,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),1,162.07,3,2,2,有,有,12180000,75153,0,00013
房地(土地+建物)+車位,褒揚東街31~60號,1091121,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),4,162.07,3,2,2,有,有,12600000,77744,0,00013
房地(土地+建物),高雄市三民區德山街35巷1~30號,1030408,土地1建物2車位0,十五層,十八層,住宅大樓(11層含以上有電梯),21,114.3,3,2,2,有,有,3120000,27297,0,00014
房地(土地+建物),高雄市三民區德山街35巷1~30號,1030730,土地1建物2車位0,十五層,十八層,住宅大樓(11層含以上有電梯),21,114.3,2,2,2,有,有,4390000,38408,0,00014
房地(土地+建物)+車位,德山街35巷1~30號,1091115,土地1建物1車位1,十五層,十八層,住宅大樓(11層含以上有電梯),27,114.3,2,1,1,有,有,5250000,45932,0,00014
房地(土地+建物),高雄市三民區北平二街8巷1~30號,1030922,土地1建物1車位0,一層，騎樓，夾層,五層,公寓(5樓含以下無電梯),34,57.99,2,2,2,有,無,3100000,53457,0,00015
房地(土地+建物),北平二街8巷1~30號,1090630,土地1建物1車位0,一層，騎樓，夾層,五層,公寓(5樓含以下無電梯),39,57.99,2,2,2,有,無,3750000,64666,0,00015
房地(土地+建物),北平二街8巷1~30號,1091031,土地1建物1車位0,一層，騎樓，夾層,五層,公寓(5樓含以下無電梯),40,57.99,2,2,2,有,無,4800000,82773,0,00015
