編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPWNMLOLJIPFFAE68DA,青海段,40.39,都市：其他:特定第五種住宅區,100000,3512,持分移轉
RPTNMLMJKIPFFAE08DA,龍華段八小段,10.00,都市：其他:第四種商業區,10000,95,持分移轉
RPQOMLLJKIPFFAE77DA,青海段,25.58,都市：其他:特定第五種住宅區,100000,350,持分移轉
RPOPMLLJKIPFFAE67DA,興仁段,4.96,都市：其他:第五種商業區,100000,422,持分移轉
RPSOMLOJKIPFFAE28DA,內惟段五小段,31.74,都市：其他:第二種特定商業專用區,10000,1065,持分移轉
RPTPMLNJKIPFFAE38DA,青海段,14.85,都市：其他:特定第四種商業區,100000,390,持分移轉
RPUPMLNJKIPFFAE48DA,青海段,17.67,都市：其他:特定第四種商業區,100000,464,持分移轉
RPPOMLNJKIPFFAE87DA,青海段,17.78,都市：其他:特定第四種商業區,100000,467,持分移轉
RPSOMLSJKIPFFAE68DA,後金段,15.11,都市：其他:第五種商業區,100000,583,持分移轉
RPPNMLTJKIPFFAE38DA,前金段,1.43,都市：其他:第五種商業區,10000,52,持分移轉
RPPNMLTJKIPFFAE38DA,前金段,2.72,都市：其他:第五種商業區,10000,63,持分移轉
RPUNMLKMIIPFFAE08DA,興仁段,10.70,都市：其他:第五種商業區,100000,910,持分移轉
RPPOMLKMIIPFFAE67DA,興仁段,4.63,都市：其他:第五種商業區,100000,394,持分移轉
RPOOMLKMIIPFFAE57DA,興仁段,4.45,都市：其他:第五種商業區,100000,378,持分移轉
RPRNMLNJJIPFFAE87DA,青海段,14.89,都市：其他:特定第四種商業區,100000,222,持分移轉
RPWNMLKMIIPFFAE28DA,興仁段,6.69,都市：其他:第五種商業區,100000,569,持分移轉
RPQOMLMJJIPFFBE87DA,苓中段,53.00,都市：其他:第四種商業區,1,1,全筆移轉
RPQOMLMJJIPFFBE87DA,苓中段,17.00,都市：其他:道路用地,1,1,全筆移轉
RPUNMLTJKIPFFAE88DA,博孝段,3.50,都市：其他:第五種商業區,900000000,12120000,持分移轉
RPSNMLTJKIPFFBE78DA,福河段,36.00,都市：其他:第四種住宅區,5,1,持分移轉
RPVNMLSJKIPFFAE88DA,博孝段,4.78,都市：其他:第五種商業區,100000,225,持分移轉
RPPOMLSJKIPFFAE38DA,青海段,48.35,都市：其他:特定第五種住宅區,10000,297,持分移轉
RPQNMLNKJIPFFAE87DA,博孝段,10.90,都市：其他:第三種特定商業專用區,10000,151,持分移轉
RPQNMLNKJIPFFAE87DA,博孝段,6.76,都市：其他:第五種商業區,10000,151,持分移轉
RPOPMLQLJIPFFBE38DA,成功段,20.96,都市：其他:第二種商業區,10000,329,持分移轉
RPWOMLQLJIPFFBE09DA,成功段,17.07,都市：其他:第二種商業區,10000,268,持分移轉
RPWOMLSJKIPFFBE56DA,新興段二小段,17.55,都市：其他:第四種商業區,10000,283,持分移轉
RPUNMLOJKIPFFBE48DA,新興段二小段,4.92,都市：其他:第四種商業區,10000,83,持分移轉
RPPPMLQLJIPFFBE48DA,成功段,25.93,都市：其他:第二種商業區,10000,407,持分移轉
RPWUMLPJJIPFFCE86DA,新生段,15.67,都市：其他:甲種工業區,10000,30,持分移轉
RPWUMLPJJIPFFCE86DA,新生段,10.09,都市：其他:甲種工業區,10000,30,持分移轉
RPWUMLPJJIPFFCE86DA,新生段,.08,都市：其他:甲種工業區,10000,30,持分移轉
RPPPMLRJKIPFFCE58DA,瑞隆段二小段,35.40,都市：其他:第三種住宅區。,5,1,持分移轉
RPRPMLRJKIPFFCE78DA,店鎮段,17.24,都市：其他:第三種住宅區。,100000,795,持分移轉
RPWOMLLJKIPFFBE48DA,意誠段,1.36,都市：其他:第三種特定商業專用區,100000,14,持分移轉
RPWOMLLJKIPFFBE48DA,意誠段,.34,都市：其他:第五種商業區,100000,14,持分移轉
RPRNMLTJKIPFFCE78DA,瑞隆段四小段,108.00,都市：其他:第三種住宅區。,1,1,全筆移轉
RPRPMLNJKIPFFCE38DA,坪頂段,120.64,都市：其他:第三種住宅區。,1,1,全筆移轉
